"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"TODOS"	"FUERZA"	"UNIDOS"	"CREO"	"PC"	"VAMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5092"	"4"	"2"	"14"	"2"	"400"	"10"	"8"	"68"	"31"	"77"	"32"	"48"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"1"	"0"	"294"	"294"	"1"	"0"
"5093"	"4"	"2"	"14"	"2"	"400"	"11"	"13"	"79"	"23"	"66"	"25"	"35"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"8"	"5"	"0"	"270"	"270"	"1"	"0"
"5094"	"4"	"2"	"14"	"2"	"400"	"14"	"9"	"70"	"28"	"77"	"37"	"27"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"5"	"6"	"0"	"279"	"279"	"1"	"0"
"5095"	"4"	"2"	"14"	"2"	"400"	"14"	"9"	"71"	"30"	"100"	"31"	"39"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"7"	"8"	"0"	"312"	"312"	"1"	"0"
"5096"	"4"	"2"	"14"	"2"	"400"	"8"	"8"	"84"	"28"	"95"	"28"	"36"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"7"	"7"	"0"	"314"	"314"	"1"	"0"
"5097"	"4"	"2"	"14"	"2"	"400"	"10"	"6"	"64"	"25"	"83"	"35"	"51"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"6"	"6"	"0"	"298"	"298"	"1"	"0"
"5098"	"4"	"2"	"14"	"2"	"400"	"7"	"8"	"81"	"32"	"75"	"37"	"53"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"16"	"10"	"0"	"328"	"328"	"1"	"0"
"5099"	"4"	"2"	"14"	"2"	"400"	"3"	"7"	"75"	"27"	"90"	"23"	"38"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"21"	"8"	"0"	"304"	"304"	"1"	"0"
"5100"	"4"	"2"	"14"	"2"	"400"	"11"	"7"	"68"	"31"	"90"	"30"	"46"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"6"	"12"	"0"	"313"	"313"	"1"	"0"
"5101"	"4"	"2"	"14"	"2"	"400"	"8"	"7"	"83"	"27"	"75"	"36"	"40"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"6"	"9"	"0"	"301"	"301"	"1"	"0"
