"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VICTORIA"	"UNIONISTA"	"VALOR"	"SANTIAGO_DE_LOS_CABALLEROS"	"VIVA"	"FUERZA"	"PHG"	"SOS"	"CREO"	"EG"	"PC"	"MLP"	"CAMBIO"	"PPT"	"LIBRE"	"SEMILLA"	"UCN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4664"	"4"	"2"	"1"	"2"	"400"	"22"	"52"	"16"	"10"	"48"	"14"	"11"	"8"	"9"	"6"	"9"	"5"	"11"	"13"	"5"	"49"	"2"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"11"	"1"	"0"	"315"	"315"	"1"	"0"
"4665"	"4"	"2"	"1"	"2"	"397"	"11"	"49"	"15"	"5"	"54"	"10"	"18"	"13"	"8"	"3"	"10"	"7"	"5"	"17"	"6"	"51"	"5"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"10"	"4"	"0"	"312"	"312"	"1"	"0"
"4666"	"4"	"2"	"1"	"2"	"400"	"15"	"50"	"14"	"8"	"44"	"12"	"17"	"12"	"10"	"4"	"8"	"8"	"11"	"15"	"6"	"54"	"5"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"8"	"2"	"0"	"318"	"318"	"1"	"0"
"4667"	"4"	"2"	"1"	"2"	"347"	"16"	"65"	"15"	"8"	"51"	"13"	"12"	"14"	"9"	"8"	"3"	"4"	"9"	"7"	"2"	"58"	"2"	"10"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"17"	"1"	"0"	"332"	"332"	"1"	"0"
"4668"	"4"	"2"	"1"	"2"	"400"	"12"	"56"	"19"	"11"	"44"	"16"	"9"	"12"	"8"	"4"	"16"	"3"	"3"	"14"	"3"	"51"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"21"	"0"	"0"	"308"	"308"	"1"	"0"
"4669"	"4"	"2"	"1"	"2"	"400"	"15"	"48"	"20"	"11"	"40"	"18"	"15"	"11"	"6"	"4"	"6"	"4"	"7"	"11"	"8"	"65"	"5"	"10"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"5"	"1"	"6"	"318"	"318"	"1"	"0"
"4670"	"4"	"2"	"1"	"2"	"395"	"10"	"59"	"12"	"8"	"44"	"11"	"17"	"10"	"9"	"0"	"15"	"3"	"6"	"16"	"4"	"63"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"13"	"2"	"0"	"313"	"313"	"1"	"0"
"4671"	"4"	"2"	"1"	"2"	"400"	"23"	"57"	"19"	"8"	"37"	"10"	"17"	"10"	"10"	"8"	"11"	"5"	"7"	"6"	"9"	"46"	"1"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"14"	"2"	"0"	"311"	"311"	"1"	"0"
"4672"	"4"	"2"	"1"	"2"	"395"	"21"	"79"	"12"	"10"	"43"	"8"	"12"	"11"	"11"	"5"	"7"	"6"	"12"	"8"	"5"	"44"	"6"	"5"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"12"	"1"	"0"	"327"	"327"	"1"	"0"
"4673"	"4"	"2"	"1"	"2"	"400"	"14"	"59"	"17"	"15"	"56"	"9"	"11"	"8"	"9"	"5"	"10"	"6"	"10"	"8"	"3"	"45"	"1"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"9"	"1"	"0"	"306"	"306"	"1"	"0"
"4674"	"4"	"2"	"1"	"2"	"400"	"16"	"66"	"8"	"4"	"41"	"7"	"8"	"14"	"9"	"4"	"6"	"4"	"7"	"7"	"2"	"89"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"3"	"0"	"0"	"303"	"303"	"1"	"0"
"4675"	"4"	"2"	"1"	"2"	"396"	"13"	"61"	"12"	"4"	"38"	"6"	"16"	"14"	"8"	"6"	"16"	"5"	"5"	"6"	"9"	"55"	"3"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"4"	"0"	"0"	"290"	"290"	"1"	"0"
"4676"	"4"	"2"	"1"	"2"	"396"	"17"	"58"	"23"	"7"	"36"	"11"	"13"	"6"	"6"	"3"	"11"	"6"	"7"	"3"	"4"	"77"	"0"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"300"	"6"	"3"	"0"	"310"	"309"	"0"	"0"
"4677"	"4"	"2"	"1"	"2"	"396"	"12"	"54"	"15"	"7"	"50"	"16"	"9"	"10"	"5"	"1"	"4"	"3"	"7"	"8"	"3"	"58"	"2"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"13"	"2"	"0"	"290"	"290"	"1"	"0"
"4678"	"4"	"2"	"1"	"2"	"396"	"13"	"62"	"13"	"5"	"46"	"11"	"14"	"5"	"14"	"3"	"12"	"3"	"8"	"10"	"7"	"67"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"21"	"0"	"0"	"324"	"324"	"1"	"0"
"4679"	"4"	"2"	"1"	"2"	"396"	"19"	"51"	"19"	"3"	"40"	"9"	"12"	"8"	"12"	"7"	"10"	"5"	"9"	"13"	"5"	"41"	"4"	"5"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"11"	"3"	"0"	"294"	"294"	"1"	"0"
"4680"	"4"	"2"	"1"	"2"	"402"	"11"	"69"	"17"	"7"	"33"	"11"	"11"	"10"	"4"	"2"	"8"	"4"	"9"	"7"	"7"	"56"	"5"	"8"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"12"	"0"	"0"	"302"	"302"	"1"	"0"
"4681"	"4"	"2"	"1"	"2"	"396"	"10"	"53"	"23"	"15"	"42"	"17"	"2"	"11"	"3"	"6"	"6"	"3"	"5"	"11"	"5"	"64"	"5"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"2"	"0"	"306"	"306"	"1"	"0"
