"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"COCIMI"	"UNE"	"SEMILLA"	"PAN"	"PHG"	"VALOR"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20532"	"4"	"22"	"5"	"2"	"400"	"10"	"158"	"73"	"9"	"2"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"3"	"0"	"284"	"284"	"1"	"0"
"20533"	"4"	"22"	"5"	"2"	"400"	"4"	"179"	"76"	"10"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"6"	"4"	"0"	"286"	"286"	"1"	"0"
"20534"	"4"	"22"	"5"	"2"	"405"	"5"	"169"	"89"	"12"	"2"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"9"	"2"	"0"	"303"	"303"	"1"	"0"
"20535"	"4"	"22"	"5"	"2"	"400"	"2"	"161"	"96"	"8"	"3"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"4"	"0"	"300"	"300"	"1"	"0"
"20536"	"4"	"22"	"5"	"2"	"400"	"7"	"153"	"97"	"7"	"2"	"19"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"6"	"2"	"0"	"297"	"297"	"1"	"0"
"20537"	"4"	"22"	"5"	"2"	"400"	"7"	"137"	"100"	"7"	"3"	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"1"	"0"	"283"	"283"	"1"	"0"
"20538"	"4"	"22"	"5"	"2"	"400"	"5"	"176"	"79"	"8"	"2"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"11"	"1"	"2"	"302"	"302"	"1"	"0"
"20539"	"4"	"22"	"5"	"2"	"400"	"6"	"178"	"63"	"10"	"3"	"25"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"9"	"5"	"1"	"303"	"303"	"1"	"0"
"20540"	"4"	"22"	"5"	"2"	"400"	"6"	"166"	"86"	"16"	"4"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"8"	"2"	"0"	"306"	"306"	"1"	"0"
"20541"	"4"	"22"	"5"	"2"	"407"	"4"	"162"	"81"	"9"	"2"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"8"	"1"	"0"	"288"	"288"	"1"	"0"
"20542"	"4"	"22"	"5"	"2"	"400"	"0"	"143"	"68"	"7"	"2"	"15"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"3"	"2"	"0"	"241"	"241"	"1"	"0"
"20543"	"4"	"22"	"5"	"2"	"400"	"4"	"173"	"68"	"10"	"1"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"0"	"2"	"281"	"281"	"1"	"0"
"20544"	"4"	"22"	"5"	"2"	"400"	"7"	"160"	"72"	"9"	"0"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"4"	"0"	"276"	"276"	"1"	"0"
"20545"	"4"	"22"	"5"	"2"	"401"	"0"	"155"	"73"	"9"	"1"	"23"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"5"	"0"	"0"	"272"	"272"	"1"	"0"
