"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"FCN_NACION"	"URNG_MAIZ"	"SEMILLA"	"PAN"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20630"	"4"	"22"	"7"	"2"	"400"	"147"	"4"	"125"	"5"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"13"	"10"	"0"	"316"	"316"	"1"	"0"
"20631"	"4"	"22"	"7"	"2"	"400"	"134"	"6"	"120"	"10"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"2"	"0"	"292"	"292"	"1"	"0"
"20632"	"4"	"22"	"7"	"2"	"400"	"141"	"0"	"132"	"9"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"12"	"5"	"0"	"311"	"311"	"1"	"0"
"20633"	"4"	"22"	"7"	"2"	"400"	"152"	"3"	"126"	"5"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"10"	"3"	"0"	"313"	"313"	"1"	"0"
"20634"	"4"	"22"	"7"	"2"	"400"	"182"	"3"	"123"	"6"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"16"	"2"	"0"	"340"	"340"	"1"	"0"
"20635"	"4"	"22"	"7"	"2"	"400"	"158"	"2"	"119"	"11"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"17"	"3"	"0"	"320"	"320"	"1"	"0"
"20636"	"4"	"22"	"7"	"2"	"400"	"177"	"3"	"108"	"11"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"9"	"4"	"0"	"324"	"324"	"1"	"2"
"20637"	"4"	"22"	"7"	"2"	"400"	"154"	"1"	"103"	"9"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"9"	"3"	"0"	"282"	"282"	"1"	"1"
"20638"	"4"	"22"	"7"	"2"	"400"	"145"	"4"	"121"	"14"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"12"	"5"	"0"	"306"	"306"	"1"	"0"
"20639"	"4"	"22"	"7"	"2"	"400"	"147"	"5"	"97"	"11"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"15"	"3"	"0"	"284"	"284"	"1"	"0"
