"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CREO"	"VICTORIA"	"BIEN"	"PC"	"FCN_NACION"	"CONVERGENCIA"	"VALOR"	"UNIDOS"	"PPT"	"PODEMOS"	"MLP"	"TODOS"	"URNG_MAIZ"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17139"	"4"	"16"	"12"	"2"	"400"	"23"	"31"	"5"	"5"	"77"	"19"	"7"	"43"	"14"	"14"	"0"	"18"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"12"	"0"	"280"	"280"	"1"	"0"
"17140"	"4"	"16"	"12"	"2"	"400"	"25"	"28"	"1"	"3"	"105"	"28"	"11"	"20"	"7"	"29"	"0"	"11"	"5"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"12"	"11"	"0"	"303"	"303"	"1"	"0"
"17141"	"4"	"16"	"12"	"2"	"400"	"31"	"15"	"1"	"3"	"97"	"21"	"3"	"57"	"17"	"23"	"1"	"12"	"2"	"5"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"13"	"12"	"0"	"322"	"322"	"1"	"0"
"17142"	"4"	"16"	"12"	"2"	"400"	"30"	"40"	"12"	"3"	"81"	"22"	"3"	"51"	"14"	"13"	"1"	"9"	"3"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"16"	"7"	"0"	"318"	"318"	"1"	"0"
"17143"	"4"	"16"	"12"	"2"	"400"	"14"	"61"	"6"	"0"	"58"	"24"	"2"	"65"	"17"	"8"	"1"	"4"	"3"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"11"	"13"	"0"	"297"	"297"	"1"	"0"
"17144"	"4"	"16"	"12"	"2"	"400"	"17"	"24"	"9"	"2"	"53"	"48"	"1"	"72"	"19"	"14"	"0"	"8"	"1"	"9"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"15"	"6"	"0"	"308"	"308"	"1"	"0"
"17145"	"4"	"16"	"12"	"2"	"400"	"16"	"40"	"8"	"2"	"92"	"18"	"3"	"83"	"14"	"13"	"0"	"12"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"11"	"11"	"0"	"329"	"329"	"1"	"0"
"17146"	"4"	"16"	"12"	"2"	"400"	"14"	"37"	"4"	"1"	"77"	"37"	"0"	"70"	"24"	"8"	"0"	"8"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"287"	"11"	"10"	"0"	"301"	"308"	"0"	"0"
"17147"	"4"	"16"	"12"	"2"	"400"	"21"	"15"	"5"	"1"	"84"	"16"	"7"	"52"	"37"	"17"	"0"	"14"	"4"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"9"	"5"	"0"	"293"	"293"	"1"	"0"
"17148"	"4"	"16"	"12"	"2"	"400"	"9"	"33"	"12"	"2"	"69"	"20"	"4"	"74"	"26"	"11"	"1"	"7"	"2"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"13"	"6"	"0"	"296"	"296"	"1"	"0"
"17149"	"4"	"16"	"12"	"2"	"400"	"21"	"18"	"5"	"2"	"71"	"28"	"4"	"38"	"19"	"15"	"0"	"11"	"7"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"7"	"4"	"0"	"259"	"259"	"1"	"0"
"17150"	"4"	"16"	"12"	"2"	"400"	"32"	"25"	"3"	"5"	"66"	"20"	"6"	"44"	"19"	"16"	"0"	"13"	"4"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"5"	"3"	"0"	"268"	"268"	"1"	"0"
"17151"	"4"	"16"	"12"	"2"	"400"	"25"	"20"	"4"	"0"	"64"	"29"	"4"	"45"	"18"	"20"	"0"	"9"	"2"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"4"	"3"	"0"	"256"	"256"	"1"	"0"
"17152"	"4"	"16"	"12"	"2"	"399"	"21"	"16"	"3"	"2"	"70"	"23"	"2"	"62"	"13"	"26"	"0"	"14"	"5"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"17"	"3"	"0"	"283"	"283"	"1"	"0"
