"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNIDOS"	"CONVERGENCIA"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17312"	"4"	"16"	"14"	"2"	"400"	"52"	"3"	"19"	"2"	"3"	"17"	"15"	"48"	"23"	"3"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"21"	"7"	"0"	"255"	"255"	"1"	"1"
"17313"	"4"	"16"	"14"	"2"	"400"	"45"	"4"	"16"	"2"	"2"	"26"	"14"	"39"	"22"	"3"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"24"	"10"	"0"	"243"	"243"	"1"	"0"
"17314"	"4"	"16"	"14"	"2"	"400"	"38"	"2"	"17"	"4"	"1"	"33"	"10"	"46"	"12"	"8"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"25"	"16"	"0"	"247"	"247"	"1"	"0"
"17315"	"4"	"16"	"14"	"2"	"400"	"52"	"4"	"16"	"2"	"3"	"21"	"19"	"56"	"8"	"13"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"21"	"11"	"1"	"276"	"276"	"1"	"2"
"17316"	"4"	"16"	"14"	"2"	"400"	"47"	"1"	"22"	"2"	"2"	"27"	"14"	"49"	"18"	"6"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"19"	"11"	"0"	"263"	"263"	"1"	"0"
"17317"	"4"	"16"	"14"	"2"	"400"	"41"	"1"	"16"	"3"	"3"	"25"	"14"	"57"	"21"	"10"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"20"	"10"	"0"	"250"	"250"	"1"	"0"
"17318"	"4"	"16"	"14"	"2"	"396"	"39"	"3"	"51"	"1"	"1"	"19"	"8"	"48"	"18"	"9"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"18"	"9"	"2"	"274"	"274"	"1"	"0"
"17319"	"4"	"16"	"14"	"2"	"400"	"37"	"5"	"19"	"1"	"1"	"28"	"13"	"43"	"19"	"3"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"4"	"0"	"237"	"237"	"1"	"0"
"17320"	"4"	"16"	"14"	"2"	"400"	"46"	"2"	"14"	"2"	"0"	"22"	"17"	"51"	"12"	"10"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"14"	"6"	"0"	"223"	"223"	"1"	"0"
"17321"	"4"	"16"	"14"	"2"	"400"	"38"	"6"	"20"	"1"	"2"	"24"	"6"	"44"	"23"	"3"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"3"	"0"	"210"	"210"	"1"	"0"
