"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"VAMOS"	"PC"	"UNIDOS"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14703"	"4"	"14"	"5"	"2"	"396"	"100"	"1"	"135"	"105"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"343"	"343"	"5"	"9"	"0"	"357"	"357"	"1"	"0"
"14704"	"4"	"14"	"5"	"2"	"396"	"88"	"1"	"131"	"107"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"4"	"2"	"0"	"334"	"334"	"1"	"0"
"14705"	"4"	"14"	"5"	"2"	"393"	"103"	"2"	"128"	"117"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"352"	"352"	"1"	"5"	"1"	"358"	"358"	"1"	"0"
"14706"	"4"	"14"	"5"	"2"	"396"	"95"	"1"	"142"	"113"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"352"	"352"	"1"	"5"	"0"	"358"	"358"	"1"	"0"
"14707"	"4"	"14"	"5"	"2"	"400"	"113"	"0"	"138"	"108"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"360"	"360"	"1"	"5"	"0"	"366"	"366"	"1"	"0"
"14708"	"4"	"14"	"5"	"2"	"400"	"122"	"3"	"134"	"93"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"354"	"354"	"5"	"4"	"0"	"363"	"363"	"1"	"0"
"14709"	"4"	"14"	"5"	"2"	"400"	"91"	"2"	"163"	"102"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"360"	"360"	"3"	"3"	"0"	"366"	"366"	"1"	"0"
"14710"	"4"	"14"	"5"	"1"	"397"	"98"	"3"	"137"	"119"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"359"	"359"	"6"	"8"	"0"	"373"	"373"	"1"	"0"
"14711"	"4"	"14"	"5"	"1"	"397"	"120"	"3"	"117"	"108"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"349"	"349"	"3"	"5"	"0"	"357"	"357"	"1"	"0"
"14712"	"4"	"14"	"5"	"1"	"400"	"102"	"1"	"131"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"342"	"342"	"2"	"3"	"0"	"347"	"347"	"1"	"0"
"14713"	"4"	"14"	"5"	"2"	"407"	"81"	"0"	"119"	"93"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"5"	"0"	"0"	"300"	"300"	"1"	"0"
