"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"URNG_MAIZ"	"PC"	"TODOS"	"VAMOS"	"PODEMOS"	"CONVERGENCIA"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"PHG"	"PAN"	"EG"	"FCN_NACION"	"UCN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13037"	"4"	"13"	"2"	"2"	"400"	"91"	"12"	"3"	"13"	"6"	"9"	"1"	"1"	"6"	"10"	"1"	"3"	"8"	"4"	"0"	"19"	"12"	"0"	"0"	"0"	"1"	"3"	"8"	"4"	"0"	"19"	"12"	"0"	"0"	"0"	"199"	"199"	"14"	"2"	"0"	"215"	"215"	"1"	"0"
"13038"	"4"	"13"	"2"	"2"	"400"	"89"	"7"	"1"	"17"	"7"	"14"	"0"	"2"	"8"	"10"	"3"	"4"	"7"	"3"	"0"	"28"	"8"	"0"	"0"	"0"	"3"	"4"	"7"	"3"	"0"	"28"	"8"	"0"	"0"	"0"	"208"	"208"	"4"	"7"	"0"	"219"	"219"	"1"	"0"
"13039"	"4"	"13"	"2"	"2"	"400"	"100"	"16"	"2"	"10"	"4"	"11"	"0"	"0"	"11"	"13"	"0"	"3"	"7"	"2"	"0"	"31"	"5"	"0"	"0"	"0"	"0"	"3"	"7"	"2"	"0"	"31"	"5"	"0"	"0"	"0"	"215"	"215"	"12"	"10"	"0"	"237"	"237"	"1"	"0"
"13040"	"4"	"13"	"2"	"2"	"400"	"101"	"26"	"1"	"15"	"1"	"8"	"2"	"1"	"6"	"8"	"5"	"1"	"10"	"6"	"0"	"24"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"11"	"5"	"0"	"243"	"243"	"1"	"0"
"13041"	"4"	"13"	"2"	"2"	"400"	"99"	"20"	"4"	"11"	"6"	"13"	"0"	"3"	"9"	"7"	"0"	"1"	"14"	"1"	"0"	"32"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"6"	"4"	"245"	"245"	"1"	"0"
"13042"	"4"	"13"	"2"	"2"	"402"	"100"	"10"	"3"	"12"	"3"	"19"	"0"	"2"	"12"	"10"	"1"	"2"	"15"	"1"	"0"	"35"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"11"	"0"	"265"	"265"	"1"	"0"
"13043"	"4"	"13"	"2"	"2"	"400"	"111"	"8"	"3"	"4"	"2"	"16"	"0"	"2"	"12"	"17"	"1"	"4"	"10"	"3"	"0"	"51"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"5"	"0"	"273"	"273"	"1"	"0"
"13044"	"4"	"13"	"2"	"2"	"400"	"79"	"8"	"2"	"9"	"5"	"9"	"1"	"1"	"12"	"10"	"2"	"2"	"11"	"2"	"0"	"30"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"10"	"4"	"0"	"206"	"206"	"1"	"0"
"13045"	"4"	"13"	"2"	"2"	"396"	"89"	"6"	"1"	"9"	"1"	"7"	"1"	"0"	"13"	"18"	"0"	"4"	"5"	"4"	"0"	"36"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"7"	"9"	"0"	"220"	"220"	"1"	"0"
"13046"	"4"	"13"	"2"	"2"	"396"	"116"	"9"	"2"	"9"	"9"	"18"	"0"	"1"	"20"	"12"	"0"	"2"	"9"	"2"	"0"	"28"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"4"	"3"	"0"	"257"	"257"	"1"	"0"
