"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MLP"	"EL_CACAO"	"PC"	"UNE"	"EG"	"TODOS"	"UNIONISTA"	"UCN"	"PHG"	"VALOR"	"CREO"	"VAMOS"	"SEMILLA"	"VICTORIA"	"UNIDOS"	"FCN_NACION"	"PODEMOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10665"	"4"	"10"	"13"	"2"	"396"	"4"	"29"	"0"	"57"	"2"	"10"	"4"	"39"	"0"	"4"	"1"	"82"	"2"	"8"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"7"	"0"	"273"	"273"	"1"	"0"
"10666"	"4"	"10"	"13"	"2"	"400"	"5"	"27"	"3"	"75"	"3"	"7"	"4"	"36"	"2"	"7"	"3"	"75"	"2"	"3"	"3"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"7"	"4"	"0"	"284"	"284"	"1"	"0"
"10667"	"4"	"10"	"13"	"2"	"400"	"2"	"34"	"6"	"62"	"7"	"11"	"6"	"42"	"1"	"3"	"1"	"87"	"4"	"6"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"10"	"2"	"0"	"296"	"296"	"1"	"0"
"10668"	"4"	"10"	"13"	"2"	"400"	"1"	"23"	"3"	"78"	"2"	"10"	"8"	"36"	"3"	"6"	"4"	"79"	"5"	"5"	"1"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"3"	"0"	"294"	"294"	"1"	"0"
"10669"	"4"	"10"	"13"	"2"	"400"	"2"	"30"	"3"	"85"	"3"	"13"	"3"	"44"	"1"	"6"	"2"	"75"	"2"	"8"	"2"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"7"	"2"	"0"	"302"	"302"	"1"	"0"
"10670"	"4"	"10"	"13"	"2"	"396"	"2"	"28"	"3"	"92"	"5"	"12"	"5"	"40"	"3"	"7"	"5"	"74"	"5"	"7"	"3"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"12"	"2"	"0"	"320"	"320"	"1"	"0"
"10671"	"4"	"10"	"13"	"2"	"421"	"2"	"27"	"3"	"84"	"3"	"6"	"6"	"37"	"1"	"10"	"1"	"95"	"2"	"8"	"2"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"4"	"0"	"309"	"309"	"1"	"0"
"10672"	"4"	"10"	"13"	"2"	"400"	"3"	"22"	"0"	"70"	"1"	"5"	"4"	"48"	"1"	"7"	"2"	"95"	"4"	"9"	"3"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"4"	"2"	"0"	"292"	"292"	"1"	"0"
"10673"	"4"	"10"	"13"	"2"	"396"	"2"	"24"	"1"	"56"	"3"	"11"	"2"	"46"	"5"	"7"	"2"	"84"	"4"	"2"	"2"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"2"	"0"	"269"	"269"	"1"	"0"
"10674"	"4"	"10"	"13"	"2"	"400"	"1"	"17"	"1"	"74"	"6"	"10"	"5"	"37"	"4"	"8"	"4"	"85"	"10"	"4"	"5"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"2"	"1"	"0"	"287"	"287"	"1"	"0"
"10675"	"4"	"10"	"13"	"2"	"400"	"0"	"20"	"4"	"85"	"3"	"14"	"5"	"33"	"3"	"6"	"3"	"69"	"3"	"11"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"0"	"0"	"280"	"280"	"1"	"0"
"10676"	"4"	"10"	"13"	"2"	"400"	"0"	"27"	"2"	"62"	"2"	"9"	"2"	"42"	"1"	"6"	"3"	"68"	"3"	"7"	"2"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"4"	"2"	"0"	"259"	"259"	"1"	"0"
"10677"	"4"	"10"	"13"	"2"	"400"	"1"	"26"	"0"	"67"	"6"	"0"	"6"	"34"	"0"	"8"	"3"	"83"	"1"	"11"	"3"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"265"	"7"	"0"	"0"	"283"	"272"	"0"	"0"
"10678"	"4"	"10"	"13"	"2"	"400"	"3"	"18"	"2"	"83"	"2"	"9"	"5"	"31"	"0"	"4"	"4"	"76"	"2"	"11"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"11"	"5"	"0"	"280"	"280"	"1"	"0"
"10679"	"4"	"10"	"13"	"2"	"396"	"2"	"26"	"3"	"102"	"6"	"9"	"6"	"20"	"1"	"2"	"1"	"55"	"2"	"8"	"5"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"1"	"13"	"0"	"273"	"273"	"1"	"0"
"10680"	"4"	"10"	"13"	"2"	"400"	"4"	"21"	"1"	"104"	"2"	"12"	"7"	"36"	"0"	"3"	"2"	"56"	"1"	"7"	"3"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"8"	"4"	"0"	"284"	"284"	"1"	"0"
"10681"	"4"	"10"	"13"	"2"	"396"	"4"	"25"	"0"	"88"	"3"	"11"	"3"	"29"	"0"	"3"	"2"	"82"	"5"	"6"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"9"	"2"	"0"	"283"	"283"	"1"	"0"
"10682"	"4"	"10"	"13"	"2"	"400"	"3"	"27"	"0"	"72"	"2"	"14"	"6"	"45"	"1"	"3"	"3"	"89"	"2"	"15"	"3"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"0"	"0"	"0"	"297"	"297"	"1"	"0"
"10683"	"4"	"10"	"13"	"2"	"224"	"1"	"14"	"1"	"45"	"3"	"10"	"1"	"23"	"1"	"3"	"2"	"45"	"3"	"9"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"3"	"0"	"0"	"174"	"174"	"1"	"0"
"10684"	"4"	"10"	"13"	"2"	"223"	"3"	"9"	"0"	"39"	"4"	"2"	"2"	"21"	"1"	"5"	"0"	"39"	"5"	"2"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"5"	"0"	"0"	"147"	"147"	"1"	"0"
"10685"	"4"	"10"	"13"	"2"	"400"	"1"	"14"	"2"	"80"	"4"	"11"	"0"	"43"	"3"	"5"	"1"	"57"	"5"	"5"	"3"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"1"	"0"	"257"	"257"	"1"	"0"
"10686"	"4"	"10"	"13"	"2"	"0"	"6"	"12"	"5"	"72"	"9"	"7"	"2"	"50"	"2"	"0"	"2"	"59"	"4"	"4"	"4"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"10"	"5"	"131"	"269"	"269"	"1"	"0"
"10687"	"4"	"10"	"13"	"2"	"400"	"4"	"13"	"0"	"63"	"9"	"9"	"3"	"63"	"2"	"2"	"0"	"59"	"2"	"6"	"3"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"17"	"12"	"0"	"283"	"283"	"1"	"0"
"10688"	"4"	"10"	"13"	"2"	"396"	"2"	"19"	"1"	"63"	"3"	"7"	"4"	"48"	"1"	"0"	"1"	"59"	"4"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"19"	"10"	"0"	"256"	"256"	"1"	"0"
"10689"	"4"	"10"	"13"	"2"	"400"	"2"	"12"	"0"	"78"	"4"	"8"	"3"	"46"	"1"	"2"	"0"	"59"	"0"	"6"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"4"	"0"	"249"	"249"	"1"	"0"
"10690"	"4"	"10"	"13"	"2"	"397"	"4"	"9"	"2"	"64"	"4"	"3"	"5"	"101"	"0"	"3"	"1"	"62"	"1"	"5"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"9"	"5"	"0"	"285"	"285"	"1"	"0"
"10691"	"4"	"10"	"13"	"2"	"400"	"3"	"17"	"0"	"88"	"8"	"10"	"4"	"41"	"0"	"0"	"1"	"59"	"1"	"4"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"17"	"8"	"129"	"271"	"271"	"1"	"0"
