"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VIVA"	"VAMOS"	"BIEN"	"PC"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15538"	"4"	"14"	"19"	"2"	"400"	"107"	"10"	"2"	"43"	"0"	"54"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"18"	"5"	"0"	"240"	"240"	"1"	"0"
"15539"	"4"	"14"	"19"	"2"	"396"	"119"	"15"	"2"	"33"	"1"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"18"	"9"	"0"	"244"	"244"	"1"	"0"
"15540"	"4"	"14"	"19"	"2"	"400"	"134"	"17"	"4"	"31"	"0"	"40"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"16"	"10"	"0"	"256"	"256"	"1"	"0"
"15541"	"4"	"14"	"19"	"2"	"400"	"125"	"23"	"5"	"46"	"2"	"71"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"19"	"4"	"0"	"299"	"299"	"1"	"0"
"15542"	"4"	"14"	"19"	"2"	"400"	"147"	"11"	"5"	"32"	"4"	"52"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"13"	"2"	"4"	"267"	"267"	"1"	"0"
"15543"	"4"	"14"	"19"	"2"	"396"	"128"	"17"	"2"	"41"	"4"	"40"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"26"	"6"	"0"	"267"	"267"	"1"	"0"
"15544"	"4"	"14"	"19"	"2"	"400"	"145"	"12"	"3"	"43"	"0"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"11"	"9"	"0"	"273"	"273"	"1"	"2"
"15545"	"4"	"14"	"19"	"2"	"400"	"98"	"13"	"2"	"35"	"3"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"8"	"3"	"0"	"218"	"218"	"1"	"0"
"15546"	"4"	"14"	"19"	"2"	"400"	"105"	"13"	"2"	"38"	"1"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"6"	"0"	"235"	"235"	"1"	"0"
"15547"	"4"	"14"	"19"	"2"	"400"	"97"	"8"	"4"	"42"	"1"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"13"	"2"	"1"	"218"	"218"	"1"	"0"
