"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"PC"	"WINAQ"	"COCIM"	"URNG_MAIZ"	"VIVA"	"BIEN"	"SEMILLA"	"MLP"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"UNIDOS"	"CCT"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14765"	"4"	"14"	"6"	"2"	"400"	"46"	"44"	"24"	"7"	"17"	"12"	"4"	"10"	"2"	"8"	"77"	"15"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"11"	"10"	"0"	"293"	"293"	"1"	"0"
"14766"	"4"	"14"	"6"	"2"	"400"	"84"	"27"	"14"	"5"	"13"	"13"	"6"	"11"	"0"	"2"	"48"	"14"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"19"	"15"	"0"	"282"	"282"	"1"	"0"
"14767"	"4"	"14"	"6"	"2"	"400"	"80"	"40"	"20"	"2"	"17"	"6"	"5"	"15"	"2"	"5"	"61"	"8"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"14"	"10"	"0"	"296"	"296"	"1"	"0"
"14768"	"4"	"14"	"6"	"2"	"400"	"39"	"65"	"10"	"3"	"17"	"8"	"7"	"22"	"2"	"9"	"69"	"9"	"0"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"13"	"8"	"0"	"294"	"294"	"1"	"0"
"14769"	"4"	"14"	"6"	"2"	"400"	"20"	"92"	"15"	"4"	"14"	"12"	"8"	"15"	"4"	"16"	"51"	"9"	"2"	"4"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"6"	"0"	"288"	"288"	"1"	"0"
"14770"	"4"	"14"	"6"	"2"	"400"	"37"	"86"	"19"	"5"	"14"	"9"	"7"	"29"	"2"	"6"	"40"	"4"	"4"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"10"	"9"	"0"	"294"	"294"	"1"	"0"
"14771"	"4"	"14"	"6"	"2"	"400"	"50"	"56"	"30"	"4"	"28"	"12"	"1"	"13"	"1"	"7"	"48"	"8"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"11"	"0"	"295"	"295"	"1"	"0"
"14772"	"4"	"14"	"6"	"2"	"400"	"58"	"83"	"9"	"3"	"12"	"8"	"9"	"9"	"6"	"3"	"62"	"9"	"2"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"7"	"2"	"0"	"295"	"295"	"1"	"0"
"14773"	"4"	"14"	"6"	"2"	"400"	"37"	"62"	"11"	"2"	"7"	"6"	"3"	"13"	"5"	"10"	"58"	"9"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"3"	"3"	"0"	"234"	"234"	"1"	"0"
"14774"	"4"	"14"	"6"	"2"	"400"	"35"	"55"	"25"	"2"	"16"	"6"	"3"	"17"	"4"	"3"	"67"	"11"	"1"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"10"	"129"	"271"	"271"	"1"	"0"
"14775"	"4"	"14"	"6"	"2"	"400"	"53"	"53"	"25"	"2"	"9"	"7"	"5"	"8"	"2"	"3"	"82"	"10"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"10"	"0"	"288"	"288"	"1"	"0"
"14776"	"4"	"14"	"6"	"2"	"400"	"30"	"77"	"19"	"3"	"13"	"10"	"7"	"17"	"3"	"7"	"66"	"9"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"7"	"0"	"283"	"283"	"1"	"0"
"14777"	"4"	"14"	"6"	"2"	"400"	"46"	"65"	"20"	"4"	"25"	"6"	"5"	"6"	"0"	"6"	"65"	"18"	"0"	"12"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"282"	"4"	"6"	"0"	"294"	"292"	"0"	"0"
"14778"	"4"	"14"	"6"	"2"	"400"	"26"	"96"	"12"	"6"	"11"	"9"	"5"	"10"	"3"	"4"	"71"	"12"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"5"	"1"	"0"	"277"	"277"	"1"	"0"
"14779"	"4"	"14"	"6"	"2"	"400"	"34"	"60"	"21"	"3"	"15"	"3"	"10"	"12"	"4"	"11"	"83"	"9"	"1"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"7"	"9"	"108"	"292"	"292"	"1"	"0"
"14780"	"4"	"14"	"6"	"2"	"400"	"43"	"66"	"17"	"1"	"9"	"9"	"7"	"17"	"4"	"7"	"76"	"8"	"0"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"9"	"0"	"286"	"286"	"1"	"0"
"14781"	"4"	"14"	"6"	"2"	"400"	"24"	"63"	"19"	"1"	"16"	"10"	"3"	"17"	"2"	"7"	"63"	"11"	"0"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"8"	"0"	"263"	"263"	"1"	"0"
"14782"	"4"	"14"	"6"	"2"	"400"	"33"	"65"	"15"	"3"	"3"	"9"	"3"	"17"	"4"	"14"	"59"	"10"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"2"	"0"	"253"	"253"	"1"	"0"
"14783"	"4"	"14"	"6"	"2"	"400"	"25"	"67"	"15"	"0"	"21"	"4"	"8"	"19"	"2"	"5"	"52"	"7"	"1"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"2"	"0"	"245"	"245"	"1"	"0"
"14784"	"4"	"14"	"6"	"2"	"360"	"37"	"63"	"5"	"4"	"8"	"6"	"5"	"17"	"9"	"8"	"46"	"19"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"4"	"1"	"0"	"238"	"238"	"1"	"0"
"14785"	"4"	"14"	"6"	"2"	"356"	"47"	"64"	"8"	"2"	"17"	"4"	"0"	"6"	"4"	"2"	"41"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"6"	"7"	"0"	"218"	"218"	"1"	"0"
"14786"	"4"	"14"	"6"	"1"	"400"	"48"	"31"	"8"	"4"	"25"	"19"	"1"	"4"	"0"	"5"	"100"	"6"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"16"	"16"	"0"	"286"	"286"	"1"	"0"
"14787"	"4"	"14"	"6"	"1"	"400"	"25"	"63"	"11"	"3"	"23"	"6"	"3"	"6"	"5"	"8"	"84"	"2"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"21"	"12"	"0"	"284"	"284"	"1"	"0"
"14788"	"4"	"14"	"6"	"1"	"400"	"44"	"59"	"10"	"9"	"23"	"7"	"4"	"13"	"1"	"5"	"94"	"2"	"2"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"13"	"13"	"0"	"313"	"313"	"1"	"0"
"14789"	"4"	"14"	"6"	"1"	"400"	"32"	"52"	"16"	"9"	"21"	"7"	"4"	"8"	"0"	"8"	"97"	"6"	"1"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"15"	"8"	"0"	"298"	"298"	"1"	"0"
"14790"	"4"	"14"	"6"	"1"	"400"	"33"	"49"	"21"	"1"	"28"	"9"	"3"	"14"	"2"	"5"	"86"	"7"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"12"	"17"	"97"	"303"	"303"	"1"	"0"
"14791"	"4"	"14"	"6"	"1"	"400"	"34"	"72"	"17"	"4"	"16"	"4"	"2"	"10"	"5"	"6"	"85"	"3"	"1"	"13"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"14"	"20"	"0"	"310"	"310"	"1"	"0"
"14792"	"4"	"14"	"6"	"1"	"400"	"30"	"63"	"9"	"3"	"22"	"11"	"2"	"5"	"1"	"5"	"81"	"9"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"3"	"0"	"259"	"259"	"1"	"0"
"14793"	"4"	"14"	"6"	"2"	"400"	"38"	"42"	"11"	"1"	"14"	"14"	"1"	"5"	"3"	"8"	"57"	"6"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"26"	"0"	"244"	"244"	"1"	"0"
"14794"	"4"	"14"	"6"	"2"	"400"	"27"	"58"	"2"	"5"	"24"	"10"	"0"	"9"	"3"	"4"	"94"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"8"	"0"	"259"	"259"	"1"	"0"
"14795"	"4"	"14"	"6"	"2"	"400"	"21"	"58"	"6"	"1"	"19"	"6"	"4"	"11"	"3"	"4"	"89"	"10"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"10"	"0"	"259"	"259"	"1"	"0"
