"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"VALOR"	"PPT"	"FCN_NACION"	"UNIONISTA"	"PC"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3496"	"4"	"1"	"12"	"2"	"400"	"40"	"17"	"25"	"10"	"17"	"44"	"37"	"86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"12"	"1"	"0"	"289"	"289"	"1"	"2"
"3497"	"4"	"1"	"12"	"2"	"400"	"37"	"18"	"37"	"5"	"27"	"41"	"34"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"7"	"2"	"0"	"297"	"297"	"1"	"0"
"3498"	"4"	"1"	"12"	"2"	"397"	"45"	"21"	"39"	"2"	"29"	"47"	"18"	"105"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"8"	"3"	"1"	"317"	"317"	"1"	"0"
"3499"	"4"	"1"	"12"	"2"	"399"	"43"	"11"	"42"	"0"	"16"	"57"	"23"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"15"	"3"	"0"	"324"	"324"	"1"	"0"
"3500"	"4"	"1"	"12"	"2"	"400"	"30"	"13"	"41"	"1"	"20"	"49"	"30"	"130"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"14"	"7"	"0"	"335"	"335"	"1"	"0"
"3501"	"4"	"1"	"12"	"2"	"396"	"49"	"14"	"38"	"9"	"15"	"46"	"32"	"112"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"8"	"4"	"0"	"327"	"327"	"1"	"0"
"3502"	"4"	"1"	"12"	"2"	"400"	"48"	"19"	"39"	"4"	"19"	"38"	"20"	"126"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"7"	"7"	"0"	"327"	"327"	"1"	"0"
"3503"	"4"	"1"	"12"	"2"	"400"	"29"	"26"	"46"	"2"	"13"	"52"	"28"	"128"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"10"	"3"	"0"	"337"	"337"	"1"	"2"
"3504"	"4"	"1"	"12"	"1"	"400"	"24"	"19"	"57"	"4"	"14"	"47"	"25"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"8"	"7"	"0"	"340"	"340"	"1"	"0"
"3505"	"4"	"1"	"12"	"2"	"400"	"61"	"33"	"42"	"3"	"14"	"35"	"18"	"103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"11"	"5"	"0"	"329"	"325"	"0"	"4"
"3506"	"4"	"1"	"12"	"2"	"400"	"42"	"27"	"30"	"2"	"37"	"49"	"25"	"103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"9"	"5"	"0"	"329"	"329"	"1"	"1"
"3507"	"4"	"1"	"12"	"2"	"400"	"35"	"15"	"32"	"7"	"27"	"34"	"25"	"90"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"5"	"0"	"0"	"270"	"270"	"1"	"3"
"3508"	"4"	"1"	"12"	"2"	"401"	"34"	"20"	"38"	"4"	"21"	"42"	"15"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"7"	"7"	"0"	"285"	"285"	"1"	"1"
