"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UNIONISTA"	"TODOS"	"PC"	"LIBRE"	"CREO"	"FUERZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5033"	"4"	"2"	"12"	"2"	"400"	"30"	"52"	"13"	"6"	"71"	"79"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"5"	"3"	"0"	"266"	"266"	"1"	"0"
"5034"	"4"	"2"	"12"	"2"	"400"	"27"	"36"	"16"	"5"	"76"	"64"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"4"	"5"	"0"	"245"	"245"	"1"	"0"
"5035"	"4"	"2"	"12"	"2"	"400"	"23"	"53"	"12"	"3"	"77"	"68"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"5"	"2"	"0"	"257"	"257"	"1"	"0"
"5036"	"4"	"2"	"12"	"2"	"400"	"23"	"55"	"16"	"4"	"75"	"63"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"5"	"0"	"265"	"265"	"1"	"0"
"5037"	"4"	"2"	"12"	"2"	"400"	"19"	"39"	"21"	"7"	"79"	"84"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"10"	"3"	"0"	"271"	"271"	"1"	"0"
"5038"	"4"	"2"	"12"	"2"	"400"	"29"	"52"	"13"	"11"	"70"	"69"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"6"	"4"	"0"	"267"	"267"	"1"	"0"
"5039"	"4"	"2"	"12"	"2"	"402"	"22"	"39"	"14"	"13"	"100"	"55"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"10"	"5"	"0"	"276"	"276"	"1"	"0"
"5040"	"4"	"2"	"12"	"2"	"400"	"20"	"51"	"17"	"8"	"63"	"72"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"4"	"0"	"255"	"255"	"1"	"0"
"5041"	"4"	"2"	"12"	"2"	"400"	"20"	"47"	"12"	"3"	"86"	"76"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"6"	"2"	"0"	"261"	"261"	"1"	"0"
"5042"	"4"	"2"	"12"	"2"	"400"	"27"	"61"	"14"	"9"	"66"	"83"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"5"	"1"	"0"	"279"	"279"	"1"	"0"
