"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"UNE"	"CREO"	"WINAQ"	"PC"	"TODOS"	"FCN_NACION"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"VICTORIA"	"PODEMOS"	"FUERZA"	"UCN"	"UNIONISTA"	"JUSTICIA"	"VAMOS"	"URNG_MAIZ"	"PHG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16109"	"4"	"16"	"1"	"2"	"398"	"120"	"22"	"20"	"3"	"7"	"5"	"3"	"2"	"0"	"2"	"1"	"1"	"7"	"1"	"3"	"3"	"26"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"32"	"10"	"0"	"275"	"275"	"1"	"0"
"16110"	"4"	"16"	"1"	"2"	"395"	"111"	"22"	"28"	"1"	"10"	"9"	"2"	"0"	"1"	"3"	"2"	"2"	"11"	"0"	"2"	"1"	"20"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"28"	"11"	"0"	"273"	"273"	"1"	"0"
"16111"	"4"	"16"	"1"	"2"	"396"	"109"	"17"	"26"	"1"	"8"	"10"	"5"	"5"	"0"	"3"	"2"	"3"	"13"	"1"	"3"	"3"	"15"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"24"	"13"	"124"	"272"	"272"	"1"	"0"
"16112"	"4"	"16"	"1"	"2"	"400"	"108"	"15"	"16"	"0"	"6"	"4"	"1"	"4"	"6"	"2"	"1"	"3"	"15"	"0"	"3"	"0"	"19"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"30"	"12"	"0"	"255"	"255"	"1"	"0"
"16113"	"4"	"16"	"1"	"2"	"400"	"111"	"15"	"21"	"0"	"7"	"4"	"1"	"6"	"0"	"3"	"1"	"2"	"13"	"0"	"2"	"2"	"24"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"40"	"12"	"0"	"273"	"273"	"1"	"0"
"16114"	"4"	"16"	"1"	"2"	"400"	"127"	"28"	"28"	"2"	"8"	"7"	"3"	"2"	"0"	"6"	"1"	"1"	"6"	"0"	"3"	"3"	"15"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"27"	"10"	"0"	"284"	"284"	"1"	"1"
"16115"	"4"	"16"	"1"	"2"	"400"	"121"	"20"	"24"	"4"	"4"	"2"	"2"	"5"	"2"	"6"	"2"	"2"	"9"	"2"	"3"	"2"	"20"	"7"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"18"	"6"	"0"	"269"	"269"	"1"	"0"
"16116"	"4"	"16"	"1"	"2"	"396"	"113"	"14"	"20"	"1"	"6"	"3"	"4"	"7"	"1"	"4"	"1"	"4"	"11"	"3"	"0"	"1"	"29"	"5"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"20"	"10"	"0"	"265"	"265"	"1"	"0"
"16117"	"4"	"16"	"1"	"2"	"400"	"129"	"19"	"19"	"4"	"7"	"9"	"8"	"9"	"4"	"6"	"0"	"3"	"12"	"1"	"0"	"2"	"18"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"29"	"7"	"0"	"296"	"296"	"1"	"0"
"16118"	"4"	"16"	"1"	"2"	"396"	"120"	"17"	"28"	"3"	"7"	"6"	"4"	"3"	"2"	"1"	"1"	"6"	"12"	"1"	"17"	"2"	"38"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"278"	"20"	"9"	"102"	"294"	"307"	"0"	"0"
"16119"	"4"	"16"	"1"	"2"	"400"	"121"	"15"	"26"	"6"	"7"	"6"	"4"	"7"	"1"	"5"	"4"	"4"	"15"	"1"	"5"	"2"	"22"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"13"	"24"	"282"	"282"	"1"	"0"
"16120"	"4"	"16"	"1"	"2"	"400"	"113"	"30"	"24"	"1"	"10"	"9"	"2"	"3"	"3"	"4"	"0"	"0"	"20"	"1"	"6"	"3"	"20"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"17"	"8"	"0"	"282"	"282"	"1"	"0"
