"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"VAMOS"	"TODOS"	"UNE"	"FUERZA"	"EG"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13965"	"4"	"13"	"19"	"2"	"400"	"11"	"114"	"13"	"28"	"58"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"13"	"0"	"261"	"261"	"1"	"0"
"13966"	"4"	"13"	"19"	"2"	"400"	"5"	"169"	"8"	"26"	"49"	"10"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"20"	"17"	"0"	"309"	"309"	"1"	"0"
"13967"	"4"	"13"	"19"	"2"	"400"	"6"	"152"	"8"	"21"	"70"	"9"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"23"	"10"	"0"	"305"	"305"	"1"	"0"
"13968"	"4"	"13"	"19"	"2"	"395"	"15"	"124"	"7"	"20"	"96"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"19"	"7"	"0"	"298"	"298"	"1"	"0"
"13969"	"4"	"13"	"19"	"2"	"400"	"4"	"89"	"7"	"30"	"151"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"8"	"10"	"0"	"307"	"307"	"1"	"0"
"13970"	"4"	"13"	"19"	"2"	"400"	"8"	"76"	"35"	"28"	"117"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"12"	"17"	"0"	"307"	"307"	"1"	"0"
"13971"	"4"	"13"	"19"	"2"	"400"	"17"	"97"	"9"	"22"	"75"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"7"	"5"	"0"	"239"	"239"	"1"	"0"
"13972"	"4"	"13"	"19"	"2"	"400"	"45"	"127"	"4"	"13"	"59"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"11"	"13"	"0"	"283"	"283"	"1"	"0"
"13973"	"4"	"13"	"19"	"2"	"400"	"5"	"99"	"16"	"7"	"92"	"5"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"17"	"15"	"0"	"281"	"281"	"1"	"0"
"13974"	"4"	"13"	"19"	"2"	"400"	"26"	"89"	"5"	"20"	"78"	"7"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"8"	"5"	"0"	"246"	"246"	"1"	"0"
