"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"WINAQ"	"UNE"	"FUERZA"	"VAMOS"	"PHG"	"BIEN"	"VIVA"	"UNIONISTA"	"UCN"	"FCN_NACION"	"URNG_MAIZ"	"AVANZA"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11639"	"4"	"12"	"4"	"2"	"397"	"10"	"46"	"34"	"9"	"1"	"4"	"48"	"24"	"1"	"36"	"2"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"18"	"7"	"0"	"258"	"258"	"1"	"0"
"11640"	"4"	"12"	"4"	"2"	"400"	"12"	"44"	"48"	"12"	"0"	"2"	"47"	"24"	"0"	"25"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"7"	"0"	"245"	"245"	"1"	"0"
"11641"	"4"	"12"	"4"	"2"	"400"	"16"	"73"	"45"	"5"	"2"	"0"	"49"	"29"	"0"	"21"	"0"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"18"	"7"	"0"	"285"	"285"	"1"	"0"
"11642"	"4"	"12"	"4"	"2"	"400"	"13"	"52"	"47"	"11"	"2"	"1"	"42"	"18"	"1"	"32"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"18"	"4"	"0"	"256"	"256"	"1"	"0"
"11643"	"4"	"12"	"4"	"2"	"400"	"24"	"46"	"30"	"8"	"2"	"2"	"55"	"27"	"1"	"37"	"0"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"11"	"9"	"0"	"277"	"277"	"1"	"0"
"11644"	"4"	"12"	"4"	"2"	"375"	"8"	"29"	"32"	"3"	"1"	"2"	"52"	"24"	"0"	"27"	"0"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"7"	"3"	"0"	"208"	"208"	"1"	"0"
"11645"	"4"	"12"	"4"	"2"	"399"	"25"	"35"	"35"	"7"	"1"	"0"	"48"	"21"	"1"	"24"	"1"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"6"	"0"	"227"	"227"	"1"	"0"
"11646"	"4"	"12"	"4"	"2"	"416"	"24"	"24"	"28"	"4"	"0"	"2"	"46"	"35"	"0"	"32"	"1"	"4"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"7"	"5"	"0"	"237"	"237"	"1"	"0"
"11647"	"4"	"12"	"4"	"2"	"277"	"9"	"23"	"26"	"6"	"0"	"0"	"33"	"13"	"0"	"19"	"1"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"2"	"2"	"0"	"156"	"156"	"1"	"0"
"11648"	"4"	"12"	"4"	"2"	"276"	"7"	"27"	"22"	"4"	"1"	"2"	"39"	"24"	"0"	"5"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"142"	"3"	"1"	"0"	"166"	"146"	"0"	"0"
