"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"AVANZA"	"UNE"	"CREO"	"SEMILLA"	"PC"	"PHG"	"UNIONISTA"	"VAMOS"	"TODOS"	"FCN_NACION"	"C_C_E_S"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7274"	"4"	"6"	"1"	"2"	"394"	"16"	"3"	"39"	"7"	"1"	"102"	"6"	"14"	"2"	"9"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"9"	"4"	"0"	"226"	"226"	"1"	"0"
"7275"	"4"	"6"	"1"	"2"	"400"	"12"	"2"	"43"	"7"	"3"	"131"	"9"	"9"	"13"	"10"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"18"	"3"	"0"	"270"	"270"	"1"	"3"
"7276"	"4"	"6"	"1"	"2"	"400"	"22"	"4"	"44"	"4"	"3"	"119"	"15"	"10"	"10"	"3"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"11"	"6"	"0"	"262"	"262"	"1"	"0"
"7277"	"4"	"6"	"1"	"2"	"400"	"15"	"1"	"44"	"3"	"2"	"133"	"7"	"13"	"11"	"8"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"11"	"4"	"0"	"264"	"264"	"1"	"0"
"7278"	"4"	"6"	"1"	"2"	"401"	"11"	"1"	"51"	"3"	"2"	"125"	"10"	"7"	"4"	"9"	"14"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"12"	"3"	"0"	"261"	"261"	"1"	"0"
"7279"	"4"	"6"	"1"	"2"	"400"	"12"	"4"	"57"	"4"	"4"	"121"	"5"	"16"	"15"	"9"	"6"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"3"	"0"	"277"	"277"	"1"	"0"
"7280"	"4"	"6"	"1"	"2"	"396"	"23"	"5"	"50"	"1"	"2"	"136"	"8"	"4"	"10"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"3"	"0"	"267"	"267"	"1"	"0"
"7281"	"4"	"6"	"1"	"2"	"401"	"13"	"0"	"49"	"3"	"4"	"147"	"14"	"15"	"13"	"6"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"7"	"1"	"0"	"283"	"283"	"1"	"0"
"7282"	"4"	"6"	"1"	"2"	"400"	"23"	"2"	"47"	"5"	"2"	"138"	"9"	"13"	"8"	"11"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"8"	"3"	"0"	"289"	"289"	"1"	"0"
"7283"	"4"	"6"	"1"	"2"	"400"	"18"	"3"	"43"	"4"	"3"	"114"	"9"	"11"	"16"	"4"	"14"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"22"	"1"	"0"	"272"	"272"	"1"	"0"
