"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"FUERZA"	"VAMOS"	"CONVERGENCIA"	"PC"	"TODOS"	"VIVA"	"FCN_NACION"	"EG"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13173"	"4"	"13"	"4"	"2"	"400"	"25"	"60"	"2"	"8"	"3"	"8"	"0"	"13"	"0"	"4"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"14"	"4"	"0"	"181"	"181"	"1"	"0"
"13174"	"4"	"13"	"4"	"2"	"400"	"39"	"49"	"6"	"2"	"6"	"9"	"0"	"14"	"3"	"1"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"10"	"0"	"213"	"213"	"1"	"0"
"13175"	"4"	"13"	"4"	"2"	"400"	"26"	"68"	"1"	"6"	"3"	"13"	"1"	"15"	"5"	"4"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"21"	"7"	"0"	"216"	"216"	"1"	"0"
"13176"	"4"	"13"	"4"	"2"	"400"	"27"	"49"	"2"	"13"	"5"	"19"	"0"	"10"	"4"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"19"	"8"	"0"	"173"	"173"	"1"	"0"
"13177"	"4"	"13"	"4"	"2"	"400"	"15"	"93"	"2"	"7"	"0"	"15"	"2"	"7"	"10"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"16"	"5"	"0"	"203"	"203"	"1"	"0"
"13178"	"4"	"13"	"4"	"2"	"400"	"18"	"67"	"1"	"8"	"2"	"5"	"3"	"19"	"1"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"12"	"5"	"0"	"163"	"163"	"1"	"0"
"13179"	"4"	"13"	"4"	"2"	"400"	"26"	"39"	"6"	"7"	"1"	"14"	"3"	"27"	"0"	"4"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"16"	"5"	"0"	"186"	"186"	"1"	"0"
"13180"	"4"	"13"	"4"	"2"	"400"	"30"	"39"	"2"	"18"	"6"	"10"	"4"	"10"	"1"	"4"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"17"	"5"	"0"	"178"	"178"	"1"	"1"
"13181"	"4"	"13"	"4"	"2"	"400"	"20"	"43"	"2"	"6"	"2"	"12"	"0"	"9"	"0"	"5"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"8"	"1"	"0"	"130"	"130"	"1"	"0"
"13182"	"4"	"13"	"4"	"2"	"400"	"14"	"34"	"4"	"11"	"5"	"6"	"0"	"11"	"1"	"2"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"12"	"6"	"0"	"145"	"145"	"1"	"0"
