"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VAMOS"	"VICTORIA"	"CONVERGENCIA"	"PC"	"FCN_NACION"	"EG"	"SEMILLA"	"TODOS"	"PHG"	"UNIDOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15023"	"4"	"14"	"10"	"2"	"396"	"82"	"111"	"14"	"3"	"9"	"2"	"19"	"13"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"7"	"7"	"0"	"275"	"275"	"1"	"0"
"15024"	"4"	"14"	"10"	"2"	"396"	"61"	"104"	"28"	"1"	"9"	"3"	"14"	"25"	"5"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"7"	"9"	"0"	"271"	"271"	"1"	"0"
"15025"	"4"	"14"	"10"	"2"	"400"	"83"	"109"	"17"	"1"	"15"	"2"	"21"	"25"	"4"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"11"	"10"	"0"	"304"	"304"	"1"	"0"
"15026"	"4"	"14"	"10"	"2"	"396"	"71"	"120"	"15"	"1"	"9"	"4"	"18"	"21"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"10"	"0"	"290"	"290"	"1"	"0"
"15027"	"4"	"14"	"10"	"2"	"396"	"72"	"118"	"20"	"2"	"16"	"2"	"21"	"23"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"10"	"8"	"0"	"302"	"302"	"1"	"0"
"15028"	"4"	"14"	"10"	"2"	"396"	"76"	"115"	"26"	"0"	"8"	"2"	"13"	"15"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"13"	"18"	"0"	"291"	"291"	"1"	"0"
"15029"	"4"	"14"	"10"	"2"	"396"	"96"	"115"	"25"	"2"	"16"	"1"	"10"	"15"	"6"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"8"	"11"	"19"	"311"	"311"	"1"	"0"
"15030"	"4"	"14"	"10"	"2"	"400"	"89"	"109"	"26"	"0"	"10"	"4"	"17"	"20"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"12"	"0"	"305"	"305"	"1"	"0"
"15031"	"4"	"14"	"10"	"2"	"396"	"87"	"119"	"29"	"1"	"6"	"1"	"21"	"17"	"6"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"12"	"0"	"311"	"311"	"1"	"0"
"15032"	"4"	"14"	"10"	"2"	"396"	"74"	"98"	"24"	"2"	"10"	"3"	"16"	"14"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"2"	"0"	"260"	"260"	"1"	"0"
"15033"	"4"	"14"	"10"	"2"	"396"	"70"	"95"	"23"	"0"	"12"	"9"	"11"	"13"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"5"	"5"	"0"	"249"	"249"	"1"	"0"
"15034"	"4"	"14"	"10"	"2"	"396"	"74"	"87"	"23"	"2"	"6"	"8"	"15"	"21"	"2"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"7"	"2"	"0"	"255"	"255"	"1"	"0"
"15035"	"4"	"14"	"10"	"2"	"396"	"59"	"109"	"20"	"5"	"12"	"4"	"12"	"16"	"10"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"4"	"0"	"262"	"262"	"1"	"0"
"15036"	"4"	"14"	"10"	"2"	"396"	"69"	"122"	"10"	"3"	"12"	"2"	"11"	"16"	"8"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"5"	"5"	"0"	"270"	"270"	"1"	"0"
"15037"	"4"	"14"	"10"	"2"	"396"	"79"	"91"	"13"	"2"	"10"	"3"	"23"	"10"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"5"	"4"	"0"	"248"	"248"	"1"	"0"
"15038"	"4"	"14"	"10"	"2"	"376"	"77"	"105"	"25"	"0"	"10"	"0"	"13"	"15"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"1"	"0"	"0"	"254"	"254"	"1"	"0"
"15039"	"4"	"14"	"10"	"2"	"375"	"82"	"81"	"19"	"1"	"4"	"3"	"13"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"3"	"4"	"0"	"226"	"226"	"1"	"0"
"15040"	"4"	"14"	"10"	"2"	"376"	"76"	"52"	"26"	"0"	"2"	"51"	"16"	"18"	"2"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"9"	"0"	"277"	"277"	"1"	"1"
"15041"	"4"	"14"	"10"	"2"	"376"	"76"	"41"	"26"	"0"	"2"	"50"	"15"	"22"	"2"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"14"	"8"	"0"	"268"	"268"	"1"	"0"
"15042"	"4"	"14"	"10"	"2"	"376"	"78"	"55"	"31"	"0"	"7"	"64"	"16"	"15"	"2"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"11"	"13"	"0"	"306"	"306"	"1"	"0"
"15043"	"4"	"14"	"10"	"2"	"380"	"81"	"45"	"26"	"2"	"4"	"48"	"16"	"19"	"0"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"15"	"12"	"0"	"280"	"280"	"1"	"0"
"15044"	"4"	"14"	"10"	"2"	"376"	"74"	"37"	"29"	"1"	"4"	"51"	"8"	"37"	"1"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"12"	"10"	"0"	"278"	"278"	"1"	"1"
"15045"	"4"	"14"	"10"	"2"	"376"	"59"	"56"	"28"	"1"	"0"	"52"	"18"	"18"	"0"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"6"	"6"	"0"	"258"	"258"	"1"	"0"
"15046"	"4"	"14"	"10"	"2"	"380"	"64"	"52"	"28"	"2"	"3"	"45"	"16"	"17"	"3"	"5"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"8"	"0"	"261"	"261"	"1"	"0"
"15047"	"4"	"14"	"10"	"2"	"355"	"70"	"42"	"23"	"3"	"1"	"44"	"9"	"23"	"6"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"4"	"4"	"0"	"240"	"240"	"1"	"0"
"15048"	"4"	"14"	"10"	"2"	"355"	"73"	"43"	"24"	"2"	"0"	"45"	"14"	"20"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"227"	"1"	"3"	"0"	"233"	"231"	"0"	"0"
"15049"	"4"	"14"	"10"	"2"	"380"	"130"	"41"	"19"	"0"	"2"	"2"	"4"	"3"	"4"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"12"	"13"	"0"	"240"	"240"	"1"	"0"
"15050"	"4"	"14"	"10"	"2"	"377"	"98"	"64"	"32"	"0"	"7"	"1"	"9"	"9"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"11"	"0"	"258"	"258"	"1"	"0"
"15051"	"4"	"14"	"10"	"2"	"376"	"108"	"60"	"7"	"0"	"3"	"1"	"8"	"14"	"8"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"22"	"29"	"0"	"254"	"274"	"0"	"0"
"15052"	"4"	"14"	"10"	"2"	"376"	"140"	"48"	"13"	"1"	"5"	"2"	"13"	"5"	"0"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"9"	"0"	"264"	"264"	"1"	"0"
"15053"	"4"	"14"	"10"	"2"	"376"	"125"	"51"	"27"	"0"	"2"	"1"	"8"	"12"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"13"	"0"	"263"	"263"	"1"	"0"
"15054"	"4"	"14"	"10"	"2"	"380"	"118"	"43"	"25"	"0"	"3"	"0"	"5"	"5"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"11"	"0"	"235"	"235"	"1"	"0"
"15055"	"4"	"14"	"10"	"2"	"376"	"142"	"36"	"29"	"0"	"2"	"0"	"3"	"4"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"11"	"7"	"0"	"239"	"239"	"1"	"0"
"15056"	"4"	"14"	"10"	"2"	"342"	"117"	"28"	"12"	"2"	"4"	"0"	"2"	"7"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"7"	"12"	"0"	"200"	"200"	"1"	"0"
