"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"BIEN"	"CONVERGENCIA"	"CREO"	"UNIONISTA"	"MLP"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17851"	"4"	"17"	"8"	"2"	"400"	"77"	"16"	"105"	"0"	"11"	"4"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"9"	"12"	"0"	"248"	"248"	"1"	"0"
"17852"	"4"	"17"	"8"	"2"	"400"	"105"	"16"	"89"	"1"	"10"	"3"	"10"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"3"	"0"	"268"	"268"	"1"	"0"
"17853"	"4"	"17"	"8"	"2"	"400"	"99"	"24"	"88"	"1"	"16"	"8"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"16"	"7"	"0"	"273"	"273"	"1"	"0"
"17854"	"4"	"17"	"8"	"2"	"401"	"122"	"17"	"95"	"1"	"8"	"5"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"7"	"0"	"284"	"284"	"1"	"0"
"17855"	"4"	"17"	"8"	"2"	"398"	"109"	"12"	"85"	"1"	"17"	"2"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"13"	"0"	"272"	"272"	"1"	"0"
"17856"	"4"	"17"	"8"	"2"	"400"	"114"	"9"	"126"	"0"	"13"	"2"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"7"	"8"	"0"	"293"	"293"	"1"	"0"
"17857"	"4"	"17"	"8"	"2"	"400"	"141"	"11"	"110"	"2"	"12"	"9"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"9"	"5"	"0"	"314"	"314"	"1"	"0"
"17858"	"4"	"17"	"8"	"2"	"400"	"99"	"12"	"77"	"1"	"17"	"2"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"5"	"0"	"247"	"247"	"1"	"0"
"17859"	"4"	"17"	"8"	"2"	"400"	"85"	"6"	"101"	"2"	"14"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"11"	"2"	"0"	"234"	"234"	"1"	"0"
"17860"	"4"	"17"	"8"	"2"	"400"	"91"	"14"	"106"	"2"	"9"	"7"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"3"	"0"	"248"	"248"	"1"	"0"
