"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UNIONISTA"	"VIVA"	"FCN_NACION"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18229"	"4"	"17"	"14"	"2"	"0"	"64"	"83"	"19"	"6"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"10"	"4"	"0"	"268"	"268"	"1"	"0"
"18230"	"4"	"17"	"14"	"2"	"400"	"73"	"67"	"27"	"6"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"4"	"5"	"0"	"260"	"260"	"1"	"0"
"18231"	"4"	"17"	"14"	"2"	"401"	"68"	"84"	"22"	"6"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"3"	"0"	"267"	"267"	"1"	"0"
"18232"	"4"	"17"	"14"	"2"	"400"	"61"	"76"	"12"	"5"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"12"	"3"	"0"	"256"	"256"	"1"	"0"
"18233"	"4"	"17"	"14"	"2"	"201"	"45"	"26"	"11"	"2"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"0"	"2"	"2"	"129"	"129"	"1"	"0"
"18234"	"4"	"17"	"14"	"2"	"201"	"32"	"35"	"6"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"5"	"3"	"0"	"125"	"125"	"1"	"0"
"18235"	"4"	"17"	"14"	"2"	"400"	"43"	"50"	"30"	"18"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"10"	"0"	"239"	"239"	"1"	"0"
"18236"	"4"	"17"	"14"	"2"	"400"	"47"	"46"	"29"	"18"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"18"	"7"	"0"	"226"	"226"	"1"	"0"
"18237"	"4"	"17"	"14"	"2"	"347"	"25"	"40"	"21"	"17"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"17"	"6"	"0"	"174"	"174"	"1"	"0"
"18238"	"4"	"17"	"14"	"2"	"347"	"24"	"38"	"24"	"12"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"11"	"4"	"0"	"173"	"173"	"1"	"0"
"18239"	"4"	"17"	"14"	"2"	"380"	"51"	"78"	"25"	"47"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"25"	"3"	"0"	"260"	"260"	"1"	"4"
"18240"	"4"	"17"	"14"	"2"	"391"	"48"	"64"	"15"	"56"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"17"	"6"	"0"	"241"	"241"	"1"	"0"
"18241"	"4"	"17"	"14"	"2"	"380"	"41"	"72"	"19"	"43"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"12"	"3"	"0"	"229"	"229"	"1"	"0"
"18242"	"4"	"17"	"14"	"2"	"380"	"46"	"62"	"8"	"45"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"23"	"9"	"0"	"224"	"224"	"1"	"0"
"18243"	"4"	"17"	"14"	"2"	"241"	"21"	"40"	"6"	"32"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"3"	"2"	"0"	"121"	"121"	"1"	"0"
"18244"	"4"	"17"	"14"	"2"	"240"	"21"	"60"	"10"	"24"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"3"	"2"	"0"	"143"	"143"	"1"	"0"
"18245"	"4"	"17"	"14"	"2"	"380"	"39"	"65"	"27"	"21"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"26"	"6"	"0"	"246"	"245"	"0"	"1"
"18246"	"4"	"17"	"14"	"2"	"380"	"45"	"58"	"29"	"9"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"15"	"7"	"0"	"225"	"225"	"1"	"0"
"18247"	"4"	"17"	"14"	"2"	"346"	"37"	"48"	"32"	"10"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"15"	"7"	"0"	"207"	"207"	"1"	"0"
