"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"TODOS"	"VICTORIA"	"UNE"	"WINAQ"	"PC"	"LIBRE"	"URNG_MAIZ"	"PODEMOS"	"PPT"	"CONVERGENCIA"	"FUERZA"	"MLP"	"VIVA"	"UNIONISTA"	"VALOR"	"SEMILLA"	"FCN_NACION"	"UNIDOS"	"BIEN"	"PHG"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6251"	"4"	"5"	"1"	"2"	"395"	"15"	"10"	"24"	"11"	"44"	"43"	"4"	"2"	"3"	"6"	"3"	"0"	"1"	"4"	"2"	"5"	"1"	"3"	"6"	"14"	"1"	"20"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"4"	"145"	"251"	"251"	"1"	"0"
"6252"	"4"	"5"	"1"	"2"	"397"	"15"	"5"	"20"	"13"	"50"	"47"	"3"	"4"	"4"	"9"	"2"	"1"	"0"	"3"	"8"	"3"	"4"	"1"	"8"	"15"	"1"	"16"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"14"	"5"	"0"	"265"	"265"	"1"	"0"
"6253"	"4"	"5"	"1"	"2"	"380"	"15"	"7"	"28"	"13"	"45"	"36"	"3"	"2"	"6"	"8"	"1"	"0"	"1"	"3"	"4"	"6"	"2"	"1"	"7"	"13"	"0"	"29"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"10"	"4"	"0"	"255"	"255"	"1"	"0"
"6254"	"4"	"5"	"1"	"2"	"400"	"20"	"5"	"21"	"11"	"49"	"41"	"3"	"1"	"3"	"3"	"4"	"0"	"1"	"5"	"2"	"8"	"3"	"3"	"9"	"15"	"0"	"16"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"6"	"0"	"254"	"254"	"1"	"0"
"6255"	"4"	"5"	"1"	"2"	"400"	"21"	"9"	"29"	"14"	"43"	"38"	"1"	"4"	"3"	"12"	"3"	"0"	"1"	"8"	"4"	"4"	"3"	"4"	"4"	"16"	"0"	"18"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"1"	"0"	"261"	"261"	"1"	"0"
"6256"	"4"	"5"	"1"	"2"	"400"	"13"	"10"	"20"	"14"	"51"	"34"	"3"	"2"	"3"	"7"	"2"	"1"	"2"	"4"	"2"	"7"	"4"	"2"	"12"	"13"	"0"	"19"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"10"	"3"	"0"	"254"	"254"	"1"	"0"
"6257"	"4"	"5"	"1"	"2"	"400"	"27"	"5"	"33"	"14"	"57"	"33"	"4"	"4"	"5"	"8"	"1"	"0"	"0"	"1"	"7"	"10"	"2"	"3"	"5"	"8"	"0"	"25"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"7"	"2"	"0"	"271"	"271"	"1"	"0"
"6258"	"4"	"5"	"1"	"2"	"401"	"24"	"8"	"6"	"15"	"43"	"37"	"0"	"0"	"8"	"8"	"4"	"1"	"0"	"6"	"4"	"4"	"1"	"0"	"7"	"13"	"1"	"23"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"224"	"15"	"2"	"0"	"255"	"241"	"0"	"0"
"6259"	"4"	"5"	"1"	"2"	"400"	"14"	"7"	"18"	"7"	"48"	"46"	"5"	"3"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"10"	"1"	"4"	"10"	"9"	"1"	"22"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"10"	"3"	"0"	"248"	"248"	"1"	"0"
"6260"	"4"	"5"	"1"	"2"	"402"	"15"	"6"	"22"	"15"	"42"	"27"	"4"	"4"	"4"	"9"	"1"	"1"	"2"	"2"	"5"	"11"	"2"	"4"	"3"	"14"	"0"	"24"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"3"	"0"	"250"	"250"	"1"	"0"
"6261"	"4"	"5"	"1"	"2"	"400"	"22"	"11"	"35"	"10"	"37"	"30"	"4"	"3"	"9"	"4"	"1"	"0"	"1"	"2"	"5"	"7"	"1"	"7"	"5"	"1"	"0"	"18"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"232"	"14"	"1"	"0"	"257"	"247"	"0"	"0"
"6262"	"4"	"5"	"1"	"2"	"0"	"21"	"4"	"22"	"11"	"48"	"31"	"0"	"2"	"3"	"7"	"6"	"1"	"0"	"5"	"1"	"8"	"0"	"3"	"8"	"11"	"1"	"22"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"2"	"0"	"240"	"240"	"1"	"0"
"6263"	"4"	"5"	"1"	"2"	"400"	"14"	"9"	"26"	"17"	"61"	"49"	"7"	"4"	"1"	"10"	"8"	"0"	"0"	"5"	"4"	"6"	"2"	"4"	"2"	"6"	"0"	"16"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"18"	"0"	"0"	"278"	"278"	"1"	"0"
"6264"	"4"	"5"	"1"	"2"	"400"	"25"	"5"	"17"	"12"	"56"	"51"	"2"	"4"	"5"	"7"	"1"	"0"	"0"	"1"	"2"	"4"	"1"	"6"	"7"	"10"	"1"	"21"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"2"	"0"	"260"	"260"	"1"	"0"
"6265"	"4"	"5"	"1"	"2"	"400"	"18"	"13"	"22"	"14"	"53"	"34"	"2"	"0"	"6"	"10"	"0"	"2"	"1"	"3"	"2"	"7"	"1"	"5"	"2"	"12"	"1"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"15"	"3"	"0"	"251"	"251"	"1"	"0"
"6266"	"4"	"5"	"1"	"2"	"400"	"18"	"7"	"27"	"10"	"39"	"42"	"3"	"4"	"2"	"7"	"1"	"0"	"0"	"8"	"0"	"6"	"4"	"3"	"6"	"12"	"0"	"20"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"3"	"0"	"242"	"242"	"1"	"0"
"6267"	"4"	"5"	"1"	"2"	"400"	"15"	"9"	"26"	"15"	"41"	"31"	"1"	"6"	"8"	"6"	"2"	"0"	"1"	"1"	"4"	"10"	"3"	"2"	"4"	"8"	"0"	"22"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"3"	"0"	"241"	"241"	"1"	"0"
"6268"	"4"	"5"	"1"	"2"	"400"	"20"	"8"	"11"	"6"	"46"	"30"	"1"	"4"	"5"	"4"	"4"	"0"	"1"	"3"	"4"	"8"	"3"	"7"	"3"	"9"	"4"	"21"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"10"	"174"	"0"	"400"	"400"	"1"	"0"
"6269"	"4"	"5"	"1"	"2"	"402"	"17"	"6"	"17"	"7"	"44"	"32"	"2"	"3"	"3"	"6"	"3"	"0"	"0"	"5"	"8"	"7"	"3"	"1"	"4"	"17"	"3"	"0"	"0"	"5"	"8"	"7"	"3"	"1"	"4"	"17"	"212"	"212"	"12"	"3"	"0"	"227"	"227"	"1"	"0"
"6270"	"4"	"5"	"1"	"2"	"400"	"14"	"5"	"29"	"6"	"36"	"32"	"3"	"2"	"2"	"4"	"2"	"1"	"0"	"6"	"2"	"4"	"2"	"3"	"3"	"9"	"2"	"1"	"0"	"6"	"2"	"4"	"2"	"3"	"3"	"9"	"196"	"196"	"12"	"0"	"0"	"208"	"208"	"1"	"0"
"6271"	"4"	"5"	"1"	"2"	"397"	"11"	"5"	"22"	"15"	"50"	"37"	"2"	"3"	"7"	"5"	"1"	"0"	"1"	"2"	"6"	"10"	"2"	"2"	"8"	"10"	"1"	"15"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"5"	"2"	"0"	"235"	"235"	"1"	"0"
"6272"	"4"	"5"	"1"	"2"	"400"	"18"	"12"	"36"	"19"	"65"	"33"	"2"	"4"	"3"	"4"	"4"	"2"	"0"	"7"	"2"	"1"	"1"	"1"	"5"	"9"	"1"	"20"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"3"	"0"	"0"	"269"	"269"	"1"	"0"
"6273"	"4"	"5"	"1"	"2"	"299"	"21"	"5"	"26"	"11"	"57"	"30"	"4"	"3"	"5"	"3"	"2"	"0"	"0"	"1"	"2"	"9"	"4"	"1"	"5"	"5"	"0"	"16"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"2"	"3"	"5"	"226"	"226"	"1"	"0"
"6274"	"4"	"5"	"1"	"2"	"299"	"7"	"7"	"7"	"3"	"22"	"24"	"1"	"1"	"3"	"4"	"2"	"0"	"1"	"2"	"2"	"3"	"3"	"0"	"1"	"7"	"0"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"22"	"0"	"0"	"138"	"138"	"1"	"0"
"6275"	"4"	"5"	"1"	"2"	"400"	"14"	"2"	"21"	"10"	"54"	"47"	"2"	"3"	"11"	"6"	"5"	"2"	"0"	"4"	"3"	"9"	"6"	"5"	"8"	"14"	"1"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"253"	"14"	"1"	"0"	"272"	"268"	"0"	"0"
"6276"	"4"	"5"	"1"	"2"	"400"	"16"	"7"	"17"	"17"	"51"	"46"	"3"	"2"	"1"	"6"	"5"	"0"	"2"	"3"	"2"	"5"	"2"	"2"	"12"	"11"	"0"	"21"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"18"	"1"	"0"	"263"	"263"	"1"	"0"
"6277"	"4"	"5"	"1"	"2"	"400"	"9"	"12"	"18"	"17"	"46"	"60"	"2"	"4"	"8"	"5"	"1"	"0"	"0"	"0"	"4"	"11"	"2"	"1"	"3"	"8"	"1"	"25"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"2"	"0"	"271"	"271"	"1"	"0"
"6278"	"4"	"5"	"1"	"2"	"400"	"13"	"5"	"12"	"11"	"41"	"45"	"3"	"3"	"6"	"6"	"3"	"1"	"0"	"2"	"6"	"7"	"1"	"1"	"5"	"13"	"0"	"19"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"35"	"3"	"0"	"252"	"252"	"1"	"0"
"6279"	"4"	"5"	"1"	"2"	"400"	"10"	"8"	"20"	"12"	"56"	"55"	"2"	"1"	"5"	"4"	"3"	"2"	"2"	"3"	"4"	"5"	"0"	"3"	"4"	"13"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"239"	"11"	"5"	"0"	"270"	"255"	"0"	"0"
"6280"	"4"	"5"	"1"	"2"	"400"	"19"	"5"	"12"	"13"	"48"	"47"	"3"	"0"	"9"	"9"	"3"	"0"	"1"	"4"	"9"	"9"	"2"	"5"	"6"	"21"	"0"	"18"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"19"	"6"	"0"	"280"	"280"	"1"	"1"
"6281"	"4"	"5"	"1"	"2"	"400"	"10"	"6"	"15"	"13"	"49"	"52"	"1"	"3"	"3"	"8"	"0"	"0"	"1"	"0"	"6"	"7"	"5"	"1"	"7"	"16"	"2"	"22"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"16"	"2"	"0"	"260"	"260"	"1"	"2"
"6282"	"4"	"5"	"1"	"2"	"400"	"11"	"5"	"14"	"13"	"58"	"43"	"3"	"3"	"11"	"4"	"2"	"1"	"1"	"4"	"8"	"7"	"1"	"4"	"1"	"11"	"2"	"24"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"34"	"2"	"0"	"286"	"286"	"1"	"0"
"6283"	"4"	"5"	"1"	"2"	"400"	"16"	"9"	"21"	"12"	"58"	"48"	"3"	"4"	"9"	"5"	"1"	"0"	"0"	"2"	"4"	"4"	"2"	"1"	"4"	"23"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"253"	"6"	"1"	"0"	"220"	"260"	"0"	"0"
"6284"	"4"	"5"	"1"	"2"	"400"	"25"	"7"	"19"	"17"	"51"	"46"	"2"	"4"	"2"	"7"	"0"	"0"	"1"	"2"	"7"	"7"	"0"	"3"	"7"	"16"	"2"	"19"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"0"	"0"	"270"	"270"	"1"	"0"
"6285"	"4"	"5"	"1"	"2"	"400"	"15"	"10"	"15"	"14"	"53"	"49"	"1"	"0"	"8"	"4"	"2"	"0"	"0"	"3"	"3"	"3"	"1"	"0"	"9"	"14"	"0"	"17"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"2"	"0"	"243"	"243"	"1"	"0"
"6286"	"4"	"5"	"1"	"2"	"400"	"17"	"7"	"24"	"16"	"52"	"34"	"3"	"3"	"6"	"4"	"1"	"0"	"2"	"2"	"3"	"11"	"0"	"3"	"2"	"13"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"3"	"0"	"231"	"231"	"1"	"0"
