"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"TODOS"	"FCN_NACION"	"BIEN"	"UNE"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18891"	"4"	"19"	"2"	"2"	"400"	"136"	"10"	"7"	"134"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"13"	"1"	"2"	"309"	"309"	"1"	"0"
"18892"	"4"	"19"	"2"	"2"	"400"	"114"	"6"	"17"	"124"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"14"	"3"	"0"	"291"	"291"	"1"	"0"
"18893"	"4"	"19"	"2"	"2"	"400"	"151"	"3"	"19"	"118"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"13"	"1"	"0"	"310"	"310"	"1"	"0"
"18894"	"4"	"19"	"2"	"2"	"400"	"156"	"9"	"5"	"143"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"17"	"3"	"0"	"340"	"340"	"1"	"0"
"18895"	"4"	"19"	"2"	"2"	"400"	"151"	"5"	"14"	"116"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"23"	"1"	"0"	"317"	"317"	"1"	"0"
"18896"	"4"	"19"	"2"	"2"	"400"	"141"	"9"	"16"	"135"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"11"	"4"	"0"	"319"	"319"	"1"	"0"
"18897"	"4"	"19"	"2"	"2"	"400"	"169"	"5"	"12"	"118"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"8"	"2"	"0"	"319"	"319"	"1"	"0"
"18898"	"4"	"19"	"2"	"2"	"400"	"155"	"7"	"14"	"146"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"11"	"2"	"0"	"337"	"337"	"1"	"0"
"18899"	"4"	"19"	"2"	"2"	"400"	"128"	"4"	"11"	"162"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"11"	"6"	"0"	"325"	"325"	"1"	"0"
"18900"	"4"	"19"	"2"	"2"	"399"	"136"	"8"	"19"	"127"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"16"	"1"	"0"	"317"	"317"	"1"	"0"
