"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"CREO"	"CONVERGENCIA"	"BIEN"	"SEMILLA"	"VALOR"	"UNIONISTA"	"PODEMOS"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17509"	"4"	"17"	"1"	"2"	"400"	"37"	"63"	"123"	"3"	"11"	"14"	"6"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"6"	"0"	"0"	"278"	"278"	"1"	"0"
"17510"	"4"	"17"	"1"	"2"	"393"	"37"	"64"	"120"	"3"	"1"	"17"	"2"	"0"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"4"	"1"	"0"	"262"	"262"	"1"	"0"
"17511"	"4"	"17"	"1"	"2"	"387"	"47"	"69"	"100"	"3"	"5"	"15"	"2"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"2"	"1"	"0"	"259"	"259"	"1"	"0"
"17512"	"4"	"17"	"1"	"2"	"385"	"39"	"51"	"91"	"2"	"7"	"15"	"1"	"4"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"4"	"0"	"0"	"232"	"232"	"1"	"0"
"17513"	"4"	"17"	"1"	"2"	"380"	"32"	"107"	"37"	"10"	"4"	"3"	"1"	"3"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"13"	"4"	"0"	"232"	"232"	"1"	"0"
"17514"	"4"	"17"	"1"	"2"	"380"	"44"	"104"	"29"	"4"	"5"	"13"	"1"	"2"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"10"	"3"	"0"	"233"	"233"	"1"	"0"
"17515"	"4"	"17"	"1"	"2"	"376"	"31"	"102"	"45"	"11"	"4"	"4"	"4"	"0"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"11"	"3"	"0"	"236"	"236"	"1"	"0"
"17516"	"4"	"17"	"1"	"2"	"380"	"41"	"96"	"32"	"13"	"7"	"5"	"1"	"2"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"5"	"0"	"234"	"234"	"1"	"1"
"17517"	"4"	"17"	"1"	"2"	"376"	"40"	"98"	"58"	"11"	"2"	"10"	"2"	"2"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"1"	"0"	"256"	"256"	"1"	"0"
"17518"	"4"	"17"	"1"	"2"	"379"	"39"	"106"	"34"	"9"	"0"	"9"	"6"	"0"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"18"	"3"	"0"	"241"	"241"	"1"	"0"
"17519"	"4"	"17"	"1"	"2"	"376"	"37"	"108"	"44"	"8"	"7"	"7"	"7"	"4"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"0"	"5"	"9"	"248"	"248"	"1"	"0"
"17520"	"4"	"17"	"1"	"2"	"377"	"49"	"116"	"39"	"6"	"6"	"7"	"4"	"2"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"3"	"3"	"2"	"251"	"251"	"1"	"0"
"17521"	"4"	"17"	"1"	"2"	"380"	"40"	"126"	"46"	"12"	"5"	"7"	"3"	"3"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"5"	"1"	"0"	"270"	"270"	"1"	"0"
"17522"	"4"	"17"	"1"	"2"	"380"	"46"	"121"	"48"	"7"	"4"	"6"	"5"	"5"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"8"	"4"	"0"	"268"	"268"	"1"	"0"
"17523"	"4"	"17"	"1"	"2"	"380"	"33"	"73"	"33"	"13"	"5"	"0"	"2"	"0"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"6"	"1"	"0"	"186"	"186"	"1"	"0"
"17524"	"4"	"17"	"1"	"2"	"373"	"38"	"91"	"39"	"15"	"0"	"7"	"5"	"0"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"18"	"2"	"0"	"235"	"235"	"1"	"0"
"17525"	"4"	"17"	"1"	"2"	"376"	"35"	"109"	"40"	"9"	"8"	"8"	"3"	"1"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"5"	"4"	"0"	"237"	"237"	"1"	"0"
"17526"	"4"	"17"	"1"	"2"	"376"	"35"	"104"	"39"	"9"	"3"	"3"	"10"	"2"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"9"	"4"	"0"	"233"	"233"	"1"	"0"
"17527"	"4"	"17"	"1"	"2"	"376"	"39"	"94"	"43"	"13"	"5"	"3"	"3"	"3"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"4"	"0"	"230"	"230"	"1"	"0"
"17528"	"4"	"17"	"1"	"2"	"375"	"40"	"102"	"39"	"4"	"3"	"5"	"3"	"1"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"10"	"5"	"0"	"230"	"230"	"1"	"4"
"17529"	"4"	"17"	"1"	"2"	"376"	"30"	"113"	"38"	"12"	"0"	"4"	"5"	"4"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"6"	"4"	"0"	"235"	"235"	"1"	"0"
"17530"	"4"	"17"	"1"	"2"	"376"	"45"	"110"	"51"	"5"	"0"	"4"	"4"	"1"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"3"	"0"	"255"	"255"	"1"	"0"
"17531"	"4"	"17"	"1"	"2"	"376"	"35"	"99"	"41"	"6"	"3"	"2"	"3"	"4"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"3"	"3"	"0"	"226"	"226"	"1"	"0"
"17532"	"4"	"17"	"1"	"2"	"380"	"44"	"86"	"38"	"5"	"2"	"2"	"5"	"3"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"13"	"3"	"0"	"220"	"220"	"1"	"0"
"17533"	"4"	"17"	"1"	"2"	"377"	"30"	"95"	"36"	"7"	"5"	"6"	"7"	"6"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"6"	"7"	"160"	"217"	"217"	"1"	"0"
"17534"	"4"	"17"	"1"	"2"	"376"	"38"	"86"	"33"	"8"	"3"	"6"	"3"	"1"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"5"	"4"	"0"	"200"	"200"	"1"	"0"
"17535"	"4"	"17"	"1"	"2"	"370"	"42"	"74"	"29"	"9"	"1"	"2"	"7"	"2"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"14"	"4"	"0"	"199"	"199"	"1"	"0"
"17536"	"4"	"17"	"1"	"2"	"380"	"29"	"76"	"34"	"5"	"1"	"2"	"6"	"3"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"3"	"0"	"187"	"187"	"1"	"0"
"17537"	"4"	"17"	"1"	"2"	"376"	"40"	"100"	"29"	"5"	"3"	"3"	"1"	"3"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"4"	"4"	"0"	"203"	"203"	"1"	"0"
"17538"	"4"	"17"	"1"	"2"	"376"	"36"	"80"	"37"	"5"	"0"	"2"	"3"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"8"	"2"	"0"	"188"	"188"	"1"	"0"
"17539"	"4"	"17"	"1"	"2"	"376"	"53"	"101"	"46"	"8"	"12"	"4"	"3"	"3"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"1"	"0"	"0"	"259"	"259"	"1"	"0"
"17540"	"4"	"17"	"1"	"2"	"380"	"37"	"117"	"39"	"5"	"3"	"3"	"2"	"2"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"3"	"3"	"0"	"235"	"235"	"1"	"0"
"17541"	"4"	"17"	"1"	"2"	"286"	"37"	"89"	"26"	"3"	"4"	"5"	"1"	"2"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"0"	"1"	"0"	"189"	"189"	"1"	"0"
