"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"TODOS"	"VIVA"	"FUERZA"	"PHG"	"BIEN"	"VALOR"	"UNIONISTA"	"UCN"	"PC"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10120"	"4"	"9"	"22"	"2"	"400"	"107"	"90"	"11"	"4"	"40"	"6"	"3"	"3"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"7"	"2"	"0"	"286"	"286"	"1"	"0"
"10121"	"4"	"9"	"22"	"2"	"400"	"97"	"79"	"11"	"1"	"50"	"4"	"2"	"6"	"6"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"12"	"8"	"0"	"283"	"283"	"1"	"0"
"10122"	"4"	"9"	"22"	"2"	"400"	"112"	"79"	"10"	"3"	"51"	"6"	"1"	"2"	"3"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"16"	"3"	"0"	"297"	"297"	"1"	"0"
"10123"	"4"	"9"	"22"	"2"	"396"	"143"	"75"	"9"	"1"	"44"	"8"	"2"	"4"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"6"	"86"	"310"	"310"	"1"	"0"
"10124"	"4"	"9"	"22"	"2"	"400"	"125"	"62"	"13"	"5"	"45"	"6"	"2"	"8"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"15"	"4"	"0"	"289"	"289"	"1"	"0"
"10125"	"4"	"9"	"22"	"2"	"400"	"112"	"87"	"12"	"3"	"40"	"8"	"0"	"6"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"8"	"6"	"0"	"289"	"289"	"1"	"0"
"10126"	"4"	"9"	"22"	"2"	"395"	"103"	"62"	"15"	"3"	"36"	"6"	"1"	"7"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"1"	"0"	"250"	"250"	"1"	"0"
"10127"	"4"	"9"	"22"	"2"	"400"	"94"	"108"	"8"	"4"	"48"	"1"	"0"	"5"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"8"	"4"	"0"	"291"	"291"	"1"	"0"
"10128"	"4"	"9"	"22"	"2"	"396"	"87"	"62"	"12"	"2"	"48"	"3"	"1"	"6"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"9"	"4"	"0"	"238"	"238"	"1"	"0"
"10129"	"4"	"9"	"22"	"2"	"397"	"101"	"54"	"9"	"2"	"47"	"7"	"0"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"3"	"0"	"240"	"240"	"1"	"0"
"10130"	"4"	"9"	"22"	"2"	"397"	"104"	"85"	"8"	"7"	"56"	"4"	"0"	"7"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"2"	"0"	"286"	"286"	"1"	"0"
"10131"	"4"	"9"	"22"	"2"	"380"	"118"	"78"	"1"	"6"	"42"	"10"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"16"	"9"	"0"	"289"	"289"	"1"	"0"
"10132"	"4"	"9"	"22"	"2"	"380"	"96"	"67"	"4"	"7"	"50"	"5"	"0"	"4"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"25"	"6"	"0"	"271"	"271"	"1"	"0"
"10133"	"4"	"9"	"22"	"2"	"380"	"101"	"57"	"6"	"5"	"55"	"3"	"2"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"23"	"8"	"0"	"273"	"273"	"1"	"0"
"10134"	"4"	"9"	"22"	"2"	"376"	"105"	"58"	"7"	"8"	"61"	"3"	"0"	"8"	"4"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"21"	"3"	"0"	"282"	"282"	"1"	"0"
"10135"	"4"	"9"	"22"	"2"	"380"	"110"	"65"	"7"	"3"	"40"	"6"	"0"	"4"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"2"	"0"	"254"	"254"	"1"	"0"
"10136"	"4"	"9"	"22"	"2"	"380"	"108"	"61"	"4"	"7"	"36"	"2"	"2"	"8"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"9"	"9"	"0"	"255"	"255"	"1"	"0"
"10137"	"4"	"9"	"22"	"2"	"380"	"90"	"62"	"2"	"5"	"40"	"3"	"0"	"7"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"6"	"8"	"0"	"232"	"232"	"1"	"0"
"10138"	"4"	"9"	"22"	"2"	"251"	"67"	"40"	"1"	"6"	"18"	"4"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"7"	"1"	"0"	"154"	"154"	"1"	"0"
"10139"	"4"	"9"	"22"	"2"	"250"	"60"	"40"	"2"	"5"	"36"	"3"	"1"	"10"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"2"	"2"	"0"	"164"	"164"	"1"	"0"
"10140"	"4"	"9"	"22"	"2"	"380"	"99"	"50"	"4"	"5"	"58"	"1"	"1"	"6"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"10"	"0"	"255"	"255"	"1"	"0"
"10141"	"4"	"9"	"22"	"2"	"380"	"115"	"46"	"2"	"1"	"55"	"2"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"6"	"0"	"247"	"247"	"1"	"0"
