"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"TODOS"	"VIVA"	"CREO"	"PHG"	"BIEN"	"VICTORIA"	"VALOR"	"PC"	"FCN_NACION"	"UNE"	"SEMILLA"	"PPT"	"PAN"	"AVANZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3525"	"4"	"1"	"13"	"2"	"400"	"26"	"4"	"5"	"15"	"37"	"72"	"15"	"1"	"4"	"3"	"8"	"35"	"9"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"16"	"2"	"0"	"263"	"263"	"1"	"0"
"3526"	"4"	"1"	"13"	"2"	"403"	"18"	"7"	"2"	"12"	"53"	"81"	"17"	"3"	"15"	"0"	"4"	"31"	"9"	"0"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"3"	"0"	"277"	"277"	"1"	"0"
"3527"	"4"	"1"	"13"	"2"	"399"	"29"	"7"	"5"	"17"	"28"	"82"	"15"	"2"	"15"	"0"	"6"	"47"	"10"	"0"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"0"	"2"	"10"	"283"	"285"	"0"	"0"
"3528"	"4"	"1"	"13"	"1"	"400"	"29"	"6"	"3"	"16"	"32"	"77"	"17"	"2"	"16"	"2"	"6"	"55"	"6"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"6"	"55"	"6"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"3"	"0"	"292"	"292"	"1"	"0"
"3529"	"4"	"1"	"13"	"1"	"400"	"35"	"7"	"1"	"11"	"34"	"94"	"27"	"7"	"8"	"0"	"2"	"39"	"11"	"0"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"15"	"3"	"0"	"310"	"310"	"1"	"0"
"3530"	"4"	"1"	"13"	"1"	"400"	"33"	"10"	"2"	"15"	"35"	"89"	"19"	"5"	"11"	"1"	"10"	"39"	"7"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"10"	"39"	"7"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"283"	"283"	"16"	"6"	"0"	"305"	"305"	"1"	"0"
"3531"	"4"	"1"	"13"	"1"	"400"	"41"	"2"	"3"	"13"	"32"	"92"	"17"	"3"	"13"	"0"	"5"	"41"	"16"	"2"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"4"	"4"	"0"	"296"	"296"	"1"	"0"
"3532"	"4"	"1"	"13"	"1"	"400"	"42"	"4"	"2"	"9"	"34"	"89"	"9"	"0"	"12"	"2"	"5"	"55"	"9"	"1"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"22"	"4"	"0"	"320"	"320"	"1"	"0"
"3533"	"4"	"1"	"13"	"1"	"402"	"30"	"3"	"1"	"13"	"37"	"95"	"11"	"0"	"9"	"0"	"2"	"48"	"11"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"2"	"48"	"11"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"271"	"271"	"12"	"6"	"0"	"289"	"289"	"1"	"0"
"3534"	"4"	"1"	"13"	"1"	"400"	"40"	"6"	"2"	"7"	"35"	"112"	"10"	"0"	"12"	"1"	"2"	"62"	"9"	"1"	"3"	"9"	"0"	"0"	"0"	"0"	"2"	"62"	"9"	"1"	"3"	"9"	"0"	"0"	"0"	"0"	"311"	"311"	"12"	"3"	"0"	"326"	"326"	"1"	"0"
