"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"FCN_NACION"	"VICTORIA"	"WINAQ"	"VALOR"	"BIEN"	"SEMILLA"	"LAHO"	"TODOS"	"CONVERGENCIA"	"MLP"	"LIBRE"	"PHG"	"PODEMOS"	"VAMOS"	"PAN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17345"	"4"	"16"	"15"	"2"	"400"	"16"	"4"	"8"	"49"	"15"	"4"	"15"	"0"	"12"	"1"	"12"	"7"	"3"	"7"	"25"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"18"	"13"	"0"	"220"	"220"	"1"	"0"
"17346"	"4"	"16"	"15"	"2"	"400"	"18"	"1"	"7"	"32"	"19"	"3"	"25"	"0"	"16"	"7"	"22"	"6"	"4"	"6"	"43"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"23"	"7"	"0"	"247"	"247"	"1"	"0"
"17347"	"4"	"16"	"15"	"2"	"400"	"11"	"3"	"4"	"69"	"19"	"7"	"19"	"1"	"14"	"0"	"13"	"15"	"4"	"12"	"17"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"18"	"7"	"0"	"241"	"241"	"1"	"0"
"17348"	"4"	"16"	"15"	"2"	"400"	"8"	"3"	"7"	"56"	"24"	"5"	"7"	"0"	"13"	"0"	"7"	"17"	"5"	"11"	"24"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"19"	"7"	"0"	"221"	"221"	"1"	"0"
"17349"	"4"	"16"	"15"	"2"	"396"	"13"	"2"	"10"	"55"	"15"	"3"	"6"	"3"	"10"	"2"	"20"	"9"	"4"	"12"	"27"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"13"	"11"	"0"	"221"	"221"	"1"	"0"
"17350"	"4"	"16"	"15"	"2"	"400"	"33"	"7"	"14"	"31"	"20"	"7"	"11"	"1"	"15"	"2"	"16"	"3"	"9"	"15"	"23"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"16"	"4"	"0"	"235"	"235"	"1"	"0"
"17351"	"4"	"16"	"15"	"2"	"400"	"14"	"0"	"9"	"37"	"16"	"8"	"11"	"0"	"18"	"2"	"13"	"5"	"11"	"9"	"23"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"29"	"4"	"0"	"221"	"221"	"1"	"0"
"17352"	"4"	"16"	"15"	"2"	"400"	"21"	"6"	"7"	"34"	"24"	"3"	"19"	"1"	"15"	"1"	"9"	"4"	"12"	"0"	"25"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"23"	"14"	"0"	"224"	"224"	"1"	"0"
"17353"	"4"	"16"	"15"	"2"	"400"	"18"	"1"	"10"	"34"	"32"	"7"	"9"	"1"	"18"	"0"	"9"	"4"	"8"	"20"	"25"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"18"	"10"	"0"	"232"	"232"	"1"	"1"
"17354"	"4"	"16"	"15"	"2"	"400"	"18"	"1"	"9"	"45"	"17"	"8"	"5"	"1"	"22"	"2"	"12"	"3"	"8"	"11"	"20"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"13"	"9"	"0"	"212"	"212"	"1"	"0"
"17355"	"4"	"16"	"15"	"2"	"400"	"15"	"6"	"8"	"28"	"22"	"3"	"8"	"1"	"9"	"1"	"13"	"1"	"4"	"25"	"39"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"31"	"8"	"0"	"235"	"235"	"1"	"0"
