"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"PHG"	"UNIDOS"	"VAMOS"	"BIEN"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15969"	"4"	"15"	"5"	"2"	"396"	"11"	"106"	"52"	"108"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"1"	"1"	"287"	"287"	"1"	"0"
"15970"	"4"	"15"	"5"	"2"	"400"	"10"	"111"	"39"	"131"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"10"	"2"	"0"	"307"	"307"	"1"	"0"
"15971"	"4"	"15"	"5"	"2"	"396"	"14"	"113"	"36"	"115"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"10"	"3"	"0"	"296"	"296"	"1"	"1"
"15972"	"4"	"15"	"5"	"2"	"396"	"15"	"107"	"33"	"134"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"5"	"3"	"0"	"300"	"300"	"1"	"0"
"15973"	"4"	"15"	"5"	"2"	"396"	"10"	"100"	"50"	"140"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"9"	"2"	"1"	"319"	"319"	"1"	"0"
"15974"	"4"	"15"	"5"	"2"	"400"	"15"	"99"	"39"	"149"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"10"	"2"	"0"	"319"	"319"	"1"	"0"
"15975"	"4"	"15"	"5"	"2"	"396"	"8"	"109"	"57"	"119"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"12"	"5"	"0"	"314"	"314"	"1"	"0"
"15976"	"4"	"15"	"5"	"2"	"400"	"10"	"108"	"33"	"102"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"1"	"0"	"262"	"262"	"1"	"0"
"15977"	"4"	"15"	"5"	"2"	"396"	"9"	"90"	"43"	"117"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"4"	"0"	"274"	"274"	"1"	"0"
"15978"	"4"	"15"	"5"	"2"	"400"	"15"	"78"	"48"	"105"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"5"	"1"	"0"	"255"	"255"	"1"	"0"
