"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"BIEN"	"FUERZA"	"VALOR"	"PAN"	"CREO"	"PHG"	"TODOS"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5947"	"4"	"4"	"1"	"2"	"396"	"11"	"141"	"86"	"4"	"1"	"5"	"9"	"3"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"8"	"3"	"0"	"283"	"283"	"1"	"0"
"5948"	"4"	"4"	"1"	"2"	"400"	"11"	"142"	"68"	"4"	"2"	"7"	"12"	"2"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"1"	"0"	"272"	"272"	"1"	"0"
"5949"	"4"	"4"	"1"	"2"	"400"	"8"	"146"	"82"	"3"	"10"	"9"	"10"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"5"	"2"	"0"	"283"	"283"	"1"	"0"
"5950"	"4"	"4"	"1"	"2"	"400"	"7"	"132"	"82"	"2"	"6"	"6"	"15"	"6"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"13"	"4"	"0"	"289"	"289"	"1"	"0"
"5951"	"4"	"4"	"1"	"2"	"396"	"5"	"146"	"91"	"1"	"3"	"7"	"9"	"8"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"10"	"7"	"0"	"300"	"300"	"1"	"0"
"5952"	"4"	"4"	"1"	"2"	"394"	"9"	"156"	"82"	"0"	"6"	"9"	"18"	"2"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"9"	"3"	"0"	"310"	"310"	"1"	"0"
"5953"	"4"	"4"	"1"	"2"	"396"	"10"	"181"	"70"	"4"	"4"	"6"	"15"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"10"	"1"	"0"	"315"	"315"	"1"	"0"
"5954"	"4"	"4"	"1"	"2"	"396"	"7"	"134"	"99"	"4"	"5"	"7"	"12"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"13"	"1"	"0"	"299"	"299"	"1"	"0"
"5955"	"4"	"4"	"1"	"2"	"396"	"1"	"145"	"95"	"1"	"3"	"6"	"7"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"1"	"2"	"0"	"274"	"274"	"1"	"0"
"5956"	"4"	"4"	"1"	"2"	"398"	"6"	"171"	"72"	"2"	"5"	"6"	"8"	"2"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"0"	"0"	"288"	"288"	"1"	"1"
"5957"	"4"	"4"	"1"	"2"	"395"	"4"	"138"	"78"	"1"	"4"	"8"	"13"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"2"	"0"	"271"	"271"	"1"	"0"
"5958"	"4"	"4"	"1"	"2"	"400"	"7"	"155"	"88"	"1"	"5"	"9"	"13"	"2"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"1"	"0"	"302"	"302"	"1"	"1"
"5959"	"4"	"4"	"1"	"2"	"400"	"5"	"154"	"69"	"1"	"1"	"7"	"14"	"4"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"7"	"1"	"0"	"279"	"279"	"1"	"0"
