"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12888"	"4"	"13"	"1"	"2"	"400"	"9"	"100"	"10"	"1"	"4"	"23"	"3"	"6"	"28"	"4"	"10"	"8"	"0"	"7"	"6"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"3"	"0"	"246"	"246"	"1"	"0"
"12889"	"4"	"13"	"1"	"2"	"396"	"8"	"99"	"17"	"10"	"7"	"17"	"3"	"8"	"38"	"9"	"6"	"7"	"2"	"4"	"19"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"1"	"0"	"270"	"270"	"1"	"0"
"12890"	"4"	"13"	"1"	"2"	"396"	"3"	"89"	"16"	"8"	"2"	"28"	"5"	"6"	"28"	"10"	"6"	"6"	"3"	"8"	"5"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"9"	"0"	"256"	"256"	"1"	"0"
"12891"	"4"	"13"	"1"	"2"	"400"	"11"	"109"	"14"	"7"	"9"	"20"	"3"	"7"	"34"	"4"	"0"	"8"	"1"	"2"	"12"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"16"	"4"	"0"	"273"	"273"	"1"	"0"
"12892"	"4"	"13"	"1"	"2"	"400"	"14"	"96"	"10"	"9"	"5"	"21"	"4"	"3"	"31"	"6"	"7"	"7"	"2"	"3"	"17"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"3"	"0"	"258"	"258"	"1"	"0"
"12893"	"4"	"13"	"1"	"2"	"394"	"6"	"117"	"13"	"3"	"6"	"21"	"3"	"7"	"24"	"10"	"7"	"7"	"1"	"5"	"13"	"6"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"17"	"1"	"0"	"276"	"276"	"1"	"0"
"12894"	"4"	"13"	"1"	"2"	"400"	"12"	"115"	"16"	"10"	"5"	"27"	"7"	"4"	"24"	"5"	"10"	"7"	"1"	"3"	"14"	"3"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"3"	"0"	"285"	"285"	"1"	"0"
"12895"	"4"	"13"	"1"	"2"	"395"	"5"	"90"	"18"	"9"	"11"	"27"	"3"	"8"	"33"	"4"	"3"	"7"	"1"	"2"	"6"	"5"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"7"	"1"	"0"	"248"	"248"	"1"	"0"
"12896"	"4"	"13"	"1"	"2"	"396"	"5"	"93"	"19"	"3"	"4"	"16"	"3"	"5"	"39"	"13"	"6"	"7"	"1"	"2"	"8"	"8"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"1"	"0"	"245"	"245"	"1"	"0"
"12897"	"4"	"13"	"1"	"2"	"396"	"17"	"101"	"21"	"4"	"5"	"19"	"6"	"3"	"27"	"8"	"8"	"1"	"1"	"5"	"10"	"6"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"7"	"1"	"0"	"256"	"256"	"1"	"0"
