"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"CREO"	"VAMOS"	"UNE"	"BIEN"	"SEMILLA"	"WINAQ_URNG_LIBRE"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12684"	"4"	"12"	"23"	"2"	"403"	"16"	"57"	"57"	"15"	"7"	"23"	"27"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"8"	"0"	"232"	"232"	"1"	"0"
"12685"	"4"	"12"	"23"	"2"	"400"	"41"	"55"	"34"	"34"	"3"	"16"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"15"	"12"	"0"	"247"	"247"	"1"	"0"
"12686"	"4"	"12"	"23"	"2"	"400"	"21"	"14"	"90"	"14"	"13"	"31"	"36"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"23"	"6"	"0"	"254"	"254"	"1"	"1"
"12687"	"4"	"12"	"23"	"2"	"400"	"19"	"23"	"52"	"27"	"16"	"27"	"94"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"13"	"4"	"0"	"282"	"282"	"1"	"0"
"12688"	"4"	"12"	"23"	"2"	"400"	"21"	"33"	"26"	"6"	"6"	"11"	"110"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"12"	"8"	"0"	"236"	"236"	"1"	"0"
"12689"	"4"	"12"	"23"	"2"	"400"	"27"	"37"	"20"	"9"	"10"	"19"	"116"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"6"	"0"	"258"	"258"	"1"	"0"
"12690"	"4"	"12"	"23"	"2"	"400"	"21"	"29"	"58"	"7"	"11"	"16"	"74"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"10"	"5"	"0"	"235"	"235"	"1"	"0"
"12691"	"4"	"12"	"23"	"2"	"400"	"13"	"31"	"43"	"16"	"13"	"12"	"49"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"8"	"1"	"0"	"189"	"189"	"1"	"0"
"12692"	"4"	"12"	"23"	"2"	"400"	"21"	"35"	"56"	"14"	"9"	"16"	"49"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"23"	"11"	"0"	"237"	"237"	"1"	"0"
"12693"	"4"	"12"	"23"	"2"	"333"	"15"	"26"	"40"	"9"	"12"	"11"	"48"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"7"	"3"	"1"	"173"	"173"	"1"	"0"
"12694"	"4"	"12"	"23"	"2"	"332"	"12"	"37"	"42"	"12"	"11"	"17"	"48"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"3"	"0"	"0"	"188"	"188"	"1"	"0"
"12695"	"4"	"12"	"23"	"2"	"380"	"26"	"35"	"88"	"19"	"3"	"3"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"16"	"12"	"0"	"220"	"220"	"1"	"0"
"12696"	"4"	"12"	"23"	"2"	"380"	"34"	"20"	"74"	"30"	"2"	"2"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"13"	"20"	"0"	"221"	"221"	"1"	"0"
