"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"FUERZA"	"CONVERGENCIA"	"FCN_NACION"	"UCN"	"VAMOS"	"SEMILLA"	"UNE"	"PHG"	"LIBRE"	"UNIDOS"	"TODOS"	"MLP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13346"	"4"	"13"	"7"	"2"	"400"	"10"	"16"	"17"	"42"	"36"	"4"	"6"	"38"	"6"	"72"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"6"	"21"	"282"	"282"	"1"	"0"
"13347"	"4"	"13"	"7"	"2"	"400"	"9"	"9"	"17"	"41"	"42"	"3"	"12"	"34"	"4"	"77"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"8"	"0"	"280"	"280"	"1"	"0"
"13348"	"4"	"13"	"7"	"2"	"399"	"17"	"14"	"10"	"35"	"42"	"7"	"18"	"43"	"6"	"89"	"0"	"8"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"7"	"4"	"0"	"312"	"312"	"1"	"0"
"13349"	"4"	"13"	"7"	"2"	"397"	"7"	"11"	"20"	"30"	"42"	"2"	"18"	"37"	"11"	"80"	"0"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"7"	"0"	"290"	"290"	"1"	"0"
"13350"	"4"	"13"	"7"	"2"	"400"	"11"	"12"	"15"	"41"	"49"	"7"	"5"	"39"	"8"	"82"	"0"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"10"	"2"	"0"	"300"	"300"	"1"	"0"
"13351"	"4"	"13"	"7"	"2"	"396"	"14"	"3"	"11"	"39"	"44"	"3"	"8"	"29"	"8"	"71"	"0"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"4"	"0"	"254"	"254"	"1"	"0"
"13352"	"4"	"13"	"7"	"2"	"400"	"12"	"17"	"22"	"45"	"37"	"6"	"15"	"41"	"8"	"61"	"1"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"4"	"0"	"293"	"293"	"1"	"0"
"13353"	"4"	"13"	"7"	"2"	"400"	"6"	"19"	"21"	"26"	"40"	"7"	"7"	"41"	"6"	"78"	"0"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"10"	"6"	"0"	"280"	"280"	"1"	"0"
"13354"	"4"	"13"	"7"	"2"	"400"	"9"	"11"	"16"	"34"	"40"	"4"	"8"	"32"	"12"	"62"	"2"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"10"	"3"	"0"	"254"	"254"	"1"	"0"
"13355"	"4"	"13"	"7"	"2"	"342"	"11"	"9"	"11"	"21"	"28"	"6"	"8"	"31"	"7"	"64"	"1"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"4"	"6"	"0"	"217"	"217"	"1"	"0"
"13356"	"4"	"13"	"7"	"2"	"342"	"17"	"12"	"15"	"28"	"25"	"4"	"10"	"23"	"7"	"64"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"7"	"4"	"0"	"226"	"226"	"1"	"0"
"13357"	"4"	"13"	"7"	"2"	"400"	"9"	"12"	"15"	"35"	"36"	"8"	"8"	"44"	"8"	"61"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"13"	"10"	"0"	"270"	"270"	"1"	"0"
"13358"	"4"	"13"	"7"	"2"	"400"	"5"	"12"	"13"	"49"	"42"	"7"	"14"	"36"	"13"	"76"	"0"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"9"	"6"	"0"	"295"	"295"	"1"	"0"
"13359"	"4"	"13"	"7"	"2"	"400"	"6"	"3"	"20"	"46"	"39"	"11"	"13"	"49"	"5"	"85"	"0"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"6"	"5"	"0"	"306"	"306"	"1"	"0"
"13360"	"4"	"13"	"7"	"2"	"400"	"7"	"11"	"17"	"46"	"42"	"8"	"10"	"33"	"13"	"113"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"5"	"4"	"0"	"319"	"319"	"1"	"0"
"13361"	"4"	"13"	"7"	"2"	"400"	"3"	"8"	"8"	"59"	"33"	"6"	"10"	"34"	"7"	"65"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"3"	"4"	"0"	"252"	"252"	"1"	"0"
"13362"	"4"	"13"	"7"	"2"	"400"	"8"	"16"	"11"	"45"	"27"	"5"	"6"	"34"	"3"	"58"	"0"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"6"	"0"	"238"	"238"	"1"	"1"
"13363"	"4"	"13"	"7"	"2"	"400"	"10"	"6"	"13"	"38"	"34"	"9"	"9"	"31"	"8"	"87"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"5"	"0"	"270"	"270"	"1"	"0"
"13364"	"4"	"13"	"7"	"2"	"400"	"5"	"6"	"9"	"54"	"37"	"8"	"10"	"38"	"13"	"79"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"5"	"6"	"0"	"279"	"279"	"1"	"0"
"13365"	"4"	"13"	"7"	"2"	"250"	"2"	"6"	"8"	"28"	"22"	"8"	"5"	"20"	"5"	"36"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"7"	"5"	"0"	"162"	"162"	"1"	"0"
"13366"	"4"	"13"	"7"	"2"	"249"	"4"	"4"	"7"	"26"	"25"	"10"	"2"	"28"	"4"	"50"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"7"	"2"	"0"	"171"	"171"	"1"	"0"
"13367"	"4"	"13"	"7"	"2"	"380"	"9"	"8"	"4"	"12"	"43"	"3"	"1"	"14"	"2"	"71"	"0"	"3"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"3"	"4"	"0"	"233"	"233"	"1"	"0"
"13368"	"4"	"13"	"7"	"2"	"379"	"18"	"5"	"5"	"20"	"38"	"2"	"3"	"14"	"4"	"63"	"0"	"2"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"5"	"0"	"231"	"231"	"1"	"0"
"13369"	"4"	"13"	"7"	"2"	"380"	"10"	"7"	"6"	"19"	"52"	"3"	"1"	"13"	"2"	"59"	"0"	"3"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"2"	"3"	"0"	"228"	"228"	"1"	"0"
"13370"	"4"	"13"	"7"	"2"	"380"	"5"	"8"	"6"	"14"	"50"	"2"	"1"	"10"	"1"	"60"	"0"	"3"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"4"	"1"	"0"	"217"	"217"	"1"	"0"
"13371"	"4"	"13"	"7"	"2"	"330"	"8"	"8"	"11"	"16"	"35"	"4"	"3"	"20"	"0"	"52"	"0"	"7"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"5"	"2"	"0"	"243"	"243"	"1"	"0"
"13372"	"4"	"13"	"7"	"2"	"321"	"7"	"3"	"5"	"11"	"53"	"1"	"2"	"11"	"1"	"46"	"0"	"3"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"5"	"9"	"0"	"204"	"204"	"1"	"0"
"13373"	"4"	"13"	"7"	"2"	"320"	"10"	"3"	"3"	"5"	"40"	"5"	"0"	"18"	"0"	"39"	"0"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"4"	"4"	"0"	"177"	"177"	"1"	"0"
"13374"	"4"	"13"	"7"	"2"	"380"	"22"	"11"	"10"	"14"	"31"	"9"	"5"	"23"	"7"	"52"	"0"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"5"	"7"	"0"	"215"	"215"	"1"	"0"
"13375"	"4"	"13"	"7"	"2"	"380"	"23"	"6"	"7"	"10"	"22"	"11"	"6"	"27"	"1"	"44"	"1"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"5"	"10"	"0"	"188"	"188"	"1"	"0"
"13376"	"4"	"13"	"7"	"2"	"339"	"26"	"9"	"9"	"10"	"27"	"6"	"10"	"24"	"4"	"43"	"0"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"3"	"7"	"0"	"192"	"192"	"1"	"0"
"13377"	"4"	"13"	"7"	"2"	"339"	"15"	"7"	"8"	"7"	"14"	"6"	"4"	"15"	"4"	"38"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"7"	"8"	"0"	"151"	"151"	"1"	"0"
"13378"	"4"	"13"	"7"	"2"	"380"	"2"	"2"	"16"	"8"	"8"	"1"	"2"	"156"	"2"	"10"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"3"	"0"	"221"	"221"	"1"	"0"
"13379"	"4"	"13"	"7"	"2"	"386"	"1"	"0"	"16"	"6"	"6"	"0"	"3"	"170"	"4"	"9"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"11"	"4"	"0"	"234"	"234"	"1"	"0"
"13380"	"4"	"13"	"7"	"2"	"400"	"1"	"1"	"6"	"12"	"5"	"2"	"1"	"172"	"0"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"6"	"7"	"0"	"221"	"221"	"1"	"0"
"13381"	"4"	"13"	"7"	"2"	"380"	"2"	"2"	"12"	"7"	"5"	"0"	"0"	"216"	"1"	"5"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"6"	"1"	"0"	"260"	"260"	"1"	"0"
"13382"	"4"	"13"	"7"	"2"	"380"	"2"	"3"	"4"	"4"	"5"	"1"	"0"	"177"	"8"	"9"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"6"	"0"	"0"	"225"	"225"	"1"	"0"
"13383"	"4"	"13"	"7"	"2"	"380"	"1"	"7"	"7"	"11"	"14"	"2"	"1"	"150"	"4"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"8"	"2"	"0"	"214"	"214"	"1"	"0"
"13384"	"4"	"13"	"7"	"2"	"380"	"1"	"2"	"13"	"12"	"8"	"1"	"1"	"157"	"0"	"15"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"5"	"1"	"226"	"226"	"1"	"0"
"13385"	"4"	"13"	"7"	"2"	"333"	"1"	"2"	"6"	"9"	"13"	"0"	"0"	"132"	"0"	"10"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"3"	"2"	"0"	"180"	"180"	"1"	"0"
"13386"	"4"	"13"	"7"	"2"	"334"	"1"	"2"	"10"	"11"	"7"	"1"	"0"	"136"	"0"	"7"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"3"	"3"	"0"	"184"	"184"	"1"	"0"
"13387"	"4"	"13"	"7"	"2"	"396"	"3"	"0"	"4"	"9"	"5"	"0"	"2"	"47"	"5"	"4"	"0"	"1"	"129"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"3"	"8"	"0"	"220"	"220"	"1"	"0"
"13388"	"4"	"13"	"7"	"2"	"397"	"2"	"4"	"1"	"4"	"1"	"1"	"0"	"48"	"6"	"5"	"1"	"0"	"122"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"10"	"6"	"0"	"211"	"211"	"1"	"0"
"13389"	"4"	"13"	"7"	"2"	"400"	"2"	"1"	"6"	"9"	"6"	"2"	"0"	"33"	"4"	"4"	"0"	"1"	"140"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"6"	"5"	"0"	"219"	"219"	"1"	"0"
"13390"	"4"	"13"	"7"	"2"	"400"	"2"	"0"	"4"	"8"	"1"	"2"	"2"	"19"	"4"	"8"	"0"	"0"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"5"	"5"	"0"	"152"	"152"	"1"	"0"
"13391"	"4"	"13"	"7"	"2"	"400"	"3"	"2"	"2"	"9"	"2"	"1"	"1"	"41"	"3"	"4"	"0"	"1"	"115"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"4"	"8"	"0"	"196"	"196"	"1"	"0"
"13392"	"4"	"13"	"7"	"2"	"262"	"0"	"3"	"4"	"7"	"4"	"3"	"0"	"33"	"5"	"4"	"1"	"1"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"1"	"4"	"0"	"125"	"125"	"1"	"0"
"13393"	"4"	"13"	"7"	"2"	"265"	"1"	"3"	"1"	"5"	"2"	"1"	"1"	"20"	"0"	"4"	"1"	"0"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"3"	"2"	"0"	"113"	"113"	"1"	"0"
"13394"	"4"	"13"	"7"	"2"	"380"	"3"	"2"	"5"	"23"	"16"	"4"	"0"	"10"	"3"	"77"	"2"	"13"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"4"	"6"	"0"	"211"	"211"	"1"	"0"
"13395"	"4"	"13"	"7"	"2"	"380"	"3"	"3"	"12"	"21"	"12"	"1"	"2"	"26"	"1"	"81"	"0"	"18"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"4"	"0"	"0"	"233"	"233"	"1"	"0"
"13396"	"4"	"13"	"7"	"2"	"380"	"1"	"1"	"8"	"27"	"20"	"5"	"0"	"11"	"1"	"79"	"0"	"17"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"3"	"5"	"0"	"221"	"221"	"1"	"0"
"13397"	"4"	"13"	"7"	"2"	"348"	"3"	"3"	"7"	"14"	"21"	"2"	"2"	"14"	"1"	"54"	"0"	"9"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"6"	"4"	"0"	"178"	"178"	"1"	"0"
"13398"	"4"	"13"	"7"	"2"	"350"	"3"	"2"	"7"	"15"	"16"	"4"	"3"	"9"	"4"	"55"	"0"	"9"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"4"	"3"	"0"	"189"	"189"	"1"	"0"
"13399"	"4"	"13"	"7"	"2"	"380"	"8"	"3"	"12"	"24"	"27"	"1"	"2"	"43"	"21"	"75"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"10"	"5"	"0"	"239"	"239"	"1"	"0"
"13400"	"4"	"13"	"7"	"2"	"380"	"3"	"7"	"22"	"23"	"20"	"4"	"3"	"28"	"16"	"85"	"0"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"2"	"8"	"0"	"238"	"238"	"1"	"0"
"13401"	"4"	"13"	"7"	"2"	"212"	"8"	"4"	"9"	"15"	"6"	"3"	"2"	"18"	"8"	"19"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"2"	"3"	"0"	"107"	"107"	"1"	"0"
"13402"	"4"	"13"	"7"	"2"	"211"	"3"	"4"	"6"	"18"	"13"	"1"	"1"	"16"	"8"	"26"	"0"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"4"	"3"	"0"	"114"	"114"	"1"	"0"
"13403"	"4"	"13"	"7"	"2"	"600"	"9"	"11"	"2"	"18"	"32"	"1"	"9"	"43"	"4"	"39"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"4"	"4"	"0"	"191"	"191"	"1"	"0"
"13404"	"4"	"13"	"7"	"2"	"487"	"8"	"5"	"4"	"11"	"37"	"5"	"5"	"20"	"5"	"34"	"0"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"4"	"5"	"9"	"156"	"156"	"1"	"0"
