"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"UCN"	"VAMOS"	"FCN_NACION"	"VALOR"	"MLP"	"UNIONISTA"	"FUERZA"	"SEMILLA"	"VIVA"	"TODOS"	"PC"	"CONVERGENCIA"	"PHG"	"AVANZA"	"UNIDOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19788"	"4"	"21"	"1"	"2"	"393"	"78"	"14"	"69"	"11"	"17"	"6"	"3"	"0"	"6"	"21"	"5"	"2"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"15"	"5"	"1"	"257"	"257"	"1"	"0"
"19789"	"4"	"21"	"1"	"2"	"395"	"78"	"11"	"68"	"7"	"21"	"4"	"3"	"2"	"5"	"28"	"10"	"4"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"15"	"5"	"128"	"267"	"267"	"1"	"0"
"19790"	"4"	"21"	"1"	"2"	"400"	"80"	"16"	"46"	"2"	"36"	"6"	"3"	"1"	"8"	"16"	"6"	"1"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"21"	"11"	"0"	"259"	"259"	"1"	"0"
"19791"	"4"	"21"	"1"	"2"	"396"	"97"	"8"	"63"	"4"	"35"	"2"	"4"	"0"	"6"	"12"	"5"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"20"	"11"	"0"	"271"	"271"	"1"	"0"
"19792"	"4"	"21"	"1"	"2"	"400"	"82"	"14"	"73"	"8"	"10"	"11"	"2"	"4"	"2"	"18"	"6"	"6"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"6"	"0"	"260"	"260"	"1"	"0"
"19793"	"4"	"21"	"1"	"2"	"400"	"81"	"18"	"70"	"7"	"18"	"4"	"5"	"5"	"4"	"16"	"2"	"2"	"1"	"1"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"243"	"14"	"13"	"0"	"269"	"270"	"0"	"0"
"19794"	"4"	"21"	"1"	"2"	"396"	"85"	"16"	"73"	"7"	"23"	"5"	"7"	"1"	"4"	"11"	"8"	"3"	"1"	"1"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"8"	"9"	"286"	"286"	"1"	"0"
"19795"	"4"	"21"	"1"	"2"	"396"	"91"	"13"	"61"	"5"	"20"	"5"	"2"	"0"	"5"	"16"	"7"	"6"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"33"	"13"	"0"	"281"	"281"	"1"	"0"
"19796"	"4"	"21"	"1"	"2"	"400"	"82"	"15"	"71"	"7"	"16"	"6"	"2"	"6"	"7"	"26"	"8"	"2"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"20"	"11"	"0"	"286"	"286"	"1"	"0"
"19797"	"4"	"21"	"1"	"2"	"400"	"78"	"13"	"67"	"9"	"18"	"6"	"2"	"0"	"0"	"24"	"2"	"4"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"17"	"3"	"0"	"251"	"251"	"1"	"0"
