"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15114"	"4"	"14"	"12"	"2"	"400"	"114"	"3"	"69"	"7"	"10"	"7"	"6"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"12"	"0"	"252"	"252"	"1"	"0"
"15115"	"4"	"14"	"12"	"2"	"400"	"162"	"3"	"42"	"6"	"1"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"10"	"10"	"249"	"249"	"1"	"0"
"15116"	"4"	"14"	"12"	"2"	"400"	"88"	"6"	"83"	"5"	"2"	"6"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"200"	"14"	"16"	"0"	"229"	"230"	"0"	"0"
"15117"	"4"	"14"	"12"	"2"	"400"	"114"	"4"	"73"	"6"	"1"	"6"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"18"	"8"	"0"	"250"	"250"	"1"	"0"
"15118"	"4"	"14"	"12"	"2"	"400"	"105"	"3"	"78"	"4"	"2"	"4"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"11"	"22"	"0"	"239"	"239"	"1"	"0"
"15119"	"4"	"14"	"12"	"2"	"400"	"109"	"7"	"86"	"9"	"5"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"11"	"0"	"259"	"259"	"1"	"0"
"15120"	"4"	"14"	"12"	"2"	"0"	"105"	"5"	"80"	"9"	"2"	"7"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"13"	"0"	"255"	"255"	"1"	"0"
"15121"	"4"	"14"	"12"	"2"	"400"	"138"	"8"	"63"	"2"	"2"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"4"	"17"	"0"	"247"	"247"	"1"	"0"
"15122"	"4"	"14"	"12"	"2"	"400"	"148"	"2"	"36"	"8"	"1"	"3"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"4"	"11"	"0"	"225"	"225"	"1"	"0"
"15123"	"4"	"14"	"12"	"2"	"400"	"126"	"6"	"48"	"6"	"0"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"24"	"17"	"0"	"242"	"242"	"1"	"0"
