"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"TODOS"	"FCN_NACION"	"VICTORIA"	"UCN"	"VAMOS"	"VALOR"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17103"	"4"	"16"	"11"	"2"	"400"	"36"	"53"	"18"	"42"	"3"	"3"	"5"	"39"	"21"	"11"	"8"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"17"	"5"	"0"	"322"	"322"	"1"	"0"
"17104"	"4"	"16"	"11"	"2"	"396"	"46"	"68"	"25"	"48"	"4"	"0"	"2"	"30"	"12"	"5"	"1"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"17"	"8"	"0"	"324"	"324"	"1"	"0"
"17105"	"4"	"16"	"11"	"2"	"396"	"53"	"60"	"18"	"51"	"4"	"0"	"4"	"27"	"12"	"10"	"2"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"20"	"7"	"0"	"329"	"329"	"1"	"0"
"17106"	"4"	"16"	"11"	"2"	"379"	"35"	"63"	"9"	"72"	"1"	"0"	"2"	"33"	"20"	"4"	"4"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"9"	"4"	"0"	"307"	"307"	"1"	"0"
"17107"	"4"	"16"	"11"	"2"	"396"	"35"	"64"	"11"	"45"	"6"	"2"	"4"	"26"	"11"	"13"	"4"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"5"	"5"	"0"	"277"	"277"	"1"	"0"
"17108"	"4"	"16"	"11"	"2"	"394"	"49"	"85"	"28"	"50"	"4"	"1"	"2"	"21"	"13"	"11"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"12"	"1"	"0"	"331"	"331"	"1"	"0"
"17109"	"4"	"16"	"11"	"2"	"400"	"40"	"44"	"22"	"48"	"5"	"4"	"1"	"40"	"8"	"15"	"4"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"14"	"5"	"0"	"294"	"294"	"1"	"0"
"17110"	"4"	"16"	"11"	"2"	"396"	"37"	"39"	"28"	"46"	"7"	"6"	"5"	"25"	"6"	"16"	"2"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"7"	"0"	"286"	"286"	"1"	"0"
"17111"	"4"	"16"	"11"	"2"	"394"	"39"	"50"	"18"	"50"	"7"	"6"	"2"	"31"	"13"	"13"	"5"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"3"	"0"	"284"	"284"	"1"	"0"
"17112"	"4"	"16"	"11"	"2"	"223"	"24"	"41"	"11"	"30"	"5"	"2"	"3"	"20"	"9"	"10"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"0"	"0"	"0"	"176"	"176"	"1"	"0"
"17113"	"4"	"16"	"11"	"2"	"220"	"27"	"44"	"17"	"24"	"6"	"0"	"1"	"15"	"7"	"3"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"1"	"1"	"0"	"176"	"176"	"1"	"0"
"17114"	"4"	"16"	"11"	"2"	"396"	"37"	"38"	"24"	"50"	"5"	"3"	"10"	"31"	"4"	"10"	"4"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"15"	"11"	"0"	"277"	"277"	"1"	"0"
