"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"UNE"	"PHG"	"BIEN"	"SEMILLA"	"LIBRE"	"VALOR"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12846"	"4"	"12"	"30"	"2"	"399"	"44"	"96"	"8"	"82"	"1"	"7"	"1"	"2"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"6"	"0"	"281"	"281"	"1"	"1"
"12847"	"4"	"12"	"30"	"2"	"400"	"68"	"95"	"15"	"84"	"2"	"5"	"0"	"2"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"8"	"7"	"0"	"297"	"297"	"1"	"0"
"12848"	"4"	"12"	"30"	"2"	"397"	"49"	"78"	"8"	"83"	"2"	"6"	"0"	"2"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"3"	"6"	"0"	"252"	"252"	"1"	"3"
"12849"	"4"	"12"	"30"	"2"	"396"	"37"	"99"	"7"	"90"	"2"	"4"	"0"	"4"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"3"	"0"	"270"	"270"	"1"	"3"
"12850"	"4"	"12"	"30"	"2"	"396"	"40"	"87"	"12"	"75"	"2"	"3"	"0"	"2"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"3"	"0"	"249"	"249"	"1"	"5"
"12851"	"4"	"12"	"30"	"2"	"249"	"26"	"44"	"5"	"44"	"2"	"4"	"0"	"3"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"5"	"0"	"0"	"147"	"147"	"1"	"1"
"12852"	"4"	"12"	"30"	"2"	"248"	"28"	"51"	"4"	"51"	"2"	"2"	"0"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"8"	"1"	"0"	"154"	"154"	"1"	"0"
"12853"	"4"	"12"	"30"	"2"	"400"	"53"	"116"	"14"	"85"	"2"	"2"	"0"	"2"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"8"	"5"	"0"	"300"	"300"	"1"	"0"
"12854"	"4"	"12"	"30"	"2"	"400"	"46"	"114"	"16"	"94"	"1"	"5"	"1"	"5"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"12"	"6"	"0"	"314"	"314"	"1"	"2"
"12855"	"4"	"12"	"30"	"2"	"396"	"36"	"121"	"13"	"83"	"2"	"5"	"0"	"4"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"12"	"2"	"0"	"300"	"300"	"1"	"1"
"12856"	"4"	"12"	"30"	"2"	"396"	"60"	"88"	"13"	"91"	"2"	"7"	"0"	"1"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"6"	"0"	"0"	"289"	"289"	"1"	"6"
"12857"	"4"	"12"	"30"	"2"	"400"	"44"	"118"	"9"	"82"	"2"	"5"	"2"	"8"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"7"	"1"	"0"	"294"	"294"	"1"	"3"
"12858"	"4"	"12"	"30"	"2"	"400"	"34"	"106"	"12"	"76"	"2"	"8"	"0"	"2"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"4"	"0"	"265"	"265"	"1"	"6"
