"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"WINAQ"	"MLT"	"UNIONISTA"	"FCN_NACION"	"PHG"	"VAMOS"	"MLP"	"SEMILLA"	"PODEMOS"	"CREO"	"BIEN"	"FUERZA"	"VALOR"	"LIBRE"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17697"	"4"	"17"	"5"	"2"	"400"	"37"	"12"	"14"	"9"	"71"	"21"	"3"	"5"	"3"	"0"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"14"	"8"	"0"	"207"	"207"	"1"	"0"
"17698"	"4"	"17"	"5"	"2"	"400"	"32"	"11"	"11"	"15"	"71"	"23"	"3"	"5"	"3"	"1"	"1"	"7"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"17"	"12"	"0"	"219"	"219"	"1"	"0"
"17699"	"4"	"17"	"5"	"2"	"400"	"45"	"12"	"14"	"15"	"67"	"18"	"4"	"12"	"1"	"0"	"1"	"13"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"13"	"9"	"0"	"233"	"233"	"1"	"0"
"17700"	"4"	"17"	"5"	"2"	"400"	"44"	"8"	"8"	"12"	"82"	"29"	"7"	"0"	"3"	"2"	"1"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"21"	"6"	"0"	"243"	"243"	"1"	"0"
"17701"	"4"	"17"	"5"	"2"	"400"	"44"	"11"	"10"	"11"	"91"	"30"	"3"	"9"	"2"	"0"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"13"	"6"	"0"	"241"	"241"	"1"	"0"
"17702"	"4"	"17"	"5"	"2"	"400"	"45"	"2"	"9"	"12"	"87"	"37"	"7"	"12"	"3"	"0"	"0"	"6"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"5"	"0"	"250"	"250"	"1"	"0"
"17703"	"4"	"17"	"5"	"2"	"400"	"27"	"8"	"10"	"14"	"107"	"40"	"3"	"11"	"1"	"0"	"3"	"12"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"8"	"0"	"261"	"261"	"1"	"0"
"17704"	"4"	"17"	"5"	"2"	"400"	"34"	"7"	"16"	"14"	"99"	"49"	"2"	"5"	"2"	"2"	"1"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"9"	"0"	"266"	"266"	"1"	"0"
"17705"	"4"	"17"	"5"	"2"	"400"	"42"	"6"	"17"	"9"	"88"	"38"	"4"	"15"	"3"	"2"	"0"	"9"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"13"	"3"	"0"	"256"	"256"	"1"	"0"
"17706"	"4"	"17"	"5"	"2"	"394"	"30"	"5"	"9"	"2"	"83"	"30"	"2"	"7"	"1"	"0"	"0"	"8"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"5"	"3"	"0"	"203"	"203"	"1"	"0"
"17707"	"4"	"17"	"5"	"2"	"400"	"33"	"7"	"18"	"8"	"65"	"34"	"6"	"4"	"2"	"0"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"15"	"6"	"0"	"209"	"209"	"1"	"0"
"17708"	"4"	"17"	"5"	"2"	"400"	"34"	"5"	"13"	"11"	"82"	"22"	"4"	"3"	"1"	"1"	"0"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"12"	"4"	"0"	"209"	"209"	"1"	"0"
"17709"	"4"	"17"	"5"	"2"	"400"	"40"	"7"	"12"	"8"	"84"	"27"	"1"	"7"	"4"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"8"	"4"	"0"	"208"	"208"	"1"	"0"
"17710"	"4"	"17"	"5"	"2"	"394"	"33"	"5"	"9"	"14"	"81"	"24"	"1"	"5"	"3"	"0"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"12"	"6"	"0"	"203"	"203"	"1"	"0"
"17711"	"4"	"17"	"5"	"2"	"396"	"30"	"4"	"12"	"13"	"88"	"28"	"3"	"6"	"0"	"0"	"0"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"12"	"3"	"0"	"215"	"215"	"1"	"0"
"17712"	"4"	"17"	"5"	"2"	"394"	"42"	"6"	"13"	"10"	"74"	"34"	"1"	"6"	"1"	"0"	"2"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"7"	"6"	"0"	"214"	"214"	"1"	"0"
