"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"UCN"	"LIBRE"	"VAMOS"	"FUERZA"	"PHG"	"PC"	"VICTORIA"	"VALOR"	"CREO"	"AVANZA"	"URNG_MAIZ"	"PAN"	"VIVA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12615"	"4"	"12"	"21"	"2"	"400"	"39"	"21"	"77"	"11"	"16"	"7"	"3"	"46"	"9"	"1"	"7"	"9"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"4"	"0"	"270"	"270"	"1"	"0"
"12616"	"4"	"12"	"21"	"2"	"400"	"40"	"30"	"87"	"9"	"24"	"1"	"1"	"35"	"8"	"2"	"7"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"19"	"5"	"0"	"282"	"282"	"1"	"0"
"12617"	"4"	"12"	"21"	"2"	"400"	"35"	"29"	"79"	"8"	"20"	"8"	"12"	"43"	"10"	"2"	"5"	"7"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"262"	"0"	"6"	"0"	"285"	"268"	"0"	"0"
"12618"	"4"	"12"	"21"	"2"	"400"	"31"	"36"	"73"	"8"	"21"	"5"	"2"	"46"	"10"	"2"	"4"	"4"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"28"	"16"	"0"	"290"	"290"	"1"	"0"
"12619"	"4"	"12"	"21"	"2"	"400"	"39"	"16"	"87"	"6"	"27"	"7"	"3"	"55"	"16"	"1"	"6"	"6"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"23"	"12"	"0"	"308"	"308"	"1"	"0"
"12620"	"4"	"12"	"21"	"2"	"400"	"32"	"46"	"95"	"3"	"31"	"2"	"2"	"37"	"5"	"0"	"4"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"23"	"7"	"0"	"298"	"298"	"1"	"0"
"12621"	"4"	"12"	"21"	"2"	"400"	"43"	"27"	"98"	"9"	"22"	"4"	"4"	"38"	"13"	"0"	"6"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"17"	"6"	"0"	"295"	"295"	"1"	"0"
"12622"	"4"	"12"	"21"	"2"	"400"	"45"	"22"	"82"	"10"	"21"	"6"	"4"	"58"	"10"	"1"	"10"	"6"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"10"	"0"	"306"	"306"	"1"	"0"
"12623"	"4"	"12"	"21"	"2"	"400"	"26"	"27"	"87"	"4"	"20"	"2"	"4"	"40"	"11"	"2"	"5"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"4"	"2"	"0"	"243"	"243"	"1"	"0"
"12624"	"4"	"12"	"21"	"2"	"400"	"51"	"20"	"84"	"4"	"18"	"3"	"0"	"31"	"6"	"0"	"5"	"10"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"235"	"6"	"6"	"0"	"251"	"247"	"0"	"0"
"12625"	"4"	"12"	"21"	"2"	"400"	"45"	"32"	"64"	"7"	"15"	"6"	"2"	"36"	"12"	"2"	"4"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"13"	"2"	"0"	"251"	"251"	"1"	"0"
"12626"	"4"	"12"	"21"	"2"	"400"	"33"	"19"	"69"	"15"	"18"	"10"	"3"	"41"	"17"	"0"	"4"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"5"	"0"	"254"	"254"	"1"	"0"
"12627"	"4"	"12"	"21"	"2"	"400"	"38"	"23"	"75"	"7"	"23"	"4"	"1"	"35"	"9"	"1"	"5"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"11"	"7"	"0"	"249"	"249"	"1"	"0"
"12628"	"4"	"12"	"21"	"2"	"400"	"29"	"26"	"76"	"12"	"21"	"5"	"2"	"34"	"7"	"1"	"9"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"1"	"0"	"237"	"237"	"1"	"0"
"12629"	"4"	"12"	"21"	"2"	"400"	"45"	"30"	"80"	"21"	"23"	"5"	"6"	"53"	"7"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"6"	"2"	"0"	"287"	"287"	"1"	"0"
"12630"	"4"	"12"	"21"	"2"	"400"	"32"	"17"	"93"	"14"	"14"	"8"	"2"	"40"	"11"	"0"	"4"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"3"	"3"	"0"	"251"	"251"	"1"	"0"
"12631"	"4"	"12"	"21"	"2"	"400"	"43"	"17"	"71"	"8"	"25"	"4"	"2"	"41"	"12"	"1"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"5"	"0"	"248"	"248"	"1"	"0"
