"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"CONVERGENCIA"	"PHG"	"UNIONISTA"	"VAMOS"	"FUERZA"	"LIBRE"	"VICTORIA"	"SEMILLA"	"TODOS"	"EG"	"VALOR"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12269"	"4"	"12"	"15"	"2"	"400"	"67"	"51"	"5"	"7"	"6"	"49"	"6"	"15"	"6"	"1"	"3"	"18"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"19"	"5"	"0"	"262"	"262"	"1"	"0"
"12270"	"4"	"12"	"15"	"2"	"400"	"56"	"54"	"5"	"11"	"2"	"34"	"7"	"21"	"5"	"1"	"2"	"18"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"3"	"0"	"240"	"240"	"1"	"0"
"12271"	"4"	"12"	"15"	"2"	"400"	"62"	"58"	"2"	"9"	"7"	"56"	"5"	"19"	"8"	"3"	"4"	"17"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"3"	"0"	"268"	"268"	"1"	"0"
"12272"	"4"	"12"	"15"	"2"	"398"	"81"	"58"	"6"	"8"	"11"	"40"	"2"	"17"	"6"	"2"	"0"	"16"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"18"	"4"	"0"	"272"	"272"	"1"	"0"
"12273"	"4"	"12"	"15"	"2"	"400"	"59"	"56"	"8"	"9"	"9"	"61"	"6"	"10"	"11"	"1"	"4"	"13"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"18"	"2"	"0"	"272"	"272"	"1"	"0"
"12274"	"4"	"12"	"15"	"2"	"400"	"59"	"46"	"10"	"11"	"10"	"60"	"3"	"8"	"5"	"1"	"8"	"15"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"12"	"4"	"0"	"261"	"261"	"1"	"0"
"12275"	"4"	"12"	"15"	"2"	"400"	"58"	"51"	"8"	"12"	"6"	"39"	"4"	"13"	"15"	"2"	"2"	"25"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"3"	"0"	"258"	"258"	"1"	"0"
"12276"	"4"	"12"	"15"	"2"	"401"	"62"	"58"	"4"	"8"	"3"	"33"	"15"	"18"	"16"	"0"	"0"	"28"	"6"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"8"	"2"	"0"	"266"	"266"	"1"	"0"
"12277"	"4"	"12"	"15"	"2"	"397"	"60"	"42"	"6"	"5"	"4"	"27"	"5"	"14"	"10"	"1"	"3"	"18"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"5"	"1"	"0"	"206"	"206"	"1"	"0"
"12278"	"4"	"12"	"15"	"2"	"400"	"73"	"53"	"5"	"7"	"4"	"40"	"5"	"12"	"9"	"1"	"1"	"18"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"4"	"5"	"0"	"239"	"239"	"1"	"0"
