"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UNE"	"PC"	"TODOS"	"CREO"	"VIVA"	"UNIDOS"	"FCN_NACION"	"BIEN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6684"	"4"	"5"	"5"	"2"	"400"	"8"	"5"	"83"	"71"	"9"	"7"	"2"	"33"	"18"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"16"	"5"	"0"	"271"	"271"	"1"	"0"
"6685"	"4"	"5"	"5"	"2"	"400"	"11"	"7"	"76"	"85"	"7"	"2"	"3"	"37"	"10"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"13"	"3"	"0"	"275"	"275"	"1"	"0"
"6686"	"4"	"5"	"5"	"2"	"400"	"10"	"4"	"82"	"71"	"9"	"8"	"5"	"33"	"18"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"17"	"3"	"0"	"286"	"286"	"1"	"0"
"6687"	"4"	"5"	"5"	"2"	"400"	"6"	"8"	"79"	"88"	"10"	"3"	"5"	"34"	"19"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"18"	"1"	"0"	"283"	"283"	"1"	"0"
"6688"	"4"	"5"	"5"	"2"	"400"	"5"	"9"	"71"	"93"	"17"	"3"	"4"	"34"	"20"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"16"	"6"	"0"	"300"	"300"	"1"	"0"
"6689"	"4"	"5"	"5"	"2"	"400"	"8"	"20"	"83"	"78"	"8"	"4"	"3"	"23"	"22"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"4"	"0"	"276"	"276"	"1"	"0"
"6690"	"4"	"5"	"5"	"2"	"400"	"9"	"2"	"61"	"73"	"8"	"4"	"2"	"31"	"21"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"16"	"4"	"0"	"246"	"246"	"1"	"0"
"6691"	"4"	"5"	"5"	"2"	"400"	"7"	"8"	"79"	"76"	"4"	"3"	"2"	"23"	"18"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"3"	"0"	"245"	"245"	"1"	"0"
"6692"	"4"	"5"	"5"	"2"	"400"	"5"	"7"	"71"	"86"	"10"	"1"	"6"	"26"	"9"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"14"	"5"	"0"	"263"	"263"	"1"	"0"
"6693"	"4"	"5"	"5"	"2"	"401"	"5"	"8"	"83"	"82"	"9"	"4"	"2"	"31"	"15"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"11"	"3"	"0"	"279"	"279"	"1"	"0"
