"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"BIEN"	"UNE"	"FCN_NACION"	"VALOR"	"MLP"	"VICTORIA"	"VIVA"	"PHG"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20176"	"4"	"21"	"7"	"2"	"400"	"2"	"4"	"57"	"90"	"15"	"45"	"8"	"7"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"4"	"0"	"247"	"247"	"1"	"0"
"20177"	"4"	"21"	"7"	"2"	"399"	"8"	"4"	"59"	"102"	"11"	"40"	"9"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"6"	"4"	"0"	"255"	"255"	"1"	"0"
"20178"	"4"	"21"	"7"	"2"	"400"	"5"	"1"	"46"	"94"	"17"	"47"	"10"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"16"	"4"	"0"	"252"	"252"	"1"	"0"
"20179"	"4"	"21"	"7"	"2"	"400"	"2"	"3"	"55"	"73"	"15"	"52"	"16"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"17"	"4"	"0"	"245"	"245"	"1"	"0"
"20180"	"4"	"21"	"7"	"2"	"400"	"3"	"4"	"61"	"108"	"11"	"39"	"9"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"9"	"5"	"0"	"255"	"255"	"1"	"0"
"20181"	"4"	"21"	"7"	"2"	"0"	"2"	"1"	"52"	"124"	"13"	"52"	"9"	"9"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"10"	"13"	"0"	"292"	"292"	"1"	"0"
"20182"	"4"	"21"	"7"	"2"	"400"	"2"	"2"	"52"	"94"	"16"	"40"	"34"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"4"	"0"	"270"	"270"	"1"	"0"
"20183"	"4"	"21"	"7"	"2"	"400"	"2"	"1"	"41"	"91"	"10"	"49"	"15"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"0"	"0"	"221"	"221"	"1"	"0"
"20184"	"4"	"21"	"7"	"2"	"400"	"5"	"1"	"56"	"171"	"17"	"36"	"9"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"304"	"7"	"0"	"0"	"251"	"311"	"0"	"0"
"20185"	"4"	"21"	"7"	"2"	"400"	"5"	"1"	"83"	"99"	"12"	"46"	"7"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"3"	"3"	"0"	"271"	"271"	"1"	"0"
"20186"	"4"	"21"	"7"	"2"	"396"	"4"	"2"	"75"	"100"	"4"	"40"	"1"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"4"	"0"	"249"	"249"	"1"	"0"
"20187"	"4"	"21"	"7"	"2"	"304"	"1"	"0"	"54"	"70"	"9"	"31"	"6"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"2"	"2"	"0"	"194"	"194"	"1"	"0"
"20188"	"4"	"21"	"7"	"2"	"304"	"3"	"2"	"67"	"64"	"17"	"46"	"2"	"6"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"1"	"0"	"0"	"218"	"218"	"1"	"0"
"20189"	"4"	"21"	"7"	"2"	"400"	"8"	"2"	"70"	"127"	"7"	"41"	"3"	"7"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"10"	"3"	"0"	"286"	"286"	"1"	"0"
"20190"	"4"	"21"	"7"	"2"	"396"	"0"	"2"	"86"	"111"	"9"	"36"	"5"	"6"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"1"	"0"	"272"	"272"	"1"	"2"
"20191"	"4"	"21"	"7"	"2"	"401"	"2"	"3"	"61"	"117"	"13"	"39"	"6"	"9"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"9"	"0"	"279"	"279"	"1"	"0"
"20192"	"4"	"21"	"7"	"2"	"398"	"3"	"2"	"60"	"125"	"14"	"39"	"9"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"17"	"1"	"0"	"280"	"280"	"1"	"0"
"20193"	"4"	"21"	"7"	"2"	"400"	"8"	"3"	"72"	"108"	"5"	"31"	"7"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"6"	"0"	"276"	"276"	"1"	"0"
"20194"	"4"	"21"	"7"	"2"	"398"	"6"	"6"	"71"	"107"	"6"	"28"	"9"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"7"	"0"	"262"	"262"	"1"	"0"
"20195"	"4"	"21"	"7"	"2"	"400"	"2"	"3"	"73"	"124"	"9"	"41"	"5"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"6"	"12"	"0"	"284"	"284"	"1"	"0"
"20196"	"4"	"21"	"7"	"2"	"400"	"4"	"3"	"76"	"100"	"9"	"52"	"4"	"8"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"268"	"6"	"2"	"0"	"275"	"276"	"0"	"0"
"20197"	"4"	"21"	"7"	"2"	"399"	"0"	"0"	"68"	"101"	"9"	"36"	"7"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"3"	"1"	"0"	"239"	"239"	"1"	"0"
"20198"	"4"	"21"	"7"	"2"	"400"	"4"	"3"	"73"	"96"	"7"	"40"	"5"	"9"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"0"	"0"	"259"	"259"	"1"	"0"
