"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"CCM"	"FCN_NACION"	"BIEN"	"VAMOS"	"UCN"	"UNE"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20131"	"4"	"21"	"6"	"2"	"400"	"16"	"99"	"18"	"17"	"10"	"41"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"9"	"1"	"0"	"291"	"291"	"1"	"0"
"20132"	"4"	"21"	"6"	"2"	"400"	"22"	"80"	"28"	"18"	"3"	"53"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"13"	"8"	"0"	"280"	"280"	"1"	"0"
"20133"	"4"	"21"	"6"	"2"	"400"	"21"	"90"	"33"	"17"	"4"	"50"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"15"	"4"	"0"	"299"	"299"	"1"	"0"
"20134"	"4"	"21"	"6"	"2"	"400"	"18"	"110"	"19"	"18"	"7"	"44"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"4"	"0"	"299"	"299"	"1"	"0"
"20135"	"4"	"21"	"6"	"2"	"403"	"18"	"104"	"22"	"26"	"5"	"41"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"20"	"4"	"0"	"302"	"302"	"1"	"0"
"20136"	"4"	"21"	"6"	"2"	"400"	"30"	"89"	"18"	"23"	"6"	"50"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"12"	"3"	"0"	"293"	"293"	"1"	"0"
"20137"	"4"	"21"	"6"	"2"	"400"	"30"	"96"	"22"	"17"	"7"	"41"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"7"	"4"	"0"	"307"	"307"	"1"	"0"
"20138"	"4"	"21"	"6"	"2"	"400"	"16"	"101"	"20"	"19"	"7"	"39"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"17"	"8"	"0"	"300"	"300"	"1"	"0"
"20139"	"4"	"21"	"6"	"2"	"400"	"23"	"94"	"20"	"24"	"3"	"54"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"5"	"0"	"304"	"304"	"1"	"0"
"20140"	"4"	"21"	"6"	"2"	"400"	"33"	"87"	"25"	"26"	"6"	"41"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"17"	"6"	"0"	"323"	"323"	"1"	"0"
"20141"	"4"	"21"	"6"	"2"	"400"	"19"	"117"	"16"	"19"	"10"	"45"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"15"	"2"	"0"	"310"	"310"	"1"	"0"
"20142"	"4"	"21"	"6"	"2"	"400"	"27"	"89"	"23"	"19"	"7"	"50"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"6"	"0"	"301"	"301"	"1"	"0"
"20143"	"4"	"21"	"6"	"2"	"400"	"25"	"102"	"14"	"23"	"3"	"52"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"13"	"3"	"0"	"301"	"301"	"1"	"0"
"20144"	"4"	"21"	"6"	"2"	"400"	"20"	"104"	"19"	"20"	"6"	"46"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"11"	"11"	"0"	"318"	"318"	"1"	"0"
"20145"	"4"	"21"	"6"	"2"	"400"	"18"	"69"	"25"	"19"	"5"	"60"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"14"	"7"	"0"	"310"	"310"	"1"	"0"
"20146"	"4"	"21"	"6"	"2"	"400"	"11"	"97"	"21"	"19"	"4"	"66"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"13"	"8"	"0"	"300"	"300"	"1"	"0"
"20147"	"4"	"21"	"6"	"2"	"400"	"18"	"114"	"23"	"18"	"5"	"32"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"3"	"0"	"274"	"274"	"1"	"0"
"20148"	"4"	"21"	"6"	"2"	"400"	"26"	"87"	"26"	"33"	"7"	"36"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"9"	"3"	"0"	"275"	"275"	"1"	"0"
"20149"	"4"	"21"	"6"	"2"	"400"	"19"	"88"	"15"	"21"	"5"	"30"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"5"	"4"	"0"	"244"	"244"	"1"	"0"
"20150"	"4"	"21"	"6"	"2"	"401"	"20"	"85"	"16"	"26"	"3"	"37"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"6"	"0"	"258"	"258"	"1"	"0"
"20151"	"4"	"21"	"6"	"2"	"400"	"22"	"111"	"12"	"22"	"7"	"43"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"11"	"8"	"0"	"291"	"291"	"1"	"0"
"20152"	"4"	"21"	"6"	"2"	"400"	"24"	"87"	"15"	"28"	"3"	"48"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"1"	"0"	"275"	"275"	"1"	"0"
"20153"	"4"	"21"	"6"	"2"	"0"	"19"	"100"	"13"	"26"	"2"	"38"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"1"	"2"	"0"	"265"	"265"	"1"	"0"
"20154"	"4"	"21"	"6"	"2"	"0"	"22"	"93"	"21"	"18"	"2"	"49"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"14"	"6"	"0"	"287"	"287"	"1"	"0"
"20155"	"4"	"21"	"6"	"2"	"0"	"21"	"102"	"23"	"19"	"7"	"38"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"18"	"7"	"0"	"300"	"300"	"1"	"0"
"20156"	"4"	"21"	"6"	"2"	"0"	"24"	"95"	"18"	"31"	"11"	"34"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"17"	"6"	"0"	"312"	"312"	"1"	"0"
