"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7152"	"4"	"5"	"13"	"2"	"400"	"70"	"12"	"34"	"37"	"1"	"1"	"1"	"4"	"3"	"12"	"1"	"45"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"15"	"5"	"0"	"248"	"248"	"1"	"0"
"7153"	"4"	"5"	"13"	"2"	"400"	"72"	"18"	"33"	"41"	"1"	"2"	"0"	"3"	"3"	"9"	"1"	"53"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"16"	"5"	"16"	"262"	"262"	"1"	"0"
"7154"	"4"	"5"	"13"	"2"	"395"	"81"	"12"	"40"	"44"	"4"	"1"	"1"	"4"	"7"	"8"	"4"	"40"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"18"	"5"	"0"	"274"	"274"	"1"	"0"
"7155"	"4"	"5"	"13"	"2"	"400"	"85"	"16"	"30"	"38"	"5"	"5"	"1"	"4"	"1"	"7"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"20"	"19"	"1"	"266"	"266"	"1"	"0"
"7156"	"4"	"5"	"13"	"2"	"396"	"72"	"15"	"32"	"39"	"6"	"0"	"0"	"3"	"6"	"6"	"2"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"17"	"4"	"0"	"255"	"255"	"1"	"0"
"7157"	"4"	"5"	"13"	"2"	"395"	"71"	"21"	"44"	"41"	"2"	"0"	"2"	"7"	"7"	"8"	"0"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"14"	"6"	"0"	"254"	"254"	"1"	"0"
"7158"	"4"	"5"	"13"	"2"	"400"	"90"	"15"	"27"	"47"	"6"	"0"	"0"	"6"	"6"	"6"	"1"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"21"	"1"	"0"	"265"	"265"	"1"	"0"
"7159"	"4"	"5"	"13"	"2"	"400"	"79"	"26"	"26"	"28"	"5"	"0"	"2"	"4"	"6"	"9"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"6"	"6"	"0"	"232"	"232"	"1"	"0"
"7160"	"4"	"5"	"13"	"2"	"400"	"68"	"17"	"17"	"36"	"0"	"1"	"2"	"3"	"9"	"8"	"0"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"11"	"4"	"0"	"226"	"226"	"1"	"0"
"7161"	"4"	"5"	"13"	"2"	"396"	"82"	"12"	"28"	"41"	"4"	"0"	"0"	"3"	"9"	"4"	"2"	"45"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"3"	"0"	"246"	"246"	"1"	"0"
