"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"CREO"	"WINAQ"	"UCN"	"PAN"	"UNIONISTA"	"MLP"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7834"	"4"	"6"	"14"	"2"	"396"	"139"	"12"	"9"	"1"	"25"	"6"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"8"	"6"	"0"	"214"	"214"	"1"	"0"
"7835"	"4"	"6"	"14"	"2"	"400"	"125"	"20"	"5"	"1"	"33"	"8"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"13"	"5"	"0"	"223"	"223"	"1"	"0"
"7836"	"4"	"6"	"14"	"2"	"394"	"140"	"18"	"10"	"3"	"40"	"10"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"8"	"3"	"0"	"241"	"241"	"1"	"0"
"7837"	"4"	"6"	"14"	"2"	"396"	"154"	"21"	"9"	"4"	"33"	"7"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"6"	"0"	"256"	"256"	"1"	"0"
"7838"	"4"	"6"	"14"	"2"	"396"	"157"	"18"	"7"	"5"	"42"	"10"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"5"	"0"	"261"	"261"	"1"	"0"
"7839"	"4"	"6"	"14"	"2"	"400"	"151"	"12"	"3"	"1"	"42"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"10"	"10"	"0"	"241"	"241"	"1"	"0"
"7840"	"4"	"6"	"14"	"2"	"394"	"156"	"25"	"6"	"3"	"34"	"4"	"6"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"0"	"0"	"252"	"252"	"1"	"0"
"7841"	"4"	"6"	"14"	"2"	"394"	"159"	"15"	"6"	"4"	"32"	"8"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"8"	"3"	"1"	"242"	"242"	"1"	"0"
"7842"	"4"	"6"	"14"	"2"	"400"	"167"	"18"	"7"	"2"	"45"	"6"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"7"	"0"	"270"	"270"	"1"	"0"
"7843"	"4"	"6"	"14"	"2"	"396"	"165"	"27"	"9"	"2"	"34"	"14"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"9"	"2"	"0"	"274"	"274"	"1"	"0"
