"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VALOR"	"PPT"	"URNG_MAIZ"	"CREO"	"VAMOS"	"PHG"	"CONVERGENCIA"	"BIEN"	"TODOS"	"CCO"	"UNIONISTA"	"PC"	"PODEMOS"	"SEMILLA"	"UCN"	"UNIDOS"	"PAN"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9507"	"4"	"9"	"9"	"2"	"400"	"29"	"24"	"24"	"30"	"10"	"12"	"18"	"27"	"3"	"5"	"12"	"34"	"3"	"11"	"2"	"5"	"3"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"18"	"6"	"0"	"287"	"287"	"1"	"0"
"9508"	"4"	"9"	"9"	"2"	"400"	"18"	"30"	"20"	"33"	"10"	"2"	"19"	"26"	"2"	"11"	"13"	"24"	"4"	"11"	"2"	"4"	"1"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"20"	"9"	"0"	"272"	"272"	"1"	"0"
"9509"	"4"	"9"	"9"	"2"	"398"	"20"	"23"	"26"	"40"	"17"	"2"	"23"	"23"	"2"	"9"	"17"	"24"	"4"	"14"	"3"	"5"	"6"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"14"	"9"	"0"	"298"	"298"	"1"	"0"
"9510"	"4"	"9"	"9"	"2"	"400"	"14"	"20"	"27"	"44"	"11"	"10"	"22"	"18"	"2"	"10"	"16"	"34"	"4"	"13"	"3"	"2"	"0"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"15"	"9"	"0"	"287"	"287"	"1"	"0"
"9511"	"4"	"9"	"9"	"2"	"400"	"26"	"17"	"27"	"35"	"17"	"4"	"23"	"26"	"2"	"7"	"17"	"25"	"4"	"11"	"5"	"5"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"8"	"0"	"286"	"286"	"1"	"0"
"9512"	"4"	"9"	"9"	"2"	"400"	"22"	"22"	"12"	"39"	"14"	"3"	"16"	"20"	"2"	"11"	"28"	"33"	"7"	"12"	"2"	"8"	"3"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"14"	"6"	"0"	"290"	"290"	"1"	"0"
"9513"	"4"	"9"	"9"	"2"	"396"	"19"	"23"	"15"	"38"	"10"	"6"	"23"	"22"	"1"	"11"	"14"	"41"	"2"	"13"	"3"	"2"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"18"	"12"	"0"	"282"	"282"	"1"	"0"
"9514"	"4"	"9"	"9"	"2"	"393"	"25"	"27"	"18"	"45"	"7"	"7"	"25"	"22"	"2"	"12"	"13"	"36"	"4"	"10"	"5"	"7"	"4"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"14"	"7"	"1"	"299"	"299"	"1"	"1"
"9515"	"4"	"9"	"9"	"2"	"400"	"21"	"18"	"17"	"41"	"10"	"1"	"26"	"17"	"1"	"9"	"9"	"32"	"2"	"14"	"3"	"8"	"3"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"10"	"2"	"0"	"255"	"255"	"1"	"0"
"9516"	"4"	"9"	"9"	"2"	"380"	"24"	"21"	"20"	"33"	"6"	"3"	"22"	"20"	"0"	"9"	"24"	"36"	"4"	"5"	"6"	"3"	"3"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"5"	"2"	"0"	"254"	"254"	"1"	"0"
"9517"	"4"	"9"	"9"	"2"	"400"	"20"	"22"	"35"	"31"	"11"	"4"	"32"	"21"	"3"	"7"	"15"	"49"	"3"	"10"	"1"	"5"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"8"	"2"	"0"	"287"	"287"	"1"	"0"
"9518"	"4"	"9"	"9"	"2"	"376"	"21"	"14"	"26"	"46"	"9"	"5"	"29"	"24"	"2"	"9"	"10"	"45"	"6"	"17"	"0"	"1"	"3"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"4"	"0"	"0"	"281"	"281"	"1"	"0"
"9519"	"4"	"9"	"9"	"2"	"379"	"20"	"17"	"29"	"35"	"18"	"5"	"24"	"27"	"4"	"15"	"14"	"27"	"2"	"19"	"5"	"6"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"2"	"0"	"286"	"286"	"1"	"0"
