"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"UNE"	"FCN_NACION"	"VAMOS"	"WINAQ"	"URNG_MAIZ"	"CREO"	"TODOS"	"VIVA"	"VALOR"	"BIEN"	"SEMILLA"	"VICTORIA"	"FUERZA"	"UCN"	"UNIONISTA"	"PAN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16609"	"4"	"16"	"7"	"2"	"401"	"0"	"41"	"2"	"74"	"0"	"22"	"6"	"2"	"3"	"28"	"3"	"1"	"40"	"8"	"5"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"42"	"7"	"0"	"291"	"291"	"1"	"0"
"16610"	"4"	"16"	"7"	"2"	"400"	"0"	"36"	"4"	"76"	"0"	"26"	"3"	"5"	"1"	"30"	"4"	"1"	"41"	"5"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"36"	"1"	"0"	"279"	"279"	"1"	"0"
"16611"	"4"	"16"	"7"	"2"	"400"	"1"	"59"	"5"	"62"	"0"	"26"	"5"	"3"	"2"	"25"	"11"	"1"	"34"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"37"	"10"	"1"	"289"	"289"	"1"	"0"
"16612"	"4"	"16"	"7"	"2"	"400"	"0"	"46"	"4"	"118"	"1"	"18"	"5"	"4"	"3"	"16"	"7"	"1"	"49"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"36"	"1"	"1"	"317"	"317"	"1"	"0"
"16613"	"4"	"16"	"7"	"2"	"396"	"0"	"53"	"0"	"75"	"0"	"26"	"7"	"5"	"2"	"25"	"5"	"0"	"37"	"5"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"38"	"6"	"0"	"296"	"296"	"1"	"0"
"16614"	"4"	"16"	"7"	"2"	"400"	"1"	"41"	"2"	"88"	"0"	"17"	"4"	"3"	"0"	"25"	"8"	"1"	"56"	"7"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"40"	"8"	"1"	"307"	"307"	"1"	"1"
"16615"	"4"	"16"	"7"	"2"	"400"	"0"	"34"	"2"	"115"	"1"	"27"	"11"	"5"	"6"	"29"	"5"	"0"	"31"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"24"	"5"	"3"	"304"	"304"	"1"	"1"
"16616"	"4"	"16"	"7"	"2"	"400"	"1"	"30"	"1"	"94"	"0"	"17"	"8"	"3"	"4"	"21"	"4"	"1"	"27"	"6"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"223"	"21"	"2"	"0"	"248"	"246"	"0"	"0"
"16617"	"4"	"16"	"7"	"2"	"400"	"0"	"33"	"0"	"80"	"1"	"22"	"6"	"6"	"1"	"21"	"3"	"0"	"34"	"5"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"36"	"9"	"0"	"264"	"264"	"1"	"0"
"16618"	"4"	"16"	"7"	"2"	"400"	"0"	"34"	"3"	"89"	"1"	"21"	"7"	"4"	"2"	"26"	"7"	"1"	"32"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"30"	"8"	"0"	"270"	"270"	"1"	"0"
"16619"	"4"	"16"	"7"	"2"	"400"	"2"	"42"	"1"	"63"	"0"	"25"	"4"	"7"	"0"	"22"	"9"	"1"	"42"	"4"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"37"	"7"	"0"	"273"	"273"	"1"	"0"
"16620"	"4"	"16"	"7"	"2"	"400"	"0"	"44"	"3"	"67"	"1"	"14"	"5"	"3"	"1"	"34"	"8"	"1"	"4"	"44"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"42"	"6"	"0"	"288"	"288"	"1"	"0"
"16621"	"4"	"16"	"7"	"2"	"402"	"2"	"40"	"2"	"73"	"0"	"11"	"8"	"5"	"4"	"25"	"2"	"0"	"29"	"2"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"33"	"16"	"0"	"260"	"260"	"1"	"0"
"16622"	"4"	"16"	"7"	"2"	"400"	"0"	"41"	"2"	"78"	"0"	"15"	"3"	"8"	"5"	"20"	"6"	"2"	"29"	"5"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"31"	"5"	"0"	"258"	"258"	"1"	"0"
"16623"	"4"	"16"	"7"	"2"	"396"	"0"	"38"	"6"	"88"	"0"	"18"	"9"	"3"	"0"	"30"	"6"	"2"	"43"	"7"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"17"	"2"	"0"	"275"	"275"	"1"	"0"
"16624"	"4"	"16"	"7"	"2"	"331"	"0"	"41"	"2"	"65"	"1"	"27"	"2"	"3"	"0"	"23"	"9"	"1"	"31"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"11"	"1"	"0"	"226"	"226"	"1"	"0"
"16625"	"4"	"16"	"7"	"2"	"330"	"0"	"32"	"1"	"66"	"0"	"14"	"6"	"4"	"3"	"22"	"4"	"1"	"30"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"15"	"2"	"0"	"207"	"207"	"1"	"0"
"16626"	"4"	"16"	"7"	"2"	"377"	"3"	"41"	"6"	"36"	"0"	"132"	"1"	"2"	"3"	"24"	"2"	"0"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"31"	"6"	"0"	"300"	"300"	"1"	"0"
"16627"	"4"	"16"	"7"	"2"	"380"	"1"	"48"	"7"	"38"	"0"	"125"	"3"	"9"	"1"	"17"	"4"	"0"	"20"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"29"	"4"	"0"	"307"	"307"	"1"	"0"
"16628"	"4"	"16"	"7"	"2"	"400"	"0"	"58"	"4"	"39"	"0"	"122"	"3"	"3"	"3"	"15"	"2"	"0"	"9"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"41"	"4"	"0"	"307"	"307"	"1"	"0"
"16629"	"4"	"16"	"7"	"2"	"380"	"0"	"28"	"2"	"30"	"0"	"128"	"3"	"6"	"1"	"16"	"1"	"0"	"7"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"36"	"2"	"0"	"265"	"265"	"1"	"0"
"16630"	"4"	"16"	"7"	"2"	"380"	"0"	"29"	"2"	"28"	"1"	"131"	"2"	"4"	"1"	"27"	"1"	"0"	"10"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"41"	"3"	"0"	"285"	"285"	"1"	"0"
"16631"	"4"	"16"	"7"	"2"	"380"	"0"	"48"	"2"	"21"	"1"	"113"	"3"	"9"	"4"	"13"	"0"	"0"	"5"	"2"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"30"	"8"	"0"	"265"	"265"	"1"	"0"
"16632"	"4"	"16"	"7"	"2"	"365"	"2"	"26"	"7"	"25"	"0"	"126"	"2"	"1"	"2"	"20"	"1"	"0"	"10"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"33"	"3"	"0"	"263"	"263"	"1"	"0"
"16633"	"4"	"16"	"7"	"2"	"364"	"0"	"27"	"1"	"26"	"0"	"132"	"2"	"4"	"1"	"18"	"0"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"22"	"10"	"0"	"254"	"254"	"1"	"0"
"16634"	"4"	"16"	"7"	"2"	"380"	"0"	"132"	"8"	"30"	"0"	"8"	"11"	"4"	"0"	"40"	"1"	"8"	"7"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"32"	"5"	"0"	"292"	"292"	"1"	"0"
"16635"	"4"	"16"	"7"	"2"	"380"	"1"	"108"	"5"	"25"	"1"	"8"	"15"	"9"	"0"	"16"	"1"	"8"	"3"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"20"	"6"	"0"	"231"	"231"	"1"	"0"
"16636"	"4"	"16"	"7"	"2"	"380"	"0"	"141"	"8"	"18"	"1"	"17"	"6"	"5"	"0"	"18"	"3"	"6"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"32"	"10"	"0"	"270"	"270"	"1"	"0"
"16637"	"4"	"16"	"7"	"2"	"380"	"3"	"105"	"8"	"29"	"1"	"12"	"15"	"5"	"1"	"23"	"0"	"6"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"31"	"2"	"0"	"247"	"247"	"1"	"0"
"16638"	"4"	"16"	"7"	"2"	"380"	"0"	"106"	"3"	"8"	"1"	"11"	"16"	"4"	"1"	"30"	"1"	"7"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"22"	"8"	"1"	"226"	"226"	"1"	"0"
"16639"	"4"	"16"	"7"	"2"	"380"	"1"	"99"	"7"	"24"	"0"	"14"	"16"	"7"	"0"	"18"	"1"	"8"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"20"	"1"	"0"	"227"	"227"	"1"	"0"
"16640"	"4"	"16"	"7"	"2"	"380"	"2"	"118"	"11"	"8"	"0"	"12"	"10"	"10"	"0"	"26"	"4"	"8"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"19"	"6"	"0"	"241"	"241"	"1"	"0"
"16641"	"4"	"16"	"7"	"2"	"377"	"0"	"120"	"9"	"19"	"0"	"11"	"18"	"3"	"1"	"35"	"5"	"5"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"25"	"6"	"0"	"263"	"263"	"1"	"0"
"16642"	"4"	"16"	"7"	"2"	"380"	"0"	"130"	"2"	"18"	"3"	"13"	"13"	"8"	"1"	"37"	"2"	"8"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"27"	"3"	"0"	"272"	"272"	"1"	"0"
"16643"	"4"	"16"	"7"	"2"	"380"	"1"	"144"	"5"	"18"	"2"	"14"	"16"	"5"	"1"	"24"	"3"	"7"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"23"	"4"	"0"	"277"	"277"	"1"	"0"
"16644"	"4"	"16"	"7"	"2"	"380"	"0"	"110"	"5"	"26"	"1"	"21"	"21"	"7"	"0"	"37"	"1"	"7"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"24"	"6"	"0"	"274"	"274"	"1"	"0"
"16645"	"4"	"16"	"7"	"2"	"380"	"1"	"120"	"11"	"15"	"0"	"12"	"16"	"6"	"0"	"37"	"5"	"10"	"7"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"19"	"7"	"0"	"270"	"270"	"1"	"0"
"16646"	"4"	"16"	"7"	"2"	"379"	"0"	"103"	"4"	"26"	"1"	"15"	"8"	"3"	"1"	"31"	"0"	"13"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"16"	"6"	"0"	"232"	"232"	"1"	"0"
"16647"	"4"	"16"	"7"	"2"	"380"	"2"	"121"	"7"	"21"	"2"	"7"	"12"	"4"	"0"	"31"	"4"	"8"	"9"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"35"	"5"	"0"	"271"	"271"	"1"	"0"
"16648"	"4"	"16"	"7"	"2"	"379"	"0"	"113"	"4"	"17"	"2"	"13"	"9"	"3"	"2"	"24"	"4"	"14"	"5"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"27"	"4"	"0"	"248"	"248"	"1"	"0"
"16649"	"4"	"16"	"7"	"2"	"380"	"0"	"118"	"2"	"17"	"0"	"17"	"11"	"9"	"0"	"30"	"3"	"14"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"31"	"6"	"0"	"265"	"265"	"1"	"0"
"16650"	"4"	"16"	"7"	"2"	"380"	"2"	"115"	"4"	"23"	"1"	"14"	"11"	"4"	"0"	"20"	"3"	"11"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"28"	"7"	"0"	"251"	"251"	"1"	"0"
