"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"SAMAJEL"	"VIVA"	"FUERZA"	"UNE"	"EG"	"CONVERGENCIA"	"PODEMOS"	"VALOR"	"UNIONISTA"	"LIBRE"	"UCN"	"TODOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5678"	"4"	"3"	"9"	"2"	"396"	"52"	"69"	"26"	"48"	"4"	"4"	"2"	"22"	"17"	"6"	"5"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"11"	"5"	"0"	"293"	"293"	"1"	"0"
"5679"	"4"	"3"	"9"	"2"	"400"	"61"	"55"	"36"	"61"	"8"	"3"	"3"	"6"	"23"	"3"	"2"	"16"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"15"	"11"	"0"	"314"	"314"	"1"	"0"
"5680"	"4"	"3"	"9"	"2"	"399"	"50"	"73"	"32"	"51"	"5"	"10"	"3"	"11"	"17"	"11"	"2"	"18"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"8"	"9"	"0"	"309"	"309"	"1"	"0"
"5681"	"4"	"3"	"9"	"2"	"396"	"67"	"59"	"26"	"65"	"4"	"10"	"7"	"11"	"13"	"11"	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"13"	"5"	"0"	"308"	"308"	"1"	"0"
"5682"	"4"	"3"	"9"	"2"	"400"	"59"	"62"	"39"	"50"	"2"	"4"	"5"	"11"	"16"	"10"	"6"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"15"	"4"	"0"	"301"	"301"	"1"	"0"
"5683"	"4"	"3"	"9"	"2"	"400"	"72"	"53"	"14"	"67"	"4"	"6"	"6"	"10"	"27"	"6"	"4"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"10"	"3"	"0"	"308"	"308"	"1"	"0"
"5684"	"4"	"3"	"9"	"2"	"399"	"54"	"66"	"31"	"55"	"5"	"5"	"12"	"19"	"11"	"8"	"5"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"13"	"5"	"0"	"308"	"308"	"1"	"0"
"5685"	"4"	"3"	"9"	"2"	"398"	"73"	"59"	"28"	"56"	"8"	"5"	"7"	"15"	"9"	"12"	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"9"	"18"	"0"	"311"	"311"	"1"	"0"
"5686"	"4"	"3"	"9"	"2"	"396"	"53"	"66"	"23"	"52"	"5"	"14"	"2"	"14"	"16"	"12"	"3"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"13"	"8"	"0"	"298"	"298"	"1"	"0"
"5687"	"4"	"3"	"9"	"2"	"394"	"60"	"56"	"27"	"50"	"0"	"5"	"9"	"13"	"13"	"13"	"3"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"5"	"0"	"286"	"286"	"1"	"0"
"5688"	"4"	"3"	"9"	"2"	"398"	"69"	"56"	"28"	"68"	"7"	"11"	"9"	"10"	"11"	"8"	"7"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"10"	"4"	"0"	"310"	"310"	"1"	"0"
"5689"	"4"	"3"	"9"	"2"	"400"	"77"	"54"	"31"	"57"	"4"	"14"	"4"	"11"	"14"	"11"	"1"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"5"	"0"	"304"	"304"	"1"	"0"
"5690"	"4"	"3"	"9"	"2"	"418"	"71"	"51"	"33"	"49"	"3"	"9"	"9"	"21"	"19"	"6"	"6"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"7"	"9"	"0"	"313"	"313"	"1"	"0"
"5691"	"4"	"3"	"9"	"2"	"400"	"66"	"51"	"29"	"65"	"5"	"6"	"11"	"18"	"11"	"5"	"1"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"12"	"3"	"0"	"301"	"301"	"1"	"0"
"5692"	"4"	"3"	"9"	"2"	"396"	"53"	"56"	"39"	"60"	"5"	"5"	"4"	"17"	"8"	"13"	"2"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"8"	"5"	"0"	"293"	"293"	"1"	"0"
"5693"	"4"	"3"	"9"	"2"	"400"	"53"	"49"	"39"	"41"	"5"	"6"	"4"	"7"	"16"	"9"	"5"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"5"	"0"	"0"	"258"	"258"	"1"	"0"
"5694"	"4"	"3"	"9"	"2"	"400"	"48"	"48"	"27"	"51"	"4"	"3"	"5"	"17"	"21"	"9"	"6"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"10"	"1"	"0"	"264"	"264"	"1"	"0"
"5695"	"4"	"3"	"9"	"2"	"400"	"64"	"50"	"27"	"61"	"2"	"11"	"5"	"12"	"17"	"9"	"4"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"3"	"1"	"0"	"286"	"286"	"1"	"0"
"5696"	"4"	"3"	"9"	"2"	"394"	"52"	"50"	"29"	"55"	"3"	"4"	"5"	"19"	"21"	"2"	"0"	"11"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"2"	"0"	"275"	"275"	"1"	"0"
"5697"	"4"	"3"	"9"	"2"	"396"	"41"	"61"	"37"	"71"	"5"	"11"	"6"	"17"	"17"	"5"	"6"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"8"	"3"	"0"	"304"	"304"	"1"	"0"
"5698"	"4"	"3"	"9"	"2"	"400"	"43"	"53"	"28"	"87"	"6"	"4"	"4"	"22"	"14"	"6"	"4"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"5"	"4"	"0"	"296"	"296"	"1"	"0"
"5699"	"4"	"3"	"9"	"2"	"394"	"78"	"42"	"23"	"41"	"6"	"4"	"5"	"13"	"22"	"7"	"6"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"7"	"2"	"0"	"281"	"281"	"1"	"0"
"5700"	"4"	"3"	"9"	"2"	"400"	"87"	"50"	"25"	"60"	"1"	"8"	"2"	"17"	"9"	"9"	"3"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"5"	"1"	"0"	"295"	"295"	"1"	"0"
"5701"	"4"	"3"	"9"	"2"	"394"	"55"	"64"	"33"	"56"	"8"	"5"	"6"	"17"	"13"	"10"	"5"	"12"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"11"	"2"	"0"	"304"	"304"	"1"	"0"
"5702"	"4"	"3"	"9"	"2"	"400"	"58"	"58"	"21"	"53"	"7"	"4"	"2"	"16"	"13"	"7"	"2"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"4"	"0"	"273"	"273"	"1"	"0"
"5703"	"4"	"3"	"9"	"2"	"400"	"57"	"56"	"23"	"56"	"2"	"6"	"3"	"21"	"14"	"5"	"5"	"16"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"14"	"10"	"0"	"296"	"296"	"1"	"0"
"5704"	"4"	"3"	"9"	"2"	"400"	"62"	"45"	"20"	"57"	"5"	"9"	"6"	"17"	"20"	"4"	"2"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"9"	"4"	"0"	"275"	"275"	"1"	"0"
"5705"	"4"	"3"	"9"	"2"	"396"	"61"	"39"	"34"	"53"	"3"	"12"	"4"	"11"	"16"	"9"	"1"	"17"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"17"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"5"	"4"	"0"	"282"	"282"	"1"	"0"
"5706"	"4"	"3"	"9"	"2"	"396"	"70"	"51"	"26"	"44"	"6"	"3"	"4"	"28"	"20"	"9"	"8"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"6"	"3"	"0"	"296"	"296"	"1"	"0"
"5707"	"4"	"3"	"9"	"2"	"400"	"79"	"72"	"33"	"59"	"9"	"9"	"4"	"16"	"18"	"14"	"5"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"3"	"1"	"0"	"341"	"341"	"1"	"0"
"5708"	"4"	"3"	"9"	"2"	"304"	"63"	"43"	"25"	"52"	"4"	"8"	"2"	"10"	"14"	"3"	"3"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"1"	"0"	"252"	"252"	"1"	"0"
"5709"	"4"	"3"	"9"	"2"	"304"	"54"	"35"	"14"	"46"	"2"	"2"	"1"	"14"	"21"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"4"	"5"	"0"	"205"	"205"	"1"	"0"
"5710"	"4"	"3"	"9"	"2"	"376"	"58"	"70"	"24"	"20"	"10"	"4"	"7"	"4"	"68"	"24"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"21"	"6"	"0"	"320"	"320"	"1"	"0"
"5711"	"4"	"3"	"9"	"2"	"376"	"67"	"30"	"34"	"22"	"16"	"1"	"7"	"18"	"66"	"16"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"17"	"10"	"0"	"311"	"311"	"1"	"0"
"5712"	"4"	"3"	"9"	"2"	"389"	"76"	"38"	"48"	"9"	"15"	"0"	"7"	"26"	"52"	"10"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"9"	"0"	"303"	"303"	"1"	"0"
"5713"	"4"	"3"	"9"	"2"	"376"	"53"	"38"	"35"	"10"	"10"	"1"	"2"	"28"	"57"	"18"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"11"	"5"	"0"	"271"	"271"	"1"	"0"
"5714"	"4"	"3"	"9"	"2"	"298"	"31"	"38"	"23"	"7"	"9"	"1"	"3"	"8"	"41"	"18"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"6"	"2"	"0"	"191"	"191"	"1"	"0"
"5715"	"4"	"3"	"9"	"2"	"300"	"53"	"39"	"26"	"15"	"10"	"1"	"3"	"12"	"49"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"2"	"2"	"0"	"237"	"237"	"1"	"0"
"5716"	"4"	"3"	"9"	"2"	"380"	"112"	"25"	"14"	"11"	"8"	"7"	"21"	"31"	"10"	"13"	"13"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"10"	"4"	"0"	"296"	"296"	"1"	"0"
"5717"	"4"	"3"	"9"	"2"	"376"	"115"	"34"	"18"	"21"	"6"	"3"	"25"	"37"	"12"	"8"	"10"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"9"	"2"	"70"	"306"	"306"	"1"	"0"
"5718"	"4"	"3"	"9"	"2"	"376"	"101"	"38"	"13"	"15"	"8"	"7"	"18"	"32"	"11"	"17"	"7"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"6"	"0"	"295"	"295"	"1"	"0"
"5719"	"4"	"3"	"9"	"2"	"376"	"110"	"28"	"26"	"17"	"8"	"3"	"16"	"32"	"5"	"12"	"8"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"5"	"2"	"0"	"281"	"281"	"1"	"0"
