"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"FCN_NACION"	"CREO"	"SEMILLA"	"CCP"	"PC"	"EG"	"VICTORIA"	"LIBRE"	"BIEN"	"MLP"	"TODOS"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18249"	"4"	"18"	"1"	"2"	"400"	"14"	"30"	"5"	"9"	"1"	"0"	"28"	"5"	"112"	"5"	"0"	"3"	"8"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"9"	"1"	"0"	"235"	"235"	"1"	"0"
"18250"	"4"	"18"	"1"	"2"	"400"	"14"	"26"	"7"	"22"	"2"	"6"	"20"	"3"	"119"	"1"	"1"	"1"	"6"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"3"	"3"	"0"	"241"	"241"	"1"	"0"
"18251"	"4"	"18"	"1"	"2"	"400"	"8"	"21"	"7"	"12"	"3"	"4"	"26"	"4"	"108"	"1"	"1"	"2"	"6"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"3"	"6"	"0"	"218"	"218"	"1"	"0"
"18252"	"4"	"18"	"1"	"2"	"400"	"15"	"21"	"5"	"19"	"2"	"2"	"31"	"3"	"96"	"2"	"1"	"2"	"9"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"16"	"2"	"0"	"237"	"237"	"1"	"0"
"18253"	"4"	"18"	"1"	"2"	"400"	"9"	"34"	"3"	"24"	"1"	"3"	"21"	"5"	"93"	"4"	"1"	"2"	"11"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"6"	"0"	"234"	"234"	"1"	"0"
"18254"	"4"	"18"	"1"	"2"	"400"	"9"	"26"	"6"	"13"	"8"	"5"	"31"	"2"	"104"	"3"	"2"	"2"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"10"	"4"	"0"	"235"	"235"	"1"	"0"
"18255"	"4"	"18"	"1"	"2"	"400"	"14"	"19"	"7"	"21"	"1"	"4"	"23"	"3"	"103"	"1"	"1"	"3"	"7"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"13"	"5"	"0"	"232"	"232"	"1"	"0"
"18256"	"4"	"18"	"1"	"2"	"400"	"14"	"27"	"3"	"13"	"4"	"3"	"35"	"2"	"106"	"3"	"0"	"3"	"6"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"6"	"5"	"0"	"241"	"241"	"1"	"0"
"18257"	"4"	"18"	"1"	"2"	"400"	"10"	"33"	"6"	"13"	"5"	"2"	"21"	"2"	"111"	"4"	"1"	"1"	"11"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"12"	"5"	"0"	"245"	"245"	"1"	"0"
"18258"	"4"	"18"	"1"	"2"	"400"	"14"	"33"	"7"	"7"	"4"	"5"	"22"	"2"	"101"	"1"	"1"	"2"	"11"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"10"	"3"	"0"	"237"	"237"	"1"	"0"
