"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"UNE"	"VAMOS"	"PHG"	"PODEMOS"	"MLP"	"WINAQ"	"TODOS"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16045"	"4"	"15"	"8"	"2"	"398"	"57"	"89"	"16"	"12"	"26"	"1"	"0"	"21"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"6"	"0"	"274"	"274"	"1"	"0"
"16046"	"4"	"15"	"8"	"2"	"400"	"97"	"80"	"7"	"16"	"15"	"3"	"1"	"18"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"18"	"6"	"0"	"299"	"299"	"1"	"0"
"16047"	"4"	"15"	"8"	"2"	"397"	"85"	"77"	"15"	"32"	"14"	"2"	"4"	"16"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"23"	"9"	"0"	"313"	"313"	"1"	"0"
"16048"	"4"	"15"	"8"	"2"	"400"	"81"	"115"	"15"	"20"	"14"	"4"	"1"	"18"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"18"	"9"	"0"	"328"	"328"	"1"	"0"
"16049"	"4"	"15"	"8"	"2"	"396"	"92"	"136"	"9"	"10"	"19"	"3"	"1"	"22"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"11"	"8"	"0"	"334"	"334"	"1"	"0"
"16050"	"4"	"15"	"8"	"2"	"400"	"77"	"114"	"21"	"13"	"31"	"3"	"0"	"13"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"18"	"5"	"0"	"314"	"314"	"1"	"0"
"16051"	"4"	"15"	"8"	"2"	"394"	"78"	"102"	"13"	"13"	"19"	"1"	"1"	"10"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"14"	"2"	"0"	"281"	"281"	"1"	"0"
"16052"	"4"	"15"	"8"	"2"	"400"	"82"	"69"	"7"	"12"	"18"	"1"	"1"	"9"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"11"	"5"	"1"	"247"	"247"	"1"	"0"
"16053"	"4"	"15"	"8"	"2"	"404"	"75"	"108"	"10"	"11"	"13"	"2"	"0"	"9"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"6"	"0"	"274"	"274"	"1"	"0"
"16054"	"4"	"15"	"8"	"2"	"396"	"70"	"76"	"19"	"18"	"17"	"3"	"1"	"9"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"5"	"0"	"274"	"274"	"1"	"0"
