"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"UNE"	"BIEN"	"FCN_NACION"	"URNG_MAIZ"	"PC"	"PHG"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20951"	"4"	"22"	"17"	"2"	"401"	"19"	"76"	"41"	"8"	"73"	"16"	"27"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"2"	"0"	"281"	"281"	"1"	"0"
"20952"	"4"	"22"	"17"	"2"	"400"	"16"	"123"	"30"	"3"	"62"	"17"	"27"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"11"	"3"	"1"	"300"	"300"	"1"	"0"
"20953"	"4"	"22"	"17"	"2"	"400"	"19"	"122"	"37"	"6"	"66"	"27"	"26"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"13"	"4"	"0"	"326"	"326"	"1"	"0"
"20954"	"4"	"22"	"17"	"2"	"400"	"14"	"121"	"35"	"5"	"65"	"26"	"28"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"11"	"5"	"0"	"315"	"315"	"1"	"1"
"20955"	"4"	"22"	"17"	"2"	"400"	"17"	"116"	"51"	"6"	"49"	"21"	"21"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"8"	"5"	"0"	"302"	"302"	"1"	"0"
"20956"	"4"	"22"	"17"	"2"	"400"	"51"	"91"	"34"	"8"	"43"	"16"	"54"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"14"	"2"	"0"	"317"	"317"	"1"	"0"
"20957"	"4"	"22"	"17"	"2"	"400"	"25"	"105"	"32"	"1"	"56"	"21"	"31"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"2"	"0"	"283"	"283"	"1"	"0"
"20958"	"4"	"22"	"17"	"2"	"400"	"23"	"103"	"33"	"5"	"53"	"31"	"28"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"4"	"3"	"0"	"285"	"285"	"1"	"0"
"20959"	"4"	"22"	"17"	"2"	"400"	"23"	"102"	"34"	"5"	"57"	"14"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"4"	"4"	"0"	"284"	"284"	"1"	"3"
"20960"	"4"	"22"	"17"	"2"	"326"	"25"	"83"	"24"	"4"	"61"	"10"	"31"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"2"	"0"	"0"	"247"	"247"	"1"	"0"
