"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9053"	"4"	"9"	"1"	"2"	"400"	"20"	"26"	"22"	"5"	"34"	"5"	"11"	"2"	"61"	"6"	"16"	"5"	"6"	"20"	"2"	"8"	"8"	"12"	"2"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"1"	"0"	"290"	"290"	"1"	"0"
"9054"	"4"	"9"	"1"	"2"	"400"	"27"	"15"	"19"	"21"	"27"	"1"	"6"	"4"	"59"	"7"	"12"	"0"	"9"	"9"	"2"	"9"	"10"	"19"	"1"	"3"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"16"	"0"	"0"	"285"	"285"	"1"	"0"
"9055"	"4"	"9"	"1"	"2"	"400"	"16"	"13"	"25"	"16"	"26"	"1"	"15"	"1"	"55"	"12"	"21"	"4"	"9"	"5"	"2"	"10"	"6"	"11"	"3"	"6"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"2"	"0"	"287"	"287"	"1"	"0"
"9056"	"4"	"9"	"1"	"2"	"400"	"20"	"23"	"29"	"8"	"30"	"4"	"10"	"2"	"65"	"8"	"16"	"4"	"10"	"9"	"1"	"11"	"4"	"14"	"5"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"283"	"11"	"2"	"0"	"294"	"296"	"0"	"0"
"9057"	"4"	"9"	"1"	"2"	"400"	"19"	"23"	"15"	"14"	"23"	"4"	"11"	"4"	"63"	"6"	"18"	"4"	"13"	"9"	"2"	"13"	"5"	"13"	"2"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"268"	"14"	"2"	"0"	"289"	"284"	"0"	"0"
"9058"	"4"	"9"	"1"	"2"	"400"	"25"	"22"	"33"	"11"	"27"	"3"	"9"	"2"	"51"	"6"	"11"	"4"	"13"	"16"	"4"	"12"	"7"	"16"	"4"	"2"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"293"	"17"	"2"	"0"	"302"	"312"	"0"	"0"
"9059"	"4"	"9"	"1"	"2"	"400"	"30"	"17"	"27"	"10"	"25"	"1"	"12"	"2"	"62"	"11"	"18"	"1"	"5"	"9"	"0"	"8"	"9"	"10"	"2"	"11"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"278"	"11"	"2"	"3"	"294"	"291"	"0"	"0"
"9060"	"4"	"9"	"1"	"2"	"400"	"21"	"14"	"23"	"14"	"20"	"3"	"19"	"0"	"70"	"9"	"12"	"2"	"3"	"14"	"3"	"9"	"4"	"12"	"6"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"18"	"2"	"0"	"285"	"285"	"1"	"0"
"9061"	"4"	"9"	"1"	"2"	"403"	"24"	"20"	"22"	"12"	"29"	"1"	"0"	"3"	"56"	"0"	"11"	"5"	"9"	"11"	"3"	"15"	"6"	"11"	"4"	"0"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"249"	"16"	"2"	"1"	"277"	"267"	"0"	"0"
"9062"	"4"	"9"	"1"	"2"	"400"	"20"	"22"	"40"	"10"	"10"	"2"	"14"	"1"	"45"	"6"	"9"	"6"	"13"	"10"	"5"	"14"	"8"	"13"	"4"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"265"	"92"	"1"	"0"	"288"	"358"	"0"	"0"
