"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"SEMILLA"	"AVANZA"	"TODOS"	"UCN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19674"	"4"	"20"	"9"	"2"	"394"	"101"	"21"	"2"	"168"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"9"	"2"	"0"	"303"	"303"	"1"	"0"
"19675"	"4"	"20"	"9"	"2"	"394"	"125"	"19"	"9"	"141"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"13"	"9"	"0"	"317"	"317"	"1"	"0"
"19676"	"4"	"20"	"9"	"2"	"396"	"113"	"25"	"5"	"160"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"14"	"2"	"0"	"319"	"319"	"1"	"0"
"19677"	"4"	"20"	"9"	"2"	"397"	"146"	"23"	"1"	"150"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"15"	"3"	"0"	"338"	"338"	"1"	"0"
"19678"	"4"	"20"	"9"	"2"	"394"	"132"	"27"	"1"	"121"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"16"	"13"	"0"	"310"	"310"	"1"	"0"
"19679"	"4"	"20"	"9"	"2"	"394"	"138"	"25"	"4"	"138"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"12"	"3"	"0"	"324"	"324"	"1"	"0"
"19680"	"4"	"20"	"9"	"2"	"400"	"123"	"21"	"4"	"156"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"8"	"3"	"0"	"317"	"317"	"1"	"0"
"19681"	"4"	"20"	"9"	"2"	"399"	"108"	"31"	"0"	"141"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"0"	"0"	"289"	"289"	"1"	"0"
"19682"	"4"	"20"	"9"	"2"	"394"	"101"	"24"	"1"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"5"	"4"	"0"	"251"	"251"	"1"	"0"
"19683"	"4"	"20"	"9"	"2"	"394"	"103"	"28"	"4"	"127"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"0"	"0"	"272"	"272"	"1"	"0"
"19684"	"4"	"20"	"9"	"2"	"400"	"93"	"26"	"3"	"140"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"0"	"0"	"274"	"274"	"1"	"0"
"19685"	"4"	"20"	"9"	"2"	"391"	"124"	"20"	"3"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"10"	"0"	"281"	"281"	"1"	"0"
"19686"	"4"	"20"	"9"	"2"	"394"	"115"	"25"	"5"	"115"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"6"	"0"	"275"	"275"	"1"	"0"
"19687"	"4"	"20"	"9"	"2"	"400"	"118"	"43"	"2"	"138"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"3"	"1"	"2"	"305"	"305"	"1"	"0"
"19688"	"4"	"20"	"9"	"2"	"268"	"73"	"23"	"4"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"5"	"1"	"0"	"222"	"222"	"1"	"1"
"19689"	"4"	"20"	"9"	"2"	"267"	"83"	"17"	"0"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"5"	"1"	"0"	"199"	"199"	"1"	"0"
"19690"	"4"	"20"	"9"	"2"	"394"	"157"	"10"	"2"	"120"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"19"	"14"	"0"	"322"	"322"	"1"	"0"
"19691"	"4"	"20"	"9"	"2"	"394"	"164"	"13"	"5"	"134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"0"	"10"	"14"	"326"	"326"	"1"	"0"
"19692"	"4"	"20"	"9"	"2"	"394"	"149"	"11"	"9"	"129"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"21"	"7"	"0"	"326"	"326"	"1"	"2"
"19693"	"4"	"20"	"9"	"2"	"394"	"145"	"15"	"4"	"139"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"14"	"7"	"0"	"328"	"328"	"1"	"0"
"19694"	"4"	"20"	"9"	"2"	"400"	"136"	"19"	"2"	"132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"14"	"2"	"0"	"305"	"305"	"1"	"0"
"19695"	"4"	"20"	"9"	"2"	"394"	"138"	"11"	"0"	"134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"13"	"3"	"0"	"299"	"299"	"1"	"0"
"19696"	"4"	"20"	"9"	"2"	"398"	"126"	"29"	"3"	"120"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"9"	"2"	"0"	"290"	"290"	"1"	"0"
"19697"	"4"	"20"	"9"	"2"	"285"	"126"	"12"	"1"	"92"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"3"	"1"	"0"	"238"	"238"	"1"	"0"
"19698"	"4"	"20"	"9"	"2"	"285"	"105"	"17"	"2"	"111"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"2"	"3"	"0"	"241"	"241"	"1"	"0"
"19699"	"4"	"20"	"9"	"2"	"374"	"110"	"13"	"7"	"92"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"19"	"15"	"0"	"262"	"262"	"1"	"0"
"19700"	"4"	"20"	"9"	"2"	"374"	"130"	"19"	"5"	"88"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"19"	"12"	"0"	"279"	"279"	"1"	"0"
"19701"	"4"	"20"	"9"	"2"	"374"	"96"	"42"	"6"	"116"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"9"	"0"	"279"	"279"	"1"	"0"
"19702"	"4"	"20"	"9"	"2"	"250"	"62"	"24"	"1"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"10"	"3"	"0"	"151"	"151"	"1"	"0"
"19703"	"4"	"20"	"9"	"2"	"250"	"82"	"19"	"0"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"8"	"1"	"0"	"188"	"188"	"1"	"0"
"19704"	"4"	"20"	"9"	"2"	"394"	"195"	"30"	"3"	"52"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"28"	"5"	"0"	"315"	"315"	"1"	"0"
"19705"	"4"	"20"	"9"	"2"	"394"	"196"	"24"	"4"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"17"	"11"	"0"	"300"	"300"	"1"	"0"
"19706"	"4"	"20"	"9"	"2"	"301"	"127"	"27"	"1"	"41"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"9"	"4"	"0"	"211"	"211"	"1"	"0"
"19707"	"4"	"20"	"9"	"2"	"300"	"163"	"34"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"5"	"7"	"0"	"244"	"244"	"1"	"0"
"19708"	"4"	"20"	"9"	"2"	"376"	"134"	"3"	"4"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"20"	"4"	"0"	"308"	"308"	"1"	"0"
"19709"	"4"	"20"	"9"	"2"	"376"	"138"	"5"	"1"	"165"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"16"	"5"	"0"	"330"	"330"	"1"	"0"
"19710"	"4"	"20"	"9"	"2"	"374"	"127"	"6"	"5"	"159"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"12"	"8"	"0"	"319"	"319"	"1"	"0"
"19711"	"4"	"20"	"9"	"2"	"380"	"106"	"5"	"3"	"142"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"16"	"3"	"0"	"276"	"276"	"1"	"0"
"19712"	"4"	"20"	"9"	"2"	"322"	"98"	"6"	"3"	"126"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"6"	"7"	"0"	"246"	"246"	"1"	"0"
"19713"	"4"	"20"	"9"	"2"	"320"	"113"	"2"	"3"	"145"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"6"	"1"	"0"	"271"	"271"	"1"	"0"
"19714"	"4"	"20"	"9"	"2"	"397"	"187"	"31"	"4"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"20"	"6"	"0"	"310"	"310"	"1"	"0"
"19715"	"4"	"20"	"9"	"2"	"396"	"149"	"36"	"5"	"86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"20"	"8"	"0"	"304"	"304"	"1"	"0"
"19716"	"4"	"20"	"9"	"2"	"394"	"171"	"26"	"3"	"86"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"5"	"5"	"0"	"300"	"300"	"1"	"0"
"19717"	"4"	"20"	"9"	"2"	"400"	"117"	"33"	"0"	"91"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"4"	"1"	"1"	"247"	"247"	"1"	"0"
"19718"	"4"	"20"	"9"	"2"	"232"	"86"	"26"	"0"	"68"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"2"	"1"	"0"	"184"	"184"	"1"	"0"
"19719"	"4"	"20"	"9"	"2"	"231"	"96"	"22"	"1"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"6"	"2"	"0"	"196"	"196"	"1"	"0"
"19720"	"4"	"20"	"9"	"2"	"376"	"91"	"60"	"6"	"115"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"15"	"3"	"1"	"291"	"291"	"1"	"0"
"19721"	"4"	"20"	"9"	"2"	"380"	"104"	"62"	"4"	"107"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"12"	"6"	"0"	"295"	"295"	"1"	"0"
"19722"	"4"	"20"	"9"	"2"	"332"	"80"	"68"	"4"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"4"	"0"	"241"	"241"	"1"	"0"
"19723"	"4"	"20"	"9"	"2"	"332"	"92"	"50"	"7"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"5"	"2"	"0"	"257"	"257"	"1"	"0"
"19724"	"4"	"20"	"9"	"2"	"380"	"105"	"41"	"3"	"136"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"22"	"4"	"0"	"311"	"311"	"1"	"0"
"19725"	"4"	"20"	"9"	"2"	"211"	"49"	"21"	"2"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"9"	"4"	"0"	"148"	"148"	"1"	"0"
"19726"	"4"	"20"	"9"	"2"	"210"	"62"	"19"	"3"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"0"	"1"	"0"	"161"	"161"	"1"	"0"
"19727"	"4"	"20"	"9"	"2"	"350"	"15"	"13"	"1"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"54"	"4"	"1"	"0"	"59"	"59"	"1"	"0"
"19728"	"4"	"20"	"9"	"2"	"348"	"19"	"10"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"48"	"3"	"1"	"0"	"52"	"52"	"1"	"0"
