"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"VAMOS"	"UNE"	"BIEN"	"FCN_NACION"	"MLP"	"SEMILLA"	"EG"	"PODEMOS"	"CREO"	"UNIDOS"	"PC"	"UCN"	"FUERZA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10961"	"4"	"11"	"1"	"2"	"400"	"14"	"63"	"22"	"39"	"70"	"1"	"8"	"3"	"0"	"2"	"6"	"2"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"5"	"0"	"255"	"255"	"1"	"0"
"10962"	"4"	"11"	"1"	"2"	"400"	"15"	"79"	"11"	"33"	"77"	"2"	"3"	"10"	"1"	"1"	"3"	"2"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"19"	"8"	"0"	"278"	"278"	"1"	"0"
"10963"	"4"	"11"	"1"	"2"	"396"	"11"	"68"	"16"	"25"	"85"	"2"	"9"	"8"	"2"	"2"	"4"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"2"	"0"	"254"	"254"	"1"	"0"
"10964"	"4"	"11"	"1"	"2"	"396"	"18"	"80"	"16"	"26"	"83"	"2"	"11"	"11"	"3"	"0"	"5"	"1"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"13"	"2"	"0"	"280"	"280"	"1"	"0"
"10965"	"4"	"11"	"1"	"2"	"396"	"10"	"77"	"24"	"26"	"75"	"2"	"7"	"9"	"5"	"1"	"4"	"0"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"6"	"8"	"0"	"264"	"264"	"1"	"0"
"10966"	"4"	"11"	"1"	"2"	"395"	"12"	"85"	"11"	"23"	"83"	"2"	"12"	"10"	"1"	"3"	"4"	"2"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"2"	"0"	"281"	"281"	"1"	"0"
"10967"	"4"	"11"	"1"	"2"	"396"	"9"	"87"	"16"	"27"	"92"	"2"	"6"	"9"	"5"	"3"	"3"	"0"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"11"	"0"	"0"	"277"	"277"	"1"	"0"
"10968"	"4"	"11"	"1"	"2"	"400"	"11"	"75"	"16"	"20"	"92"	"2"	"5"	"11"	"3"	"0"	"6"	"0"	"2"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"19"	"2"	"0"	"277"	"277"	"1"	"1"
"10969"	"4"	"11"	"1"	"2"	"400"	"12"	"78"	"16"	"14"	"101"	"3"	"10"	"9"	"2"	"1"	"1"	"0"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"11"	"6"	"0"	"272"	"272"	"1"	"0"
"10970"	"4"	"11"	"1"	"2"	"400"	"16"	"71"	"16"	"28"	"90"	"3"	"8"	"7"	"2"	"0"	"2"	"0"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"2"	"0"	"265"	"265"	"1"	"0"
