"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UCN"	"TUNO"	"UNE"	"VAMOS"	"MLP"	"PHG"	"AVANZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18913"	"4"	"19"	"3"	"2"	"401"	"6"	"96"	"108"	"9"	"6"	"1"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"11"	"3"	"0"	"253"	"253"	"1"	"0"
"18914"	"4"	"19"	"3"	"2"	"400"	"13"	"100"	"108"	"14"	"3"	"1"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"14"	"2"	"0"	"271"	"271"	"1"	"0"
"18915"	"4"	"19"	"3"	"2"	"400"	"12"	"97"	"124"	"14"	"2"	"2"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"1"	"0"	"269"	"269"	"1"	"0"
"18916"	"4"	"19"	"3"	"2"	"401"	"8"	"105"	"110"	"17"	"1"	"2"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"21"	"1"	"0"	"284"	"284"	"1"	"0"
"18917"	"4"	"19"	"3"	"2"	"400"	"11"	"99"	"145"	"4"	"1"	"2"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"14"	"2"	"0"	"300"	"300"	"1"	"0"
"18918"	"4"	"19"	"3"	"2"	"400"	"13"	"97"	"113"	"15"	"0"	"1"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"17"	"5"	"1"	"271"	"271"	"1"	"0"
"18919"	"4"	"19"	"3"	"2"	"400"	"13"	"77"	"146"	"30"	"3"	"1"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"11"	"2"	"0"	"299"	"299"	"1"	"0"
"18920"	"4"	"19"	"3"	"2"	"398"	"9"	"99"	"119"	"13"	"0"	"1"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"6"	"0"	"0"	"265"	"265"	"1"	"0"
"18921"	"4"	"19"	"3"	"2"	"399"	"11"	"91"	"104"	"11"	"2"	"0"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"2"	"0"	"249"	"249"	"1"	"0"
"18922"	"4"	"19"	"3"	"2"	"400"	"9"	"86"	"117"	"11"	"2"	"0"	"7"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"3"	"0"	"265"	"265"	"1"	"0"
