"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"UCN"	"VALOR"	"PHG"	"VAMOS"	"TODOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15428"	"4"	"14"	"16"	"2"	"379"	"91"	"29"	"5"	"99"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"5"	"5"	"0"	"250"	"250"	"1"	"0"
"15429"	"4"	"14"	"16"	"2"	"396"	"80"	"37"	"0"	"109"	"5"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"3"	"0"	"259"	"259"	"1"	"0"
"15430"	"4"	"14"	"16"	"2"	"380"	"93"	"47"	"7"	"93"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"19"	"6"	"0"	"278"	"278"	"1"	"0"
"15431"	"4"	"14"	"16"	"2"	"396"	"147"	"39"	"2"	"72"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"9"	"4"	"0"	"285"	"285"	"1"	"0"
"15432"	"4"	"14"	"16"	"2"	"380"	"149"	"25"	"3"	"78"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"5"	"0"	"282"	"282"	"1"	"0"
"15433"	"4"	"14"	"16"	"2"	"400"	"90"	"21"	"3"	"129"	"12"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"267"	"14"	"4"	"0"	"285"	"285"	"0"	"0"
"15434"	"4"	"14"	"16"	"2"	"400"	"56"	"17"	"2"	"170"	"32"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"8"	"0"	"294"	"294"	"1"	"0"
"15435"	"4"	"14"	"16"	"2"	"400"	"38"	"17"	"3"	"198"	"19"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"6"	"7"	"0"	"293"	"293"	"1"	"0"
"15436"	"4"	"14"	"16"	"2"	"400"	"90"	"35"	"5"	"95"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"2"	"0"	"244"	"244"	"1"	"0"
"15437"	"4"	"14"	"16"	"2"	"400"	"88"	"27"	"7"	"100"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"8"	"4"	"0"	"239"	"239"	"1"	"0"
