"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VALOR"	"CREO"	"PHG"	"SEMILLA"	"CCS"	"FCN_NACION"	"UNIDOS"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10506"	"4"	"10"	"8"	"2"	"396"	"114"	"51"	"11"	"4"	"20"	"41"	"21"	"3"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"4"	"0"	"300"	"300"	"1"	"0"
"10507"	"4"	"10"	"8"	"2"	"396"	"85"	"71"	"9"	"6"	"21"	"56"	"25"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"4"	"0"	"303"	"303"	"1"	"0"
"10508"	"4"	"10"	"8"	"2"	"400"	"103"	"67"	"11"	"5"	"21"	"47"	"17"	"3"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"11"	"3"	"0"	"309"	"309"	"1"	"0"
"10509"	"4"	"10"	"8"	"2"	"400"	"120"	"68"	"4"	"5"	"19"	"41"	"18"	"0"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"13"	"3"	"0"	"307"	"307"	"1"	"0"
"10510"	"4"	"10"	"8"	"2"	"400"	"89"	"65"	"13"	"9"	"24"	"39"	"32"	"0"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"11"	"6"	"0"	"306"	"306"	"1"	"0"
"10511"	"4"	"10"	"8"	"2"	"396"	"108"	"60"	"12"	"7"	"24"	"41"	"28"	"3"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"10"	"6"	"0"	"314"	"314"	"1"	"0"
"10512"	"4"	"10"	"8"	"2"	"396"	"112"	"68"	"10"	"4"	"13"	"53"	"17"	"3"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"12"	"1"	"0"	"309"	"309"	"1"	"0"
"10513"	"4"	"10"	"8"	"2"	"400"	"93"	"71"	"9"	"3"	"15"	"52"	"20"	"2"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"11"	"5"	"0"	"298"	"298"	"1"	"0"
"10514"	"4"	"10"	"8"	"2"	"396"	"81"	"69"	"13"	"1"	"16"	"53"	"17"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"4"	"0"	"281"	"281"	"1"	"0"
"10515"	"4"	"10"	"8"	"2"	"400"	"94"	"52"	"16"	"1"	"18"	"55"	"29"	"0"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"7"	"2"	"0"	"289"	"289"	"1"	"0"
