"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"TODOS"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6151"	"4"	"4"	"7"	"2"	"400"	"9"	"144"	"123"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"9"	"4"	"0"	"300"	"300"	"1"	"0"
"6152"	"4"	"4"	"7"	"2"	"400"	"10"	"130"	"116"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"18"	"1"	"0"	"290"	"290"	"1"	"0"
"6153"	"4"	"4"	"7"	"2"	"400"	"9"	"139"	"120"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"5"	"0"	"291"	"291"	"1"	"0"
"6154"	"4"	"4"	"7"	"2"	"400"	"11"	"150"	"127"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"3"	"0"	"307"	"307"	"1"	"0"
"6155"	"4"	"4"	"7"	"2"	"400"	"16"	"148"	"127"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"13"	"7"	"0"	"327"	"327"	"1"	"0"
"6156"	"4"	"4"	"7"	"2"	"400"	"14"	"147"	"100"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"10"	"1"	"0"	"291"	"291"	"1"	"1"
"6157"	"4"	"4"	"7"	"2"	"400"	"9"	"142"	"139"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"5"	"3"	"0"	"309"	"309"	"1"	"0"
"6158"	"4"	"4"	"7"	"2"	"400"	"10"	"162"	"123"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"4"	"2"	"0"	"314"	"314"	"1"	"0"
"6159"	"4"	"4"	"7"	"2"	"400"	"12"	"162"	"95"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"3"	"0"	"298"	"298"	"1"	"0"
"6160"	"4"	"4"	"7"	"2"	"400"	"13"	"158"	"117"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"11"	"4"	"0"	"314"	"314"	"1"	"0"
"6161"	"4"	"4"	"7"	"2"	"400"	"9"	"156"	"127"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"3"	"2"	"0"	"311"	"311"	"1"	"0"
"6162"	"4"	"4"	"7"	"2"	"400"	"12"	"148"	"102"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"2"	"0"	"283"	"283"	"1"	"1"
"6163"	"4"	"4"	"7"	"2"	"400"	"10"	"142"	"112"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"2"	"0"	"0"	"274"	"274"	"1"	"0"
"6164"	"4"	"4"	"7"	"2"	"400"	"8"	"141"	"110"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"10"	"2"	"0"	"288"	"288"	"1"	"0"
"6165"	"4"	"4"	"7"	"2"	"400"	"14"	"128"	"135"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"8"	"3"	"0"	"295"	"295"	"1"	"0"
"6166"	"4"	"4"	"7"	"2"	"400"	"11"	"141"	"115"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"4"	"1"	"0"	"288"	"288"	"1"	"0"
"6167"	"4"	"4"	"7"	"2"	"400"	"10"	"138"	"113"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"14"	"1"	"0"	"297"	"297"	"1"	"0"
"6168"	"4"	"4"	"7"	"2"	"396"	"10"	"136"	"104"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"7"	"0"	"0"	"277"	"277"	"1"	"0"
"6169"	"4"	"4"	"7"	"2"	"400"	"12"	"154"	"102"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"3"	"2"	"114"	"286"	"286"	"1"	"0"
"6170"	"4"	"4"	"7"	"2"	"403"	"14"	"143"	"124"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"11"	"1"	"0"	"304"	"304"	"1"	"0"
"6171"	"4"	"4"	"7"	"2"	"400"	"8"	"131"	"109"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"2"	"0"	"272"	"272"	"1"	"0"
