"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"MLP"	"VALOR"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6126"	"4"	"4"	"6"	"2"	"400"	"160"	"72"	"7"	"2"	"4"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"255"	"7"	"2"	"0"	"105"	"264"	"0"	"0"
"6127"	"4"	"4"	"6"	"2"	"396"	"142"	"88"	"7"	"4"	"6"	"9"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"9"	"4"	"0"	"275"	"275"	"1"	"0"
"6128"	"4"	"4"	"6"	"2"	"394"	"137"	"126"	"9"	"2"	"5"	"8"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"10"	"3"	"0"	"307"	"307"	"1"	"0"
"6129"	"4"	"4"	"6"	"2"	"395"	"149"	"118"	"8"	"4"	"4"	"9"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"13"	"6"	"0"	"315"	"315"	"1"	"0"
"6130"	"4"	"4"	"6"	"2"	"400"	"151"	"118"	"14"	"5"	"3"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"13"	"3"	"0"	"321"	"321"	"1"	"0"
"6131"	"4"	"4"	"6"	"2"	"394"	"141"	"124"	"7"	"4"	"2"	"13"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"2"	"0"	"308"	"308"	"1"	"0"
"6132"	"4"	"4"	"6"	"2"	"400"	"160"	"103"	"4"	"2"	"3"	"13"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"6"	"3"	"0"	"303"	"303"	"1"	"0"
"6133"	"4"	"4"	"6"	"2"	"394"	"161"	"117"	"7"	"2"	"7"	"6"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"9"	"4"	"0"	"320"	"320"	"1"	"0"
"6134"	"4"	"4"	"6"	"2"	"396"	"163"	"141"	"7"	"2"	"3"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"5"	"3"	"0"	"335"	"335"	"1"	"0"
"6135"	"4"	"4"	"6"	"2"	"400"	"182"	"127"	"6"	"1"	"2"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"3"	"3"	"0"	"332"	"332"	"1"	"0"
"6136"	"4"	"4"	"6"	"2"	"394"	"188"	"117"	"13"	"1"	"4"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"4"	"1"	"0"	"333"	"333"	"1"	"0"
"6137"	"4"	"4"	"6"	"2"	"395"	"140"	"107"	"10"	"3"	"5"	"9"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"1"	"1"	"0"	"285"	"285"	"1"	"0"
"6138"	"4"	"4"	"6"	"2"	"396"	"152"	"105"	"7"	"1"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"4"	"1"	"0"	"281"	"281"	"1"	"0"
