"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"FCN_NACION"	"PODEMOS"	"VAMOS"	"UNE"	"UCN"	"LIBRE"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5466"	"4"	"3"	"5"	"2"	"400"	"116"	"4"	"24"	"13"	"133"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"9"	"11"	"0"	"333"	"333"	"1"	"0"
"5467"	"4"	"3"	"5"	"2"	"397"	"129"	"1"	"24"	"11"	"152"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"11"	"10"	"0"	"347"	"347"	"1"	"0"
"5468"	"4"	"3"	"5"	"2"	"400"	"117"	"6"	"30"	"20"	"106"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"10"	"8"	"0"	"331"	"331"	"1"	"0"
"5469"	"4"	"3"	"5"	"2"	"400"	"125"	"5"	"31"	"20"	"125"	"10"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"9"	"10"	"0"	"354"	"354"	"1"	"0"
"5470"	"4"	"3"	"5"	"2"	"400"	"105"	"10"	"21"	"13"	"150"	"9"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"7"	"4"	"0"	"340"	"340"	"1"	"0"
"5471"	"4"	"3"	"5"	"2"	"400"	"117"	"3"	"24"	"20"	"126"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"14"	"12"	"0"	"340"	"340"	"1"	"0"
"5472"	"4"	"3"	"5"	"2"	"400"	"117"	"3"	"15"	"16"	"129"	"5"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"14"	"14"	"0"	"341"	"341"	"1"	"0"
"5473"	"4"	"3"	"5"	"2"	"400"	"128"	"4"	"30"	"12"	"131"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"10"	"8"	"0"	"349"	"349"	"1"	"0"
"5474"	"4"	"3"	"5"	"2"	"398"	"126"	"0"	"17"	"15"	"119"	"3"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"5"	"7"	"0"	"320"	"320"	"1"	"0"
"5475"	"4"	"3"	"5"	"2"	"400"	"118"	"3"	"20"	"11"	"139"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"2"	"0"	"320"	"320"	"1"	"0"
"5476"	"4"	"3"	"5"	"2"	"400"	"124"	"4"	"22"	"15"	"123"	"10"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"12"	"3"	"0"	"332"	"332"	"1"	"0"
"5477"	"4"	"3"	"5"	"2"	"400"	"97"	"1"	"17"	"24"	"114"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"2"	"5"	"0"	"282"	"282"	"1"	"0"
"5478"	"4"	"3"	"5"	"2"	"400"	"135"	"4"	"20"	"12"	"115"	"2"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"1"	"1"	"0"	"322"	"322"	"1"	"0"
"5479"	"4"	"3"	"5"	"2"	"314"	"107"	"0"	"25"	"10"	"100"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"1"	"2"	"0"	"267"	"267"	"1"	"0"
"5480"	"4"	"3"	"5"	"2"	"313"	"97"	"2"	"7"	"11"	"103"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"2"	"4"	"0"	"246"	"246"	"1"	"0"
"5481"	"4"	"3"	"5"	"2"	"380"	"86"	"8"	"59"	"8"	"136"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"6"	"11"	"0"	"320"	"320"	"1"	"0"
"5482"	"4"	"3"	"5"	"2"	"380"	"106"	"14"	"57"	"10"	"124"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"9"	"12"	"0"	"340"	"340"	"1"	"0"
"5483"	"4"	"3"	"5"	"2"	"380"	"100"	"21"	"47"	"8"	"123"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"7"	"12"	"0"	"337"	"337"	"1"	"0"
"5484"	"4"	"3"	"5"	"2"	"376"	"106"	"13"	"55"	"8"	"123"	"9"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"5"	"6"	"0"	"340"	"340"	"1"	"0"
"5485"	"4"	"3"	"5"	"2"	"380"	"94"	"6"	"52"	"5"	"125"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"12"	"19"	"0"	"325"	"325"	"1"	"0"
"5486"	"4"	"3"	"5"	"2"	"380"	"90"	"12"	"66"	"6"	"113"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"6"	"7"	"0"	"303"	"303"	"1"	"0"
"5487"	"4"	"3"	"5"	"2"	"380"	"73"	"13"	"68"	"14"	"107"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"6"	"7"	"0"	"298"	"298"	"1"	"0"
"5488"	"4"	"3"	"5"	"2"	"256"	"73"	"13"	"31"	"1"	"71"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"3"	"1"	"0"	"199"	"199"	"1"	"0"
"5489"	"4"	"3"	"5"	"2"	"255"	"61"	"5"	"33"	"1"	"88"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"1"	"3"	"0"	"198"	"198"	"1"	"0"
