"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"FUERZA"	"WINAQ"	"PODEMOS"	"PHG"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8157"	"4"	"7"	"6"	"2"	"403"	"87"	"163"	"54"	"10"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"0"	"7"	"0"	"329"	"329"	"1"	"0"
"8158"	"4"	"7"	"6"	"2"	"400"	"81"	"195"	"47"	"13"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"340"	"340"	"9"	"1"	"0"	"350"	"350"	"1"	"0"
"8159"	"4"	"7"	"6"	"2"	"400"	"153"	"136"	"44"	"6"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"343"	"343"	"8"	"9"	"0"	"360"	"360"	"1"	"0"
"8160"	"4"	"7"	"6"	"2"	"400"	"118"	"163"	"37"	"8"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"6"	"7"	"0"	"344"	"344"	"1"	"0"
"8161"	"4"	"7"	"6"	"2"	"400"	"107"	"132"	"40"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"2"	"6"	"0"	"293"	"293"	"1"	"0"
"8162"	"4"	"7"	"6"	"2"	"343"	"103"	"107"	"27"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"2"	"3"	"0"	"250"	"250"	"1"	"0"
"8163"	"4"	"7"	"6"	"2"	"342"	"103"	"136"	"32"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"4"	"2"	"0"	"283"	"283"	"1"	"0"
"8164"	"4"	"7"	"6"	"2"	"380"	"26"	"172"	"88"	"21"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"13"	"9"	"0"	"333"	"333"	"1"	"2"
"8165"	"4"	"7"	"6"	"2"	"380"	"39"	"160"	"74"	"7"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"7"	"10"	"0"	"300"	"300"	"1"	"0"
"8166"	"4"	"7"	"6"	"2"	"380"	"30"	"189"	"62"	"24"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"10"	"9"	"0"	"328"	"328"	"1"	"0"
