"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14483"	"4"	"14"	"1"	"2"	"0"	"35"	"34"	"77"	"5"	"23"	"10"	"4"	"10"	"19"	"7"	"12"	"7"	"10"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"13"	"0"	"287"	"287"	"1"	"0"
"14484"	"4"	"14"	"1"	"2"	"0"	"22"	"27"	"78"	"14"	"36"	"4"	"3"	"12"	"22"	"9"	"9"	"5"	"6"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"11"	"0"	"280"	"280"	"1"	"0"
"14485"	"4"	"14"	"1"	"2"	"0"	"17"	"34"	"75"	"7"	"42"	"3"	"6"	"8"	"26"	"6"	"3"	"12"	"15"	"3"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"13"	"9"	"0"	"296"	"296"	"1"	"0"
"14486"	"4"	"14"	"1"	"2"	"0"	"25"	"52"	"64"	"5"	"30"	"5"	"7"	"12"	"24"	"6"	"6"	"10"	"11"	"2"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"12"	"5"	"0"	"294"	"294"	"1"	"0"
"14487"	"4"	"14"	"1"	"2"	"0"	"16"	"30"	"67"	"7"	"32"	"4"	"6"	"19"	"24"	"3"	"4"	"10"	"10"	"0"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"0"	"0"	"0"	"246"	"246"	"1"	"0"
"14488"	"4"	"14"	"1"	"2"	"0"	"20"	"21"	"80"	"10"	"48"	"3"	"7"	"7"	"30"	"8"	"8"	"10"	"10"	"2"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"20"	"4"	"0"	"305"	"305"	"1"	"0"
"14489"	"4"	"14"	"1"	"2"	"400"	"28"	"26"	"80"	"8"	"33"	"3"	"14"	"6"	"33"	"15"	"4"	"12"	"9"	"3"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"16"	"1"	"0"	"307"	"307"	"1"	"0"
"14490"	"4"	"14"	"1"	"2"	"0"	"21"	"27"	"61"	"7"	"36"	"2"	"4"	"12"	"28"	"10"	"4"	"5"	"14"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"1"	"0"	"248"	"248"	"1"	"0"
"14491"	"4"	"14"	"1"	"2"	"0"	"18"	"31"	"59"	"7"	"19"	"4"	"6"	"12"	"32"	"14"	"10"	"6"	"11"	"1"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"2"	"0"	"256"	"256"	"1"	"0"
"14492"	"4"	"14"	"1"	"2"	"0"	"16"	"31"	"62"	"7"	"35"	"3"	"6"	"3"	"23"	"8"	"4"	"8"	"7"	"3"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"11"	"13"	"0"	"250"	"250"	"1"	"0"
