"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"VAMOS"	"FCN_NACION"	"MLP"	"UNE"	"PC"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11123"	"4"	"11"	"3"	"2"	"401"	"108"	"35"	"4"	"5"	"8"	"90"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"23"	"5"	"0"	"278"	"278"	"1"	"0"
"11124"	"4"	"11"	"3"	"2"	"400"	"111"	"38"	"2"	"10"	"7"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"15"	"7"	"0"	"275"	"275"	"1"	"0"
"11125"	"4"	"11"	"3"	"2"	"400"	"132"	"34"	"9"	"14"	"6"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"7"	"5"	"0"	"294"	"294"	"1"	"0"
"11126"	"4"	"11"	"3"	"2"	"400"	"130"	"35"	"2"	"11"	"9"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"2"	"0"	"308"	"308"	"1"	"0"
"11127"	"4"	"11"	"3"	"2"	"400"	"115"	"48"	"1"	"10"	"6"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"11"	"6"	"0"	"281"	"281"	"1"	"0"
"11128"	"4"	"11"	"3"	"2"	"400"	"147"	"49"	"3"	"9"	"9"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"12"	"8"	"0"	"333"	"333"	"1"	"0"
"11129"	"4"	"11"	"3"	"2"	"400"	"146"	"49"	"9"	"5"	"5"	"109"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"9"	"7"	"0"	"339"	"339"	"1"	"0"
"11130"	"4"	"11"	"3"	"2"	"400"	"128"	"46"	"8"	"9"	"7"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"9"	"8"	"0"	"309"	"309"	"1"	"0"
"11131"	"4"	"11"	"3"	"2"	"400"	"104"	"42"	"3"	"8"	"7"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"2"	"0"	"246"	"246"	"1"	"0"
"11132"	"4"	"11"	"3"	"2"	"400"	"100"	"35"	"6"	"18"	"5"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"8"	"5"	"0"	"264"	"264"	"1"	"0"
"11133"	"4"	"11"	"3"	"2"	"400"	"104"	"46"	"5"	"7"	"8"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"5"	"6"	"0"	"277"	"277"	"1"	"0"
"11134"	"4"	"11"	"3"	"2"	"400"	"92"	"42"	"3"	"14"	"7"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"17"	"4"	"0"	"275"	"275"	"1"	"0"
"11135"	"4"	"11"	"3"	"2"	"400"	"99"	"30"	"5"	"12"	"5"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"6"	"2"	"0"	"270"	"270"	"1"	"0"
