"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VALOR"	"CCS"	"UNIONISTA"	"PC"	"FCN_NACION"	"CCT"	"LIBRE"	"CREO"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7767"	"4"	"6"	"12"	"2"	"396"	"17"	"18"	"72"	"24"	"108"	"9"	"25"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"5"	"6"	"0"	"293"	"293"	"1"	"0"
"7768"	"4"	"6"	"12"	"2"	"400"	"26"	"21"	"96"	"30"	"91"	"12"	"34"	"6"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"5"	"5"	"0"	"336"	"336"	"1"	"0"
"7769"	"4"	"6"	"12"	"2"	"400"	"25"	"16"	"96"	"39"	"99"	"9"	"31"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"6"	"4"	"0"	"335"	"335"	"1"	"0"
"7770"	"4"	"6"	"12"	"2"	"397"	"25"	"15"	"105"	"24"	"111"	"5"	"35"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"3"	"1"	"0"	"336"	"336"	"1"	"0"
"7771"	"4"	"6"	"12"	"2"	"396"	"25"	"18"	"102"	"32"	"82"	"14"	"32"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"11"	"1"	"0"	"325"	"325"	"1"	"0"
"7772"	"4"	"6"	"12"	"2"	"396"	"19"	"9"	"79"	"29"	"79"	"9"	"32"	"4"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"6"	"2"	"0"	"279"	"279"	"1"	"0"
"7773"	"4"	"6"	"12"	"2"	"396"	"15"	"11"	"79"	"30"	"95"	"11"	"27"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"4"	"3"	"0"	"288"	"288"	"1"	"0"
"7774"	"4"	"6"	"12"	"2"	"391"	"17"	"16"	"80"	"27"	"82"	"5"	"29"	"6"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"5"	"4"	"0"	"279"	"279"	"1"	"0"
"7775"	"4"	"6"	"12"	"2"	"390"	"13"	"12"	"88"	"34"	"106"	"7"	"37"	"8"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"3"	"0"	"0"	"312"	"312"	"1"	"0"
"7776"	"4"	"6"	"12"	"2"	"380"	"34"	"8"	"56"	"76"	"49"	"4"	"20"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"6"	"0"	"292"	"292"	"1"	"0"
"7777"	"4"	"6"	"12"	"2"	"376"	"37"	"17"	"86"	"47"	"62"	"4"	"15"	"4"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"8"	"5"	"0"	"302"	"302"	"1"	"0"
