"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PPT"	"VALOR"	"UCN"	"TODOS"	"PC"	"VAMOS"	"SEMILLA"	"CONVERGENCIA"	"FCN_NACION"	"LIBRE"	"FUERZA"	"PODEMOS"	"VICTORIA"	"VIVA"	"PHG"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6447"	"4"	"5"	"2"	"2"	"0"	"62"	"24"	"59"	"5"	"18"	"1"	"2"	"2"	"59"	"3"	"6"	"6"	"0"	"1"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"5"	"0"	"272"	"272"	"1"	"0"
"6448"	"4"	"5"	"2"	"2"	"0"	"59"	"22"	"69"	"9"	"9"	"1"	"9"	"8"	"64"	"3"	"9"	"3"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"14"	"3"	"0"	"0"	"289"	"0"	"0"
"6449"	"4"	"5"	"2"	"2"	"0"	"59"	"22"	"70"	"4"	"16"	"4"	"6"	"4"	"66"	"1"	"4"	"8"	"1"	"4"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"10"	"2"	"0"	"288"	"288"	"1"	"0"
"6450"	"4"	"5"	"2"	"2"	"397"	"47"	"26"	"59"	"7"	"19"	"1"	"1"	"5"	"69"	"2"	"5"	"7"	"0"	"1"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"14"	"4"	"0"	"276"	"276"	"1"	"0"
"6451"	"4"	"5"	"2"	"2"	"399"	"53"	"21"	"65"	"6"	"29"	"1"	"9"	"2"	"71"	"6"	"7"	"3"	"1"	"2"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"9"	"3"	"0"	"293"	"293"	"1"	"0"
"6452"	"4"	"5"	"2"	"2"	"400"	"74"	"20"	"66"	"8"	"24"	"2"	"13"	"3"	"50"	"4"	"3"	"8"	"2"	"2"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"284"	"16"	"2"	"0"	"306"	"302"	"0"	"0"
"6453"	"4"	"5"	"2"	"2"	"382"	"47"	"21"	"65"	"9"	"19"	"3"	"11"	"4"	"81"	"2"	"7"	"11"	"4"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"9"	"1"	"0"	"301"	"301"	"0"	"0"
"6454"	"4"	"5"	"2"	"2"	"400"	"62"	"20"	"68"	"7"	"14"	"3"	"9"	"3"	"82"	"1"	"4"	"3"	"2"	"4"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"12"	"4"	"0"	"304"	"304"	"1"	"0"
"6455"	"4"	"5"	"2"	"2"	"401"	"51"	"29"	"60"	"4"	"14"	"3"	"8"	"9"	"77"	"4"	"7"	"10"	"1"	"3"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"12"	"3"	"0"	"302"	"302"	"1"	"0"
"6456"	"4"	"5"	"2"	"2"	"400"	"55"	"15"	"70"	"3"	"16"	"1"	"8"	"4"	"75"	"6"	"2"	"4"	"3"	"4"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"12"	"0"	"0"	"286"	"286"	"1"	"0"
"6457"	"4"	"5"	"2"	"2"	"0"	"50"	"25"	"74"	"4"	"12"	"2"	"6"	"5"	"57"	"3"	"6"	"2"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"2"	"0"	"261"	"261"	"1"	"0"
"6458"	"4"	"5"	"2"	"2"	"0"	"54"	"22"	"69"	"5"	"6"	"0"	"5"	"8"	"56"	"3"	"6"	"2"	"1"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"18"	"1"	"0"	"264"	"264"	"1"	"0"
